TradDate,Brent,RBOB,WTI,Corn,Gold,Soybean,JPYLibor,USDLibor,EURUSD
20080102,97.84,2.5689,99.62,462.4,857,1232.4,0.459,4.11,1.4179
20080103,97.6,2.5414,99.18,466,866.4,1251.4,0.459,4.25,1.4219
20080104,96.79,2.511,97.91,466.6,863.1,1249,0.478,4.18,1.4199
20080107,94.39,2.4298,95.09,466.2,859.6,1236,0.493,4.27,1.4084
20080108,95.54,2.4739,96.33,478.6,878,1256.4,0.5,4.27,1.4087
20080109,94.37,2.4355,95.67,477.2,879.5,1249,0.505,4.26,1.41135
20080110,92.22,2.3601,93.71,475,891.7,1244,0.52,4.26,1.41275
20080111,91.07,2.3203,92.69,495,896.1,1286,0.516,4.23,1.41565
20080114,92.92,2.3728,94.2,512,901.6,1297,0.516,4.24,1.42225
20080115,90.98,2.3092,91.9,509,901,1301.4,0.526,4.24,1.43315
20080116,89.75,2.2783,90.84,502.4,880.6,1277,0.504,4.22,1.43085
20080117,88.75,2.2668,90.13,502,879.5,1271,0.499,4.23,1.44845
20080118,89.23,2.3034,90.57,498.2,880.8,1264,0.49,4.17,1.44355
20080122,88.45,2.2806,89.85,489,889.6,1239.4,0.5,3.68,1.443
20080123,86.62,2.2508,89.85,469.2,882.5,1189.4,0.498,3.43,1.4234
20080124,89.07,2.2828,89.41,489.2,905.5,1230.4,0.501,3.47,1.4335
20080125,90.9,2.3182,90.71,498.2,910.5,1243,0.505,3.6,1.45225
20080128,91.38,2.3253,90.99,502.2,927.1,1253.6,0.502,3.5,1.45805
20080129,92,2.3295,91.64,501,925.1,1266.6,0.502,3.47,1.4644
20080130,92.53,2.334,92.33,498.4,920.6,1275.6,0.501,3.26,1.47885
20080131,92.21,2.3091,91.75,501.2,922.7,1274.4,0.508,3.22,1.48225
20080201,89.44,2.2834,88.96,500.4,908.7,1287.2,0.496,3.12,1.4805
20080204,90.47,2.3117,90.02,510.4,904.9,1326,0.502,2.82,1.4827
20080205,88.82,2.2647,88.41,509.2,885.9,1323,0.509,2.71,1.4542
