thedate,Cnt_Days_10X,Cnt_Days_20X,Cnt_Days_30X,Cnt_Days_40X,Negative,Above_9900,Above_9500,Setup_cnt,Flat_cnt,MDS_Stdv,MDS_LCL_3S,MDS_LCL_2S,MDS_LCL_1S,MDS_Avg,MDS_UCL_1S,MDS_UCL_2S,MDS_UCL_3S,Growth_Stdv,Growth_LCL_3S,Growth_LCL_2S,Growth_LCL_1S,Growth_Avg,Growth_UCL_1S,Growth_UCL_2S,Growth_UCL_3S
5/17/2015,1,0,588,21,0,0,0,19,2,,,,,-5,,,,,,,,,,,
5/18/2015,23,0,581,6,0,0,0,4,2,85.451024,-138.526985,-53.075962,32.375062,117.826086,203.27711,288.728134,374.179157,47.920072,-97.260217,-49.340145,-1.420072,46.5,94.420072,142.340145,190.260217
5/19/2015,29,0,559,22,1,0,0,16,2,50.851736,-99.106932,-48.255196,2.596539,53.448275,104.300011,155.151746,206.003482,99.607563,-126.82269,-27.215127,72.392437,172,271.607563,371.215127,470.82269
5/20/2015,55,0,532,23,4,0,0,14,3,57.920909,-117.489999,-59.56909,-1.648182,56.272727,114.193636,172.114544,230.035453,101.561061,-103.016517,-1.455456,100.105605,201.666666,303.227727,404.788788,506.349849
5/21/2015,85,0,516,9,2,1,1,5,4,37.084014,-100.134395,-63.050381,-25.966367,11.117647,48.201661,85.285675,122.369689,121.406388,-135.162826,-13.756438,107.64995,229.056338,350.462726,471.869114,593.275502
5/22/2015,97,0,495,18,8,1,1,4,9,43.004822,-118.447457,-75.442634,-32.437812,10.56701,53.571832,96.576654,139.581477,118.44446,-101.602197,16.842263,135.286722,253.731182,372.175642,490.620101,609.064561
5/23/2015,104,0,495,11,8,1,1,0,10,36.41462,-92.176553,-55.761933,-19.347313,17.067307,53.481927,89.896547,126.311167,98.831223,-33.699552,65.131671,163.962894,262.794117,361.62534,460.456563,559.287786
5/24/2015,104,0,495,11,8,1,1,0,9,43.705341,-98.423716,-54.718375,-11.013034,32.692307,76.397648,120.102989,163.80833,69.998933,-12.112184,57.886749,127.885682,197.884615,267.883548,337.882481,407.881414
5/25/2015,104,0,495,11,8,1,1,0,8,52.384515,-104.845853,-52.461338,-0.076823,52.307692,104.692207,157.076722,209.461237,71.36667,3.351914,74.718584,146.085253,217.451923,288.818593,360.185262,431.551932
5/26/2015,113,0,458,39,8,1,1,13,8,53.261329,-129.253013,-75.991684,-22.730356,30.530973,83.792302,137.05363,190.314959,114.435769,-99.555095,14.880674,129.316443,243.752212,358.187981,472.62375,587.059519
