sensor_id,project_id,logger_id,thedate,Count_All,Count_Hourly,Count_Mornning,Count_Noon,Data_Negative,Data_Above_9900,Data_Above_9500,Daily_Avg,Daily_Max,Daily_Min,Max_Hourly_Gap,Daily_Max_Morning,Daily_Min_Noon,Growth,MDS,Grade,Include_Flag
12884,3034,12884,7/12/2015,24,24,6,5,0,0,0,2023,2044,1989,14,2044,2016,91,28,100,Y
12890,3037,12890,7/12/2015,24,24,6,5,0,0,0,2482.9167,2522,2426,20,2522,2426,14,96,100,Y
13343,3038,13343,7/12/2015,24,24,6,5,0,0,0,6432.2917,6455,6405,15,6455,6405,-5,50,100,Y
13355,3039,13355,7/12/2015,24,24,6,5,0,0,0,6672.2917,6695,6635,15,6695,6680,35,15,100,Y
13580,3040,13580,7/12/2015,24,24,6,5,0,0,19,9546.0417,9615,9475,15,9610,9475,25,135,101,Y
17221,3221,17221,7/12/2015,24,24,6,5,0,0,0,1130.8333,1165,1105,15,1165,1105,75,60,100,Y
17222,3221,17221,7/12/2015,24,24,6,5,0,0,0,3773.3333,3820,3730,15,3820,3730,130,90,100,Y
19767,3116,19767,7/12/2015,24,24,6,5,0,0,0,4541.6667,4610,4400,45,4610,4400,10,210,100,Y
19768,3116,19767,7/12/2015,24,24,6,5,0,0,0,4856.875,4925,4730,50,4925,4730,50,195,100,Y
19769,3116,19767,7/12/2015,24,24,6,5,0,0,0,3454.7917,3540,3315,50,3540,3315,65,225,100,Y
19794,3059,19794,7/12/2015,24,24,6,5,0,0,0,3916.0417,3960,3875,15,3960,3875,10,85,100,Y
19795,3059,19794,7/12/2015,24,24,6,5,0,0,0,4991.6667,5050,4935,20,5045,4950,85,95,100,Y
19796,3059,19794,7/12/2015,24,24,6,5,0,0,0,4428.3333,4510,4345,25,4510,4345,25,165,100,Y
19857,3054,19857,7/12/2015,24,24,6,5,0,0,0,2618.125,2725,2460,45,2725,2460,-25,265,100,Y
19858,3054,19857,7/12/2015,24,24,6,5,0,0,0,2680.8333,2860,2410,60,2860,2410,25,450,100,Y
19859,3054,19857,7/12/2015,24,24,6,5,0,0,0,2251.4583,2335,2105,40,2335,2105,-25,230,100,Y
19860,3053,19860,7/12/2015,24,24,6,5,0,0,0,5013.9583,5215,4690,55,5215,4690,-100,525,305,N
