sensor_id,project_id,logger_id,Negative_Days,Days_Above_9900,Days_Above_9500,Setup_days,Flat_days,Cnt_Days_10X,Cnt_Days_20X,Cnt_Days_30X,Class1,Leave
12884,3034,12884,0,0,0,4,13,90,0,17,A,NULL
12890,3037,12890,0,0,0,4,15,88,0,19,A,NULL
13343,3038,13343,0,8,10,11,0,73,0,34,A,NULL
13355,3039,13355,0,7,9,8,0,78,0,29,A,NULL
13580,3040,13580,1,0,15,2,1,53,0,54,A,NULL
17221,3221,17221,0,0,0,1,0,53,0,54,A,NULL
17222,3221,17221,0,0,0,1,0,57,0,50,A,NULL
19767,3116,19767,2,0,0,3,0,86,0,21,A,NULL
19768,3116,19767,2,0,0,12,0,74,0,33,A,NULL
19769,3116,19767,1,0,0,7,0,81,0,26,A,NULL
19794,3059,19794,0,0,0,1,0,93,1,13,A,NULL
19795,3059,19794,0,6,7,2,0,89,0,18,A,NULL
19796,3059,19794,0,0,0,2,0,93,1,13,A,NULL
19857,3054,19857,8,0,0,7,6,85,0,22,A,NULL
19858,3054,19857,7,0,0,3,6,88,0,19,A,NULL
19859,3054,19857,8,0,0,4,6,85,0,22,A,NULL
19860,3053,19860,7,0,0,5,7,89,0,18,A,NULL
19861,3053,19860,9,0,0,2,7,92,0,15,A,NULL
19862,3053,19860,7,0,0,5,6,89,0,18,A,NULL
19866,3048,19866,0,0,0,3,0,101,0,6,A,NULL
19867,3048,19866,0,0,0,2,0,102,0,5,A,NULL
19868,3048,19866,0,0,0,2,0,102,0,5,A,NULL
19869,3058,19869,0,0,0,6,0,86,0,21,A,NULL
19870,3058,19869,0,0,0,1,0,95,0,12,A,NULL
19871,3058,19869,0,0,0,1,0,93,0,14,A,NULL
20330,3049,20330,0,0,0,10,0,86,0,21,A,NULL
20331,3049,20330,0,0,0,2,0,94,0,13,A,NULL
20332,3049,20330,0,0,1,6,0,90,0,17,A,NULL
20339,3047,20339,0,0,0,0,0,104,0,3,A,NULL
20340,3047,20339,0,0,0,1,0,103,0,4,A,NULL
20341,3047,20339,0,0,0,1,0,103,0,4,A,NULL
23172,3015,23167,15,0,0,6,46,11,1,95,C,NULL
23178,3043,23173,6,0,0,1,0,37,2,68,B,NULL
23499,3019,23496,7,0,0,8,5,81,0,26,A,NULL
23501,3019,23496,4,0,0,2,1,91,0,16,A,NULL
23505,3020,23502,0,0,0,13,0,82,0,25,A,NULL
23507,3020,23502,0,0,0,6,0,87,1,19,A,NULL
23578,2816,23573,53,0,0,3,16,35,0,72,B,NULL
23584,2819,23579,53,0,0,2,51,36,0,71,B,NULL
23590,2937,23585,0,0,0,1,18,33,0,74,B,NULL
23608,2813,23603,25,0,0,5,0,35,0,72,B,NULL
23614,3001,23609,25,0,0,2,0,15,0,92,C,NULL
23620,2804,23615,0,0,0,7,34,30,0,77,B,NULL
23756,3071,23751,13,0,0,7,12,21,0,86,B,NULL
23786,2915,23781,5,29,29,6,0,45,0,62,B,NULL
23926,2861,23921,21,0,0,3,23,16,0,91,C,NULL
23930,2942,23927,8,0,0,2,3,77,0,30,A,NULL
23932,2942,23927,0,0,31,1,49,30,0,77,B,NULL
24129,3205,24126,27,0,0,12,14,33,2,72,B,NULL
24131,3205,24126,44,0,0,8,0,16,0,91,C,NULL
24144,2827,24139,64,0,0,4,38,14,0,93,C,NULL
24150,3083,24145,57,0,0,1,17,29,0,78,B,NULL
24162,2830,24157,7,28,30,8,13,38,0,69,B,NULL
24218,3090,24216,1,0,0,1,2,37,1,69,B,NULL
24219,3090,24216,1,0,0,1,0,14,0,93,C,NULL
24226,2953,24221,43,47,51,9,6,9,0,98,C,NULL
24519,3252,24516,2,0,0,1,1,44,0,63,B,NULL
24520,3252,24516,2,0,0,1,0,46,0,61,B,NULL
24524,3259,24521,0,0,0,1,0,47,0,60,B,NULL
24525,3259,24521,0,0,0,0,0,48,0,59,B,NULL
24526,3035,24526,3,0,0,4,3,94,0,13,A,NULL
24529,3036,24529,0,0,2,5,3,88,0,19,A,NULL
24570,2804,24568,0,0,0,6,0,90,0,17,A,NULL
24571,2804,24568,11,0,0,5,0,81,0,26,A,NULL
24573,2804,24568,1,0,0,9,0,84,1,22,A,NULL
24576,2805,24574,0,0,0,1,0,94,0,13,A,NULL
24577,2805,24574,0,0,0,2,0,93,0,14,A,NULL
24579,2805,24574,0,0,0,2,0,93,0,14,A,NULL
24582,2889,24580,2,0,0,2,0,74,0,33,A,NULL
24583,2889,24580,0,0,0,0,0,78,0,29,A,NULL
24585,2889,24580,0,0,0,0,0,77,0,30,A,NULL
24588,2801,24586,0,0,0,8,0,80,0,27,A,NULL
24589,2801,24586,0,0,0,2,0,87,0,20,A,NULL
24591,2801,24586,0,0,0,0,0,89,0,18,A,NULL
24594,2802,24592,0,0,0,5,0,84,0,23,A,NULL
24595,2802,24592,0,0,0,8,0,81,0,26,A,NULL
24597,2802,24592,0,0,3,9,0,80,0,27,A,NULL
24600,2877,24598,1,0,0,3,0,53,1,53,A,NULL
24601,2877,24598,0,0,0,4,0,54,1,52,A,NULL
24603,2877,24598,0,0,0,1,0,55,1,51,A,NULL
24606,2803,24604,7,3,3,17,1,77,0,30,A,NULL
24607,2803,24604,1,7,7,16,0,74,0,33,A,NULL
24609,2803,24604,4,0,0,9,0,85,0,22,A,NULL
24751,3041,24749,2,0,0,6,0,69,0,38,A,NULL
24809,3082,24804,9,0,0,5,7,59,1,47,A,NULL
24837,2822,24834,0,0,0,1,1,47,0,60,B,NULL
24839,2822,24834,0,0,0,3,0,87,0,20,A,NULL
24843,2821,24840,0,0,0,1,0,90,0,17,A,NULL
24845,2821,24840,0,0,0,1,0,90,0,17,A,NULL
24849,2820,24846,0,0,0,2,0,88,0,19,A,NULL
24851,2820,24846,2,0,0,2,0,87,0,20,A,NULL
24855,2819,24852,0,0,0,1,0,63,1,43,A,NULL
24857,2819,24852,0,0,0,2,0,62,1,44,A,NULL
24922,2790,24919,5,0,0,9,0,70,1,36,A,NULL
24924,2790,24919,5,0,0,2,0,78,0,29,A,NULL
24928,2993,24925,6,0,0,2,0,74,0,33,A,NULL
24930,2993,24925,6,0,0,5,0,73,0,34,A,NULL
24934,2994,24931,5,0,0,4,0,87,0,20,A,NULL
24936,2994,24931,1,0,0,4,4,87,0,20,A,NULL
24940,2791,24937,5,0,0,8,0,72,0,35,A,NULL
24942,2791,24937,0,0,0,12,2,68,0,39,A,NULL
24946,2992,24943,5,0,0,5,0,87,0,20,A,NULL
24948,2992,24943,3,0,0,26,1,66,0,41,A,NULL
24952,2815,24949,10,0,0,13,8,69,0,38,A,NULL
24954,2815,24949,0,0,0,8,0,80,0,27,A,NULL
24958,2936,24955,0,0,0,15,0,72,0,35,A,NULL
24960,2936,24955,17,0,0,10,16,60,0,47,A,NULL
24964,2937,24961,0,0,0,0,1,53,1,53,A,NULL
24966,2937,24961,0,0,0,0,1,55,0,52,A,NULL
24970,2938,24967,1,0,0,4,0,83,0,24,A,NULL
24972,2938,24967,0,0,6,4,0,82,0,25,A,NULL
24976,2939,24973,2,4,8,4,0,79,0,28,A,NULL
24978,2939,24973,0,0,0,3,0,84,0,23,A,NULL
24982,2940,24979,0,1,5,8,0,79,0,28,A,NULL
24984,2940,24979,0,0,0,5,0,81,2,24,A,NULL
24988,2941,24985,0,0,0,1,0,85,0,22,A,NULL
24990,2941,24985,0,0,0,2,0,85,0,22,A,NULL
24994,2942,24991,0,0,0,2,0,86,0,21,A,NULL
24996,2942,24991,0,0,0,1,0,86,0,21,A,NULL
25000,2943,24997,0,0,0,0,0,85,0,22,A,NULL
25002,2943,24997,0,0,0,9,0,76,1,30,A,NULL
25006,2944,25003,0,0,0,1,0,85,1,21,A,NULL
25008,2944,25003,0,0,0,3,0,83,0,24,A,NULL
25012,2945,25009,0,0,0,1,0,85,0,22,A,NULL
25014,2945,25009,0,0,0,1,0,87,0,20,A,NULL
25018,2823,25015,16,0,0,2,4,62,0,45,A,NULL
25020,2823,25015,5,1,1,2,5,72,0,35,A,NULL
25024,3021,25021,1,0,0,3,0,91,0,16,A,NULL
25026,3021,25021,0,8,8,4,0,85,0,22,A,NULL
25036,2825,25033,1,0,0,1,0,80,0,27,A,NULL
25038,2825,25033,0,0,0,1,0,79,1,27,A,NULL
25042,3384,25039,21,0,0,7,7,56,0,51,A,NULL
25044,3384,25039,5,0,0,12,1,58,0,49,A,NULL
25048,2827,25045,3,0,0,1,1,50,1,56,A,NULL
25050,2827,25045,3,0,0,1,2,50,1,56,A,NULL
25054,2814,25051,0,0,0,0,0,89,0,18,A,NULL
25056,2814,25051,0,0,0,15,0,74,0,33,A,NULL
25060,2813,25057,0,0,0,1,0,71,0,36,A,NULL
25062,2813,25057,0,0,0,2,0,70,0,37,A,NULL
25066,2812,25063,4,0,0,3,2,85,1,21,A,NULL
25068,2812,25063,0,0,0,1,0,90,0,17,A,NULL
25072,2811,25069,0,33,34,49,0,39,1,67,B,NULL
25074,2811,25069,0,0,0,10,0,78,0,29,A,NULL
25083,2879,25081,0,0,0,1,0,105,0,2,A,NULL
25084,2879,25081,0,0,0,1,0,105,0,2,A,NULL
25086,2879,25081,8,0,0,2,6,89,0,18,A,NULL
25089,2878,25087,0,0,0,2,0,101,1,5,A,NULL
25090,2878,25087,0,0,0,1,0,103,1,3,A,NULL
25092,2878,25087,1,1,1,2,0,103,1,3,A,NULL
25095,2885,25093,0,2,4,2,0,94,0,13,A,NULL
25096,2885,25093,0,0,0,5,0,92,0,15,A,NULL
25098,2885,25093,0,0,2,3,0,95,0,12,A,NULL
25101,2884,25099,1,0,0,3,0,95,0,12,A,NULL
25102,2884,25099,1,0,0,3,0,95,0,12,A,NULL
25104,2884,25099,1,0,0,2,0,95,0,12,A,NULL
25107,2883,25105,0,0,2,6,0,91,1,15,A,NULL
25108,2883,25105,0,5,8,4,0,88,1,18,A,NULL
25110,2883,25105,0,4,7,6,2,87,1,19,A,NULL
25113,2882,25111,0,10,11,4,0,84,0,23,A,NULL
25114,2882,25111,0,5,6,4,0,90,0,17,A,NULL
25116,2882,25111,0,3,4,3,0,93,0,14,A,NULL
25119,2875,25117,0,0,0,1,0,95,0,12,A,NULL
25120,2875,25117,0,10,12,1,0,86,0,21,A,NULL
25122,2875,25117,0,0,0,6,0,89,0,18,A,NULL
25125,2876,25123,0,0,0,1,0,104,0,3,A,NULL
25126,2876,25123,1,0,0,1,0,104,0,3,A,NULL
25128,2876,25123,4,0,0,2,0,101,0,6,A,NULL
25131,2874,25129,0,11,14,2,0,85,0,22,A,NULL
25132,2874,25129,0,0,0,3,0,94,0,13,A,NULL
25134,2874,25129,0,0,0,2,0,93,2,12,A,NULL
25137,2873,25135,0,11,13,5,0,81,1,25,A,NULL
25138,2873,25135,3,0,0,3,0,89,0,18,A,NULL
25140,2873,25135,0,0,0,7,0,90,0,17,A,NULL
25158,2881,25156,0,0,0,2,0,77,2,28,A,NULL
25159,2881,25156,0,0,0,1,0,79,1,27,A,NULL
25161,2881,25156,0,6,8,1,0,74,1,32,A,NULL
25164,2880,25162,16,0,0,14,2,76,0,31,A,NULL
25165,2880,25162,1,0,0,4,0,91,0,16,A,NULL
25167,2880,25162,1,0,0,2,0,94,0,13,A,NULL
25170,2841,25168,0,0,0,0,0,89,0,18,A,NULL
25171,2841,25168,0,0,0,0,0,88,1,18,A,NULL
25173,2841,25168,0,0,0,0,0,88,1,18,A,NULL
25176,2838,25174,0,0,0,1,0,103,0,4,A,NULL
25177,2838,25174,0,0,0,1,0,103,0,4,A,NULL
25179,2838,25174,0,0,0,1,0,103,0,4,A,NULL
25182,2842,25180,1,0,0,1,0,93,0,14,A,NULL
25183,2842,25180,0,8,10,1,0,88,0,19,A,NULL
25185,2842,25180,0,3,6,1,0,87,0,20,A,NULL
25188,2908,25186,0,0,0,1,0,90,1,16,A,NULL
25189,2908,25186,0,0,0,1,0,92,2,13,A,NULL
25191,2908,25186,0,0,0,2,0,92,2,13,A,NULL
25194,2837,25192,0,0,0,3,0,81,0,26,A,NULL
25195,2837,25192,3,0,0,2,0,100,0,7,A,NULL
25197,2837,25192,0,0,0,2,0,102,0,5,A,NULL
25200,2846,25198,0,0,0,1,0,104,1,2,A,NULL
25201,2846,25198,0,1,3,2,0,102,1,4,A,NULL
25203,2846,25198,0,8,9,1,0,98,0,9,A,NULL
25206,2847,25204,0,0,8,2,0,93,0,14,A,NULL
25207,2847,25204,0,0,0,1,0,95,0,12,A,NULL
25209,2847,25204,0,9,11,7,1,81,0,26,A,NULL
25212,2840,25210,0,0,0,1,0,99,1,7,A,NULL
25213,2840,25210,0,6,7,1,0,95,1,11,A,NULL
25215,2840,25210,0,0,0,2,0,100,1,6,A,NULL
25218,2836,25216,0,0,0,1,0,102,0,5,A,NULL
25219,2836,25216,0,0,0,1,0,102,1,4,A,NULL
25221,2836,25216,0,0,0,2,0,95,2,10,A,NULL
25224,2845,25222,0,0,0,0,0,83,0,24,A,NULL
25225,2845,25222,0,0,0,0,0,83,0,24,A,NULL
25227,2845,25222,0,0,0,0,0,83,0,24,A,NULL
25230,2844,25228,0,0,0,1,0,102,0,5,A,NULL
25231,2844,25228,0,0,0,1,0,102,0,5,A,NULL
25233,2844,25228,0,0,0,1,0,102,0,5,A,NULL
25236,2839,25234,0,0,0,2,0,81,0,26,A,NULL
25237,2839,25234,0,0,0,0,0,82,0,25,A,NULL
25239,2839,25234,0,0,0,1,0,82,0,25,A,NULL
25242,2904,25240,19,11,14,7,0,62,0,45,A,NULL
25243,2904,25240,33,0,0,8,25,56,0,51,A,NULL
25245,2904,25240,30,3,4,27,16,47,0,60,B,NULL
25248,2907,25246,0,0,0,0,0,96,0,11,A,NULL
25249,2907,25246,0,0,0,1,0,94,0,13,A,NULL
25251,2907,25246,0,0,0,1,0,94,0,13,A,NULL
25254,2906,25252,0,0,0,2,0,93,0,14,A,NULL
25255,2906,25252,0,0,0,2,0,92,0,15,A,NULL
25257,2906,25252,0,0,0,1,0,93,0,14,A,NULL
25260,2905,25258,0,0,2,2,0,103,0,4,A,NULL
25261,2905,25258,0,12,16,3,0,68,0,39,A,NULL
25263,2905,25258,0,7,12,11,0,87,0,20,A,NULL
25266,2904,25264,0,0,0,5,0,91,0,16,A,NULL
25267,2904,25264,0,0,0,1,0,95,0,12,A,NULL
25269,2904,25264,0,0,0,4,0,89,1,17,A,NULL
25272,2903,25270,0,0,0,4,0,100,0,7,A,NULL
25273,2903,25270,0,0,0,1,0,103,1,3,A,NULL
25275,2903,25270,0,6,10,4,0,92,1,14,A,NULL
25278,2902,25276,0,0,0,3,0,77,1,29,A,NULL
25279,2902,25276,16,0,0,2,14,70,1,36,A,NULL
25281,2902,25276,0,0,0,2,0,86,0,21,A,NULL
25284,2901,25282,0,0,0,1,0,94,0,13,A,NULL
25285,2901,25282,0,0,0,3,0,93,0,14,A,NULL
25287,2901,25282,0,0,0,2,0,93,0,14,A,NULL
25290,2900,25288,0,0,0,7,0,88,0,19,A,NULL
25291,2900,25288,0,0,0,3,0,93,0,14,A,NULL
25293,2900,25288,0,0,0,0,0,94,0,13,A,NULL
25296,2899,25294,0,0,1,3,0,93,0,14,A,NULL
25297,2899,25294,12,6,8,2,11,78,0,29,A,NULL
25299,2899,25294,29,0,0,11,6,70,0,37,A,NULL
25302,2898,25300,0,0,0,0,0,96,0,11,A,NULL
25303,2898,25300,1,0,0,0,0,95,0,12,A,NULL
25305,2898,25300,0,0,0,0,0,96,0,11,A,NULL
25308,2897,25306,0,0,0,0,0,95,1,11,A,NULL
25309,2897,25306,0,0,0,0,0,96,0,11,A,NULL
25311,2897,25306,0,0,0,0,0,96,0,11,A,NULL
25314,2797,25312,0,0,0,1,0,103,1,3,A,NULL
25315,2797,25312,0,0,0,1,0,103,1,3,A,NULL
25317,2797,25312,0,0,0,2,0,102,1,4,A,NULL
25320,2798,25318,3,0,0,4,0,99,0,8,A,NULL
25321,2798,25318,6,0,0,3,2,98,0,9,A,NULL
25323,2798,25318,0,0,0,1,0,103,0,4,A,NULL
25332,2799,25330,14,0,0,3,0,81,1,25,A,NULL
25333,2799,25330,14,0,0,5,9,78,3,26,A,NULL
25335,2799,25330,13,0,0,6,0,78,0,29,A,NULL
25338,2800,25336,23,0,0,6,19,71,0,36,A,NULL
25339,2800,25336,9,0,0,2,6,84,0,23,A,NULL
25341,2800,25336,1,0,0,4,0,88,0,19,A,NULL
25344,2855,25342,0,2,4,1,0,98,1,8,A,NULL
25345,2855,25342,0,3,5,1,0,96,2,9,A,NULL
25347,2855,25342,0,0,0,2,0,97,2,8,A,NULL
25350,2854,25348,0,0,0,1,0,72,0,35,A,NULL
25351,2854,25348,0,0,0,2,0,71,0,36,A,NULL
25353,2854,25348,0,0,0,2,1,69,0,38,A,NULL
25356,2946,25354,4,0,0,1,1,80,0,27,A,NULL
25357,2946,25354,4,0,0,1,0,80,0,27,A,NULL
25359,2946,25354,4,0,0,1,1,80,0,27,A,NULL
25362,2772,25360,0,50,56,0,0,45,0,62,B,NULL
25363,2772,25360,0,0,0,0,0,94,0,13,A,NULL
25365,2772,25360,0,0,0,1,0,93,0,14,A,NULL
25368,2922,25366,2,0,0,4,0,93,1,13,A,NULL
25369,2922,25366,33,0,0,10,25,61,0,46,A,NULL
25371,2922,25366,2,0,0,9,0,89,0,18,A,NULL
25374,2856,25372,0,0,0,1,0,93,1,13,A,NULL
25375,2856,25372,0,0,2,1,0,94,0,13,A,NULL
25377,2856,25372,0,0,0,1,0,94,0,13,A,NULL
25380,2857,25378,2,0,0,1,0,101,0,6,A,NULL
25381,2857,25378,0,0,0,1,0,101,0,6,A,NULL
25383,2857,25378,0,0,0,2,1,99,0,8,A,NULL
25386,2859,25384,0,5,5,5,0,85,0,22,A,NULL
25387,2859,25384,0,0,0,1,0,93,1,13,A,NULL
25389,2859,25384,0,0,0,3,0,92,0,15,A,NULL
25392,2858,25390,6,0,0,1,0,88,0,19,A,NULL
25393,2858,25390,1,0,2,1,0,93,0,14,A,NULL
25395,2858,25390,3,0,0,2,2,90,0,17,A,NULL
