sensor_id,datetime,value,gap
12884,2015-06-14 00:00:00,0,0
12884,2015-06-14 01:00:00,0,0
12884,2015-06-14 02:00:00,0,0
12884,2015-06-14 03:00:00,0,0
12884,2015-06-14 04:00:00,0,0
12884,2015-06-14 05:00:00,0,0
12884,2015-06-14 06:00:00,0,0
12884,2015-06-14 07:00:00,0,0
12884,2015-06-14 08:00:00,848,848
12884,2015-06-14 09:00:00,856,8
12884,2015-06-14 10:00:00,842,-14
12884,2015-06-14 11:00:00,832,-10
12884,2015-06-14 12:00:00,830,-2
12884,2015-06-14 13:00:00,822,-8
12884,2015-06-14 14:00:00,820,-2
12884,2015-06-14 15:00:00,822,2
12884,2015-06-14 16:00:00,812,-10
12884,2015-06-14 17:00:00,816,4
12884,2015-06-14 18:00:00,832,16
12884,2015-06-14 19:00:00,852,20
12884,2015-06-14 20:00:00,876,24
12884,2015-06-14 21:00:00,896,20
12884,2015-06-14 22:00:00,912,16
12884,2015-06-14 23:00:00,930,18
12884,2015-06-15 00:00:00,944,14
12884,2015-06-15 01:00:00,954,10
12884,2015-06-15 02:00:00,964,10
12884,2015-06-15 03:00:00,984,20
12884,2015-06-15 04:00:00,996,12
12884,2015-06-15 05:00:00,1008,12
12884,2015-06-15 06:00:00,1019,11
12884,2015-06-15 07:00:00,1030,11
12884,2015-06-15 08:00:00,1033,3
12884,2015-06-15 09:00:00,1042,9
12884,2015-06-15 10:00:00,1044,2
12884,2015-06-15 11:00:00,1044,0
12884,2015-06-15 12:00:00,1042,-2
12884,2015-06-15 13:00:00,1044,2
12884,2015-06-15 14:00:00,1046,2
12884,2015-06-15 15:00:00,1057,11
12884,2015-06-15 16:00:00,1058,1
12884,2015-06-15 17:00:00,1064,6
12884,2015-06-15 18:00:00,1083,19
12884,2015-06-15 19:00:00,1107,24
12884,2015-06-15 20:00:00,1135,28
12884,2015-06-15 21:00:00,1157,22
12884,2015-06-15 22:00:00,1173,16
12884,2015-06-15 23:00:00,1192,19
12884,2015-06-16 00:00:00,1210,18
12884,2015-06-16 01:00:00,1230,20
12884,2015-06-16 02:00:00,1253,23
12884,2015-06-16 03:00:00,1264,11
12884,2015-06-16 04:00:00,1283,19
12884,2015-06-16 05:00:00,1303,20
12884,2015-06-16 06:00:00,1321,18
12884,2015-06-16 07:00:00,1333,12
12884,2015-06-16 08:00:00,1353,20
12884,2015-06-16 09:00:00,1373,20
12884,2015-06-16 10:00:00,1385,12
12884,2015-06-16 11:00:00,1391,6
12884,2015-06-16 12:00:00,1394,3
12884,2015-06-16 13:00:00,1396,2
12884,2015-06-16 14:00:00,1401,5
12884,2015-06-16 15:00:00,1408,7
12884,2015-06-16 16:00:00,1410,2
12884,2015-06-16 17:00:00,1410,0
12884,2015-06-16 18:00:00,1432,22
12884,2015-06-16 19:00:00,1453,21
12884,2015-06-16 20:00:00,1483,30
12884,2015-06-16 21:00:00,1506,23
12884,2015-06-16 22:00:00,1527,21
12884,2015-06-16 23:00:00,1546,19
12884,2015-06-17 00:00:00,1562,16
12884,2015-06-17 01:00:00,1584,22
12884,2015-06-17 02:00:00,1603,19
12884,2015-06-17 03:00:00,1622,19
12884,2015-06-17 04:00:00,1646,24
12884,2015-06-17 05:00:00,1667,21
12884,2015-06-17 06:00:00,1687,20
12884,2015-06-17 07:00:00,1705,18
12884,2015-06-17 08:00:00,1712,7
12884,2015-06-17 09:00:00,1731,19
12884,2015-06-17 10:00:00,1736,5
12884,2015-06-17 11:00:00,1743,7
12884,2015-06-17 12:00:00,1739,-4
12884,2015-06-17 13:00:00,1739,0
12884,2015-06-17 14:00:00,1737,-2
12884,2015-06-17 15:00:00,1737,0
12884,2015-06-17 16:00:00,1734,-3
12884,2015-06-17 17:00:00,1725,-9
12884,2015-06-17 18:00:00,1737,12
12884,2015-06-17 19:00:00,1756,19
12884,2015-06-17 20:00:00,1775,19
12884,2015-06-17 21:00:00,1793,18
12884,2015-06-17 22:00:00,1808,15
