sensor_id,datetime,value,gap
12884,2015-05-31 00:00:00,1407,7
12884,2015-05-31 01:00:00,1417,10
12884,2015-05-31 02:00:00,1421,4
12884,2015-05-31 03:00:00,1426,5
12884,2015-05-31 04:00:00,1432,6
12884,2015-05-31 05:00:00,1439,7
12884,2015-05-31 06:00:00,1450,11
12884,2015-05-31 07:00:00,1458,8
12884,2015-05-31 08:00:00,1492,34
12884,2015-05-31 09:00:00,1515,23
12884,2015-05-31 10:00:00,1524,9
12884,2015-05-31 11:00:00,1534,10
12884,2015-05-31 12:00:00,1546,12
12884,2015-05-31 13:00:00,1558,12
12884,2015-05-31 14:00:00,1581,23
12884,2015-05-31 15:00:00,1582,1
12884,2015-05-31 16:00:00,1598,16
12884,2015-05-31 17:00:00,1624,26
12884,2015-05-31 18:00:00,1655,31
12884,2015-05-31 19:00:00,1677,22
12884,2015-05-31 20:00:00,1694,17
12884,2015-05-31 21:00:00,1703,9
12884,2015-05-31 22:00:00,1713,10
12884,2015-05-31 23:00:00,1724,11
12884,2015-06-01 00:00:00,1734,10
12884,2015-06-01 01:00:00,1744,10
12884,2015-06-01 02:00:00,1760,16
12884,2015-06-01 03:00:00,1775,15
12884,2015-06-01 04:00:00,1791,16
12884,2015-06-01 05:00:00,1803,12
12884,2015-06-01 06:00:00,1817,14
12884,2015-06-01 07:00:00,1829,12
12884,2015-06-01 08:00:00,1863,34
12884,2015-06-01 09:00:00,1886,23
12884,2015-06-01 10:00:00,1901,15
12884,2015-06-01 11:00:00,1920,19
12884,2015-06-01 12:00:00,1941,21
12884,2015-06-01 13:00:00,1958,17
12884,2015-06-01 14:00:00,1982,24
12884,2015-06-01 15:00:00,1994,12
12884,2015-06-01 16:00:00,2020,26
12884,2015-06-01 17:00:00,2050,30
12884,2015-06-01 18:00:00,2071,21
12884,2015-06-01 19:00:00,2100,29
12884,2015-06-01 20:00:00,2116,16
12884,2015-06-01 21:00:00,2137,21
12884,2015-06-01 22:00:00,2152,15
12884,2015-06-01 23:00:00,2169,17
12884,2015-06-02 00:00:00,2188,19
12884,2015-06-02 01:00:00,2201,13
12884,2015-06-02 02:00:00,2222,21
12884,2015-06-02 03:00:00,2238,16
12884,2015-06-02 04:00:00,2255,17
12884,2015-06-02 05:00:00,2277,22
12884,2015-06-02 06:00:00,2291,14
12884,2015-06-02 07:00:00,2308,17
12884,2015-06-02 08:00:00,2345,37
12884,2015-06-02 09:00:00,2367,22
12884,2015-06-02 10:00:00,2384,17
12884,2015-06-02 11:00:00,2393,9
12884,2015-06-02 12:00:00,2403,10
12884,2015-06-02 13:00:00,2406,3
12884,2015-06-02 14:00:00,2416,10
12884,2015-06-02 15:00:00,2430,14
12884,2015-06-02 16:00:00,2449,19
12884,2015-06-02 17:00:00,2471,22
12884,2015-06-02 18:00:00,2507,36
12884,2015-06-02 19:00:00,2533,26
12884,2015-06-02 20:00:00,2561,28
12884,2015-06-02 21:00:00,2577,16
12884,2015-06-02 22:00:00,2592,15
12884,2015-06-02 23:00:00,2610,18
12884,2015-06-03 00:00:00,2619,9
12884,2015-06-03 01:00:00,2633,14
12884,2015-06-03 02:00:00,2649,16
12884,2015-06-03 03:00:00,2656,7
12884,2015-06-03 04:00:00,2666,10
12884,2015-06-03 05:00:00,2673,7
12884,2015-06-03 06:00:00,2684,11
12884,2015-06-03 07:00:00,2691,7
12884,2015-06-03 08:00:00,2726,35
12884,2015-06-03 09:00:00,2745,19
12884,2015-06-03 10:00:00,2759,14
12884,2015-06-03 11:00:00,2764,5
12884,2015-06-03 12:00:00,2775,11
12884,2015-06-03 13:00:00,2784,9
12884,2015-06-03 14:00:00,2792,8
12884,2015-06-03 15:00:00,2808,16
12884,2015-06-03 16:00:00,2821,13
12884,2015-06-03 17:00:00,2852,31
12884,2015-06-03 18:00:00,2882,30
12884,2015-06-03 19:00:00,2907,25
12884,2015-06-03 20:00:00,2933,26
12884,2015-06-03 21:00:00,2949,16
12884,2015-06-03 22:00:00,2961,12
12884,2015-06-03 23:00:00,2973,12
12884,2015-06-04 00:00:00,2989,16
12884,2015-06-04 01:00:00,3009,20
12884,2015-06-04 02:00:00,3019,10
12884,2015-06-04 03:00:00,3036,17
12884,2015-06-04 04:00:00,3050,14
12884,2015-06-04 05:00:00,3063,13
12884,2015-06-04 06:00:00,3073,10
12884,2015-06-04 07:00:00,3084,11
12884,2015-06-04 08:00:00,3105,21
12884,2015-06-04 09:00:00,3125,20
12884,2015-06-04 10:00:00,3128,3
12884,2015-06-04 11:00:00,3136,8
12884,2015-06-04 12:00:00,3138,2
12884,2015-06-04 13:00:00,3146,8
12884,2015-06-04 14:00:00,3146,0
12884,2015-06-04 15:00:00,3148,2
12884,2015-06-04 16:00:00,3159,11
12884,2015-06-04 17:00:00,3173,14
12884,2015-06-04 18:00:00,3198,25
12884,2015-06-04 19:00:00,3232,34
12884,2015-06-04 20:00:00,3253,21
12884,2015-06-04 21:00:00,3263,10
12884,2015-06-04 22:00:00,3273,10
12884,2015-06-04 23:00:00,3284,11
12884,2015-06-05 00:00:00,3296,12
12884,2015-06-05 01:00:00,3309,13
12884,2015-06-05 02:00:00,3321,12
12884,2015-06-05 03:00:00,3334,13
12884,2015-06-05 04:00:00,3340,6
12884,2015-06-05 05:00:00,3350,10
12884,2015-06-05 06:00:00,3361,11
12884,2015-06-05 07:00:00,3369,8
12884,2015-06-05 08:00:00,3390,21
12884,2015-06-05 09:00:00,3403,13
12884,2015-06-05 10:00:00,3409,6
12884,2015-06-05 11:00:00,3419,10
12884,2015-06-05 12:00:00,3426,7
12884,2015-06-05 13:00:00,3423,-3
12884,2015-06-05 14:00:00,3440,17
12884,2015-06-05 15:00:00,3442,2
12884,2015-06-05 16:00:00,3448,6
12884,2015-06-05 17:00:00,3471,23
12884,2015-06-05 18:00:00,3492,21
12884,2015-06-05 19:00:00,3511,19
12884,2015-06-05 20:00:00,3540,29
12884,2015-06-05 21:00:00,3551,11
12884,2015-06-05 22:00:00,3571,20
12884,2015-06-05 23:00:00,3586,15
12884,2015-06-06 00:00:00,3595,9
12884,2015-06-06 01:00:00,3611,16
12884,2015-06-06 02:00:00,3620,9
12884,2015-06-06 03:00:00,3628,8
12884,2015-06-06 04:00:00,3642,14
12884,2015-06-06 05:00:00,3651,9
12884,2015-06-06 06:00:00,3660,9
12884,2015-06-06 07:00:00,3668,8
