sensor_id,gap_corr_sum Week1,gap_corr_sum Week10,gap_corr_sum Week11,gap_corr_sum Week12,gap_corr_sum Week13,gap_corr_sum Week14,gap_corr_sum Week15,gap_corr_sum Week2,gap_corr_sum Week3,gap_corr_sum Week4,gap_corr_sum Week5,gap_corr_sum Week6,gap_corr_sum Week7,gap_corr_sum Week8,gap_corr_sum Week9,gap_corr_sum_square Week1,gap_corr_sum_square Week10,gap_corr_sum_square Week11,gap_corr_sum_square Week12,gap_corr_sum_square Week13,gap_corr_sum_square Week14,gap_corr_sum_square Week15,gap_corr_sum_square Week2,gap_corr_sum_square Week3,gap_corr_sum_square Week4,gap_corr_sum_square Week5,gap_corr_sum_square Week6,gap_corr_sum_square Week7,gap_corr_sum_square Week8,gap_corr_sum_square Week9,raw_corr_sum Week1,raw_corr_sum Week10,raw_corr_sum Week11,raw_corr_sum Week12,raw_corr_sum Week13,raw_corr_sum Week14,raw_corr_sum Week15,raw_corr_sum Week2,raw_corr_sum Week3,raw_corr_sum Week4,raw_corr_sum Week5,raw_corr_sum Week6,raw_corr_sum Week7,raw_corr_sum Week8,raw_corr_sum Week9,raw_corr_sum_square Week1,raw_corr_sum_square Week10,raw_corr_sum_square Week11,raw_corr_sum_square Week12,raw_corr_sum_square Week13,raw_corr_sum_square Week14,raw_corr_sum_square Week15,raw_corr_sum_square Week2,raw_corr_sum_square Week3,raw_corr_sum_square Week4,raw_corr_sum_square Week5,raw_corr_sum_square Week6,raw_corr_sum_square Week7,raw_corr_sum_square Week8,raw_corr_sum_square Week9
12884,,290.2334,356.6905,368.3026,387.6832,398.1046,366.4812,,102.869,,236.9902,271.0773,217.2831,217.9436,274.771,,168.2054,254.0071,278.0048,310.257,324.6936,308.9048,,39.7509,,123.1007,157.2349,105.4415,100.9895,154.246,,147.1439,244.569,336.8072,325.4923,330.5483,307.9441,,336.8981,,416.6271,297.0989,-147.2552,265.5323,261.1641,,119.0999,163.6801,255.8502,248.9408,257.9265,252.5975,,340.7159,,460.6835,427.6934,174.8066,328.2134,285.9216
12890,,316.0667,288.419,277.6678,333.2994,363.5801,307.4582,,-0.0826,237.8323,166.4651,150.813,230.1637,321.3648,328.9428,,200.1381,168.671,161.6916,233.9026,273.1371,220.954,,6.5349,133.6451,65.0733,52.1491,116.2295,215.3015,222.0248,,249.923,232.2636,281.3916,295.5146,277.373,234.1959,,333.0458,397.2402,-239.7728,293.5994,-181.0837,290.6151,287.4158,,151.2845,127.9206,223.8051,223.1243,203.5597,173.4591,,333.1878,440.2728,219.3665,425.0452,263.7817,303.3027,288.6128
13343,,293.5318,265.7606,324.4134,355.424,374.6057,336.1195,,141.6597,219.3088,,211.2084,157.2303,236.1653,258.5507,,173.5576,143.4786,217.0583,262.9119,288.855,261.7803,,69.9116,112.1375,,101.0649,56.3273,118.2623,137.4825,,4.9083,71.5562,314.4569,288.7457,319.7277,286.6782,,336.4437,396.9859,,324.3067,250.6386,270.3681,280.8324,,156.0846,124.2124,251.8993,230.1314,225.1169,201.8748,,339.7109,440.8712,,435.4896,369.5663,297.3442,201.5951
13355,,271.581,295.2332,281.2649,365.3272,368.1135,336.6356,,125.5909,171.9977,,168.58,159.4517,162.3459,-32.2956,,151.4374,175.3344,162.1696,276.2587,278.6931,261.8473,,68.7581,81.3217,,65.1422,58.6351,60.5433,8.651,,10.7028,99.0768,287.9891,302.6987,290.3846,288.7196,,336.5203,396.5873,,323.6738,242.6657,263.5796,186.3747,,157.6393,126.8718,186.9565,237.9904,209.9018,204.3508,,339.6812,437.4563,,434.8353,342.7679,310.7355,217.5225
13580,,226.5233,,,,,,,,229.16,214.1474,258.196,148.0172,209.776,118.5074,,105.0954,,,,,,,,127.0646,101.9493,145.9696,51.9313,96.8021,35.7598,,-16.3049,,,,,,,,393.4455,417.5796,325.162,252.307,268.8456,229.5374,,146.6516,,,,,,,,444.1408,464.5772,437.6461,372.6556,292.9098,219.7657
17221,,206.4814,205.798,140.3856,57.8666,98.8342,138.3781,,,,,,,132.3311,181.5513,,85.731,85.3249,44.7666,9.7653,22.1319,45.0804,,,,,,,39.0515,68.4661,,101.511,230.6595,216.9717,172.9196,241.7237,177.3187,,,,,,,266.8905,190.0985,,44.476,142.8481,131.4879,92.019,128.1339,103.2531,,,,,,,306.6192,93.9355
17222,,317.8485,341.327,345.1599,346.046,376.6244,324.5935,,,,,,,268.0103,289.3235,,201.3102,232.5095,244.3093,247.8803,290.773,242.4594,,,,,,,152.8351,171.5405,,187.3198,217.5756,330.5639,314.7186,305.5502,273.3791,,,,,,,284.6657,289.6491,,153.2901,163.7326,234.0984,217.4212,217.9472,191.1141,,,,,,,325.0544,298.2109
19767,,365.1321,380.4102,363.9828,393.0779,409.3105,361.4246,,,274.8848,295.8546,308.5157,297.2693,308.5093,335.2116,,269.3956,291.6332,274.3004,319.9488,343.9154,300.8172,,,173.6519,191.3083,205.8749,197.7459,204.3757,237.3172,,294.9642,270.4164,337.6449,363.7597,375.1558,292.6977,,,395.7895,417.4022,-227.0821,264.5041,292.6679,187.4568,,210.0496,206.3847,279.4161,292.4483,311.8913,213.6088,,,431.0316,460.995,326.1778,361.6088,307.1745,126.8144
19768,,362.7925,361.5441,359.6422,381.9529,386.9173,348.8138,,,267.7169,294.4253,295.0167,306.8256,324.999,336.0789,,267.4108,265.7796,268.5834,303.136,309.5992,281.1436,,,166.4504,188.5721,189.3672,210.6037,225.2263,236.9129,,287.0529,288.7273,333.5121,355.1643,356.8244,288.4231,,,397.3638,419.0104,-232.5445,267.607,305.5653,322.3143,,204.0788,209.1622,263.6836,282.7829,284.7343,233.1075,,,435.3638,461.6324,336.6132,370.2214,347.5525,291.1041
19769,,344.6795,346.3178,354.6101,364.1463,383.841,346.9141,,,271.5489,292.963,296.3419,275.0247,324.8011,319.3265,,244.2827,247.4592,261.465,276.5993,304.9639,279.2734,,,171.3018,186.6793,191.7076,170.1372,227.3311,217.0013,,285.7104,279.9498,339.877,349.7746,357.0262,299.1761,,,397.6085,419.7217,-223.527,264.945,298.4797,317.862,,198.8032,197.3125,273.1798,280.4293,284.978,221.193,,,435.7844,463.7176,320.3487,384.0888,351.4893,270.3258
19794,,183.4241,254.3026,214.0104,102.592,228.8314,187.4385,,86.8013,125.2306,131.6854,116.462,224.2727,280.5314,194.4093,,74.4236,131.3593,95.3332,23.5233,108.2828,83.1118,,29.9858,39.7,42.4187,33.6233,114.522,169.1687,83.0118,,20.138,168.7697,42.5921,140.1571,262.0799,214.0358,,337.3407,396.3772,-321.3994,162.8731,258.6902,286.8196,270.6413,,113.8803,139.7832,72.7727,53.8121,167.369,142.2998,,341.6204,439.5619,312.9055,186.5232,392.7532,318.8207,258.9708
19795,,236.9735,246.1766,303.8917,310.5646,333.186,332.9541,,42.8977,82.5638,134.1476,,303.1702,301.0187,157.9748,,114.4396,123.7203,189.9084,198.9116,230.0461,255.5259,,9.9916,22.4986,47.1791,,200.549,189.7243,56.0836,,44.0098,183.4346,175.799,231.1058,322.354,276.3994,,336.6717,395.5147,349.0555,,258.7699,289.1879,229.8108,,155.9442,123.1593,106.1878,124.3914,231.1457,192.2313,,340.4489,439.9743,353.4243,,381.6007,349.1194,261.8735
19796,,243.2783,246.5951,312.1183,354.0917,356.1291,354.7221,,44.3301,157.3164,219.9325,305.8637,251.7078,303.6479,262.8972,,120.3301,122.7235,198.7451,259.4329,261.8044,289.3416,,10.1866,58.655,108.1385,202.7674,138.4874,192.7431,144.3576,,130.3315,228.6684,335.4805,304.8337,299.2714,271.9368,,336.2113,396.0302,-136.7121,-214.3634,230.7578,291.9713,247.6839,,56.8493,140.1014,282.0456,223.1252,204.3903,186.3031,,339.588,441.4903,93.1942,303.1274,294.3886,348.4564,158.8923
19857,,358.8309,366.5266,358.4433,347.9169,385.4492,331.6037,,43.5847,78.0541,114.4179,143.8616,257.4714,302.3456,335.0616,,257.4123,271.4908,263.1559,250.4236,304.338,253.8057,,8.5829,17.0794,33.6306,48.9168,148.233,193.043,231.5319,,271.4569,285.0544,353.9578,242.3834,225.973,170.1236,,334.5697,378.6476,308.0464,229.945,248.827,197.252,259.5429,,179.8681,201.6969,283.552,172.6234,186.4582,148.1784,,337.2113,390.1615,248.1662,282.1108,342.9852,124.5209,281.4829
19858,,290.084,282.749,322.4952,318.3217,374.5158,350.5949,,26.6359,69.185,116.895,167.3594,309.5946,329.4507,276.3266,,168.6234,162.1083,213.2083,210.6387,287.7242,282.5537,,5.2513,16.3828,34.2434,64.3329,211.8861,229.0721,162.2767,,71.7326,93.271,114.7991,193.2721,231.7436,290.0889,,326.8507,-1.8943,-53.4858,-252.5165,260.3119,293.1274,275.8129,,151.1703,126.0861,76.4682,108.2733,190.3754,238.0286,,322.5123,6.3023,19.2345,361.9237,379.2881,337.8027,296.5492
19859,,278.3496,282.99,311.5785,289.4551,347.7291,314.1767,,84.2374,76.867,125.5907,184.11,224.7511,196.192,255.4802,,156.1743,161.4943,200.9485,175.7304,248.9154,226.5996,,25.2793,16.187,38.4175,76.2471,114.9092,84.6408,138.8571,,178.4028,130.585,279.3438,148.1126,178.0205,246.6289,,323.0014,43.5175,5.7196,242.7143,185.558,127.042,241.562,,135.6173,117.8152,235.2982,111.5751,152.7111,195.036,,315.2285,8.5808,16.413,347.4742,207.6493,63.9997,264.2113
19860,,246.6987,125.4934,121.7431,169.8572,321.7201,326.5299,,128.1744,234.3201,197.416,238.2742,282.7428,309.5653,234.6257,,123.8499,34.6569,37.1202,65.82,215.6526,247.2957,,57.5093,130.0143,84.8664,123.8551,174.1386,202.5303,118.4417,,148.8778,60.5174,233.7417,145.1068,210.3651,245.682,,337.5248,395.7029,415.2609,-221.298,251.6671,201.651,-224.4879,,107.61,100.7258,145.1868,97.886,173.7309,197.863,,341.8654,441.8205,461.6873,314.5513,350.909,139.7745,254.7451
19861,,306.497,198.0199,264.7587,257.116,322.0535,333.0882,,96.662,266.3616,264.4939,287.0818,277.4652,315.9393,284.8572,,187.7536,79.4645,144.1598,140.0025,215.5863,255.6649,,34.7599,165.6126,150.6528,176.9712,169.8681,210.4517,170.5198,,199.602,143.8171,244.0735,159.512,157.9583,201.2863,,337.3135,396.8847,416.3865,-232.6598,221.1711,93.654,282.7475,,143.4435,56.9154,218.935,129.0663,144.2617,167.3759,,341.4135,442.368,464.0974,335.6633,263.883,47.825,245.391
19862,,320.8808,320.4285,286.7098,293.2865,370.4918,314.5096,,101.284,197.9247,235.2326,283.5205,275.2682,307.7611,267.6626,,205.7261,204.6759,169.69,180.071,281.5315,227.9958,,35.5165,92.3126,121.9897,173.711,167.3724,199.8034,148.9728,,201.5664,185.7955,299.7449,171.318,169.8857,207.8182,,337.2255,396.1298,414.383,-231.65,210.5265,50.0996,264.4239,,161.1835,114.3242,252.0182,132.0728,150.0369,168.2172,,342.1175,440.909,460.5496,333.912,216.2097,39.776,229.8006
19866,,346.5398,355.1059,299.5885,364.0577,393.8792,361.924,54.8402,76.718,205.1436,226.0803,232.7338,187.0409,243.6151,318.0771,,240.0604,250.9558,185.0107,274.6787,318.663,301.868,29.0129,21.0242,101.063,111.0255,118.0936,78.651,124.7987,209.4292,,242.9927,243.3358,290.3461,352.3138,347.6292,318.895,-87.8227,335.1961,396.5163,418.9517,-249.6335,240.9223,185.1519,158.993,,204.0028,192.0932,252.7222,278.0389,265.2551,255.9582,75.9108,337.0998,442.4266,462.5902,364.6426,309.9598,161.2926,114.0288
