sensor_id,project_id,logger_id,Negative_Days,Days_Above_9900,Days_Above_9500,Setup_days,Flat_days,Cnt_Days_10X,Cnt_Days_20X,Cnt_Days_30X,Cnt_Days_40X,Class
12884,3034,12884,0,0,0,4,13,90,0,0,17,A
12890,3037,12890,0,0,0,3,15,89,0,0,18,A
13343,3038,13343,0,8,10,3,0,82,0,15,10,A
13355,3039,13355,0,7,9,3,0,83,0,15,9,A
13580,3040,13580,1,0,15,5,1,53,0,47,7,A
17221,3221,17221,0,0,0,1,0,53,0,53,1,A
17222,3221,17221,0,0,0,1,0,57,0,49,1,A
19767,3116,19767,2,0,0,3,0,87,0,16,4,A
19768,3116,19767,2,0,0,2,0,87,0,16,4,A
19769,3116,19767,1,0,0,4,0,86,0,16,5,A
19794,3059,19794,0,0,0,3,0,91,1,11,4,A
19795,3059,19794,0,6,7,2,0,89,0,11,7,A
19796,3059,19794,0,0,0,2,0,93,1,11,2,A
19857,3054,19857,8,0,0,2,6,91,0,5,11,A
19858,3054,19857,7,0,0,3,6,90,0,5,12,A
19859,3054,19857,8,0,0,5,6,85,0,8,14,A
19860,3053,19860,7,0,0,3,7,91,0,6,10,A
19861,3053,19860,9,0,0,2,7,92,0,5,10,A
19862,3053,19860,7,0,0,2,6,92,0,5,10,A
19866,3048,19866,0,0,0,4,0,100,0,3,4,A
19867,3048,19866,0,0,0,3,0,101,0,3,3,A
19868,3048,19866,0,0,0,3,0,101,0,3,3,A
19869,3058,19869,0,0,0,2,0,91,0,11,5,A
19870,3058,19869,0,0,0,2,0,94,0,11,2,A
19871,3058,19869,0,0,0,2,0,92,0,11,4,A
20330,3049,20330,0,0,0,2,0,94,0,11,2,A
20331,3049,20330,0,0,0,3,0,93,0,11,3,A
20332,3049,20330,0,0,1,2,0,94,0,11,2,A
20339,3047,20339,0,0,0,0,0,104,0,3,0,A
20340,3047,20339,0,0,0,2,0,102,0,3,2,A
20341,3047,20339,0,0,0,1,0,103,0,3,1,A
23172,3015,23167,15,0,0,6,46,12,1,38,56,C
23178,3043,23173,6,0,0,2,0,36,2,62,7,B
23499,3019,23496,7,0,0,3,5,88,0,11,8,A
23501,3019,23496,4,0,0,2,1,91,0,11,5,A
23505,3020,23502,0,0,0,1,0,94,0,12,1,A
23507,3020,23502,0,0,0,2,0,92,1,12,2,A
23578,2816,23573,53,0,0,3,16,36,0,17,54,B
23584,2819,23579,53,0,0,3,51,36,0,17,54,B
23590,2937,23585,0,0,0,2,18,33,0,72,2,B
23608,2813,23603,25,0,0,3,0,39,0,41,27,B
23614,3001,23609,25,0,0,4,0,14,0,64,29,C
23620,2804,23615,0,0,0,4,34,36,0,33,38,B
23756,3071,23751,13,0,0,4,12,25,0,67,15,B
23786,2915,23781,5,29,29,4,0,48,0,25,34,B
23926,2861,23921,21,0,0,3,23,16,0,70,21,C
23930,2942,23927,8,0,0,3,3,76,0,21,10,A
23932,2942,23927,0,0,31,2,49,29,0,19,59,B
24129,3205,24126,27,0,0,12,14,33,2,45,27,B
24131,3205,24126,44,0,0,11,0,15,0,44,48,C
24144,2827,24139,64,0,0,5,38,14,0,28,65,C
24150,3083,24145,57,0,0,3,17,27,0,20,60,B
24162,2830,24157,7,28,30,6,13,42,0,18,47,B
24218,3090,24216,1,0,0,2,2,36,1,68,2,B
24219,3090,24216,1,0,0,1,0,14,0,92,1,C
24226,2953,24221,43,47,51,19,6,8,0,11,88,C
24519,3252,24516,2,0,0,1,1,44,0,61,2,B
