sensor_id,nds_wt_CM_Sum,nds_wt_CM_Sum_Square,nds_wt_CM_Avg_Sum,nds_wt_CM_Avg_Sum_Square,nds_wt_CM_T2,nds_wt_CM_T2_Flag,nds_wt_T2,nds_wt_T2_Flag,nds_wt_PC1,nds_wt_PC2,nds_wt_PC3,nds_wt_PC4,nds_wt_PC5,nds_wt_PC6,nds_wt_PC7,nds_wt_PC8,nds_wt_PC9,nds_wt_PC10,nds_wt_PC_dist_2,nds_wt_PC_dist_3,nds_wt_PC_dist_5,nds_wt_PC_dist_7,nds_wt_PC_dist_10,nd_wt_CM_Sum,nd_wt_CM_Sum_Square,nd_wt_CM_Avg_Sum,nd_wt_CM_Avg_Sum_Square,nd_wt_CM_T2,nd_wt_CM_T2_Flag,nd_wt_T2,nd_wt_T2_Flag,nd_wt_PC1,nd_wt_PC2,nd_wt_PC3,nd_wt_PC4,nd_wt_PC5,nd_wt_PC6,nd_wt_PC7,nd_wt_PC8,nd_wt_PC9,nd_wt_PC10,nd_wt_PC_dist_2,nd_wt_PC_dist_3,nd_wt_PC_dist_5,nd_wt_PC_dist_7,nd_wt_PC_dist_10,nd_CM_Sum,nd_CM_Sum_Square,nd_CM_Avg_Sum,nd_CM_Avg_Sum_Square,nd_CM_T2,nd_CM_T2_Flag,nd_T2,nd_T2_Flag,nd_PC1,nd_PC2,nd_PC3,nd_PC4,nd_PC5,nd_PC6,nd_PC7,nd_PC8,nd_PC9,nd_PC10,nd_PC_dist_2,nd_PC_dist_3,nd_PC_dist_5,nd_PC_dist_7,nd_PC_dist_10,nw_CM_Sum,nw_CM_Sum_Square,nw_CM_Avg_Sum,nw_CM_Avg_Sum_Square,nw_CM_T2,nw_CM_T2_Flag,nw_T2,nw_T2_Flag,nw_PC1,nw_PC2,nw_PC3,nw_PC4,nw_PC5,nw_PC6,nw_PC7,nw_PC8,nw_PC9,nw_PC10,nw_PC_dist_2,nw_PC_dist_3,nw_PC_dist_5,nw_PC_dist_7,nw_PC_dist_10,grade_auto,grade,T2_basic,T2_MVE,T2_MCD,T2_UCL
12884,250.64109,167.7375436,0.626602725,0.419343859,1.7672,0,347.9317957,1,9.154546391,-1.764513405,1.733660593,-0.327321674,2.217221723,-4.809269485,2.994659261,-0.202753945,1.403428983,-2.055548499,2.47957086,2.558838884,2.629675304,2.98924335,2.986576435,240.0808821,154.3600959,0.600202205,0.38590024,1.5767,0,129.0490599,0,441.5841041,-38.2316845,82.5192879,23.80106419,-14.97628692,8.563888518,-45.58974547,18.35495845,-23.18739821,26.07269681,2.066167489,2.102672444,2.088235057,2.101374925,2.116173301,115.3254059,52.6457192,0.288313515,0.131614298,3.4949,0,147.5746539,0,555.8096686,-218.3994855,-38.54440353,26.03779825,-71.80614317,44.67587692,-25.28714491,24.75568281,-28.74107405,47.40216323,2.094219458,2.169055165,2.095664792,2.05337317,2.044646262,221.0478687,204.7256989,0.552619672,0.511814247,0.8711,0,141.2240434,0,1360.574611,417.6218506,-54.03654361,23.07194341,-42.55168865,46.75353341,-62.27346895,34.63592475,-4.795691133,20.06520414,1.053355136,1.065887843,1.06971834,1.074043256,1.076075044,Good,Good,192.5938708,211.6359718,1024.447162,183.9586098
12890,295.3341183,230.4542198,0.738335296,0.57613555,0.1579,0,142.4709421,0,4.142239863,-2.562093986,-3.150343609,0.285686581,-0.335312547,1.823819089,-2.052798395,0.77780216,-2.011925809,0.234616725,1.295384243,1.565226794,1.569936215,1.706025105,1.756263646,280.6976499,209.8356476,0.701744125,0.524589119,0.1038,0,53.45501606,0,346.2911881,9.272381999,-66.18529048,22.16983046,-1.895087672,-30.93152368,60.37355387,-28.23523623,32.2130471,13.88156976,1.614832698,1.644825709,1.633605229,1.665142202,1.683613636,184.999178,107.4593112,0.462497945,0.268648278,0.9538,0,59.7394584,0,307.0705855,172.8828018,-134.8537771,13.86141393,-2.547421054,9.771851528,13.0194672,-61.45782341,-43.58134236,-45.7412371,1.235790705,1.367624967,1.311631579,1.281723791,1.303986566,245.1362944,214.0326907,0.612840736,0.535081727,1.0199,0,58.39897862,0,-592.7110319,179.2979185,330.5327949,29.33210976,23.51641631,13.07014746,32.62553154,-20.22799463,62.04375745,-9.853145944,0.45830833,0.52531389,0.527652714,0.529657667,0.532775075,Good,Good,111.2149528,169.1054757,166.6457117,183.9586098
13343,290.9078579,223.6401351,0.727269645,0.559100338,0.2282,0,362.0000396,1,6.471808803,-2.781951055,0.695045062,1.878261247,-0.979712566,0.207851009,-0.861907068,-0.363373475,-2.005768886,-1.420002886,1.873538225,1.91007695,1.994036154,1.973606385,2.02959998,261.6805806,181.0935168,0.654201451,0.452733792,0.6328,0,128.3514585,0,420.6766246,5.336594059,27.56102319,7.591183988,-20.73122868,3.639285873,35.61090967,-41.66075571,51.37996569,-3.673742746,1.961163425,1.966304509,1.951686241,1.960703091,1.991011629,218.8333891,138.366741,0.547083473,0.345916852,0.4456,0,135.1452847,0,260.9052331,-3.91107827,-190.47702,58.2817526,25.61893619,47.11571466,30.6826141,9.92136866,-18.12328821,-13.88049923,0.915059354,1.170975258,1.143833984,1.132878348,1.125546581,243.5195138,163.1812468,0.608798785,0.407953117,0.8418,0,146.4856852,0,-1153.574067,358.4850522,98.9462672,-0.009605033,-59.93385618,4.610562401,-30.92771794,-4.016553383,29.43468958,-35.82232376,0.894056794,0.907070445,0.910916568,0.91354017,0.915575474,Good,Good,243.6048521,233.5011976,2020.594956,183.9586098
13355,-87.63218889,43.58464281,-0.219080472,0.108961607,53.03,1,567.9330703,1,24.46458175,8.478046358,-0.877293576,1.804926703,0.542095492,-0.043933787,1.582500959,-0.491623452,0.09885633,0.301835588,6.88625881,6.990642359,7.010018022,6.901562358,6.733862823,-82.5448999,38.66289601,-0.20636225,0.09665724,52.9402,1,164.27247,0,698.3669412,-10.67758832,53.65274673,9.249552089,6.623757635,-11.23797113,-23.73039007,10.20960883,4.712910204,25.72190084,3.255853766,3.267003083,3.238705306,3.244311806,3.257523043,-77.0394706,42.2499266,-0.192598676,0.105624817,52.568,1,175.4466463,0,657.8930515,-96.9065421,-182.0098206,78.13609207,13.32848271,5.87613711,-4.457160068,35.42765577,-6.48196851,20.89429146,2.332029284,2.49900033,2.410792205,2.353767875,2.336262521,156.1514566,151.8529497,0.390378642,0.379632374,0.6249,0,176.4047579,0,-162.5075597,638.683676,123.9094617,38.58017724,2.742006683,19.39699239,-49.378755,38.7773034,1.114426448,23.90844508,0.487762871,0.501852732,0.50420221,0.50706082,0.508977527,Outlier,Outlier,294.6007843,3339.235973,5084.825222,183.9586098
13580,69.10444612,31.0279194,0.172761115,0.077569799,13.4636,1,483.7209802,1,22.8423241,0.335469016,-3.20490525,4.018750563,-0.122743434,0.212251781,0.245984536,0.915002873,0.524251308,-1.546751063,6.075831427,6.224759214,6.319412068,6.210715756,6.077596554,103.213188,42.23329248,0.25803297,0.105583231,10.6171,1,219.4982159,0,669.2346217,-200.584537,-39.01724428,85.55536335,-42.12382903,-23.62646828,-67.06904344,-8.869146406,-30.37943492,62.64130634,3.256783809,3.263414158,3.264622633,3.284504605,3.311308633,57.57634803,24.54618457,0.14394087,0.061365461,6.1853,1,227.9733102,0,614.4089449,69.70012559,-165.2417515,1.905321558,-293.0239861,74.28785918,22.62193142,-36.86643783,4.304222397,27.62711297,2.16846242,2.319934984,2.445341577,2.401848068,2.384779862,193.7764795,157.6138746,0.484441199,0.394034687,0.0468,0,249.597904,0,-506.5891156,343.9403618,365.359018,11.61446932,-29.16363294,179.5820924,31.076103,63.28502907,103.0658428,34.25417086,0.45318414,0.533622334,0.53574945,0.554348983,0.563201542,Outlier,Outlier,236.5786593,236.891253,1776.131101,183.9586098
17221,219.3407383,130.3890647,0.548351846,0.325972662,3.6321,1,443.2211384,1,13.13102218,-0.816950337,1.962881708,-0.048410943,2.874404745,-1.362621224,-1.589170868,0.974940994,1.64362099,-1.369344389,3.49909738,3.589394353,3.672736351,3.651665494,3.613582314,221.487205,130.4189007,0.553718013,0.326047252,2.9085,0,196.9030615,0,485.440916,-16.3113086,44.96620665,11.79599432,-8.748628268,-22.24984455,-28.82246554,12.34324911,4.744877852,3.315293705,2.264184787,2.274951164,2.255970655,2.264567625,2.272850095,181.254961,96.73818077,0.453137402,0.241845452,1.9371,0,213.5676963,0,335.0679882,-17.57017976,-199.3196612,49.42638965,4.744338667,3.454346363,18.10325406,62.0407903,13.86892565,26.54977782,1.176648904,1.414568971,1.366636896,1.335698669,1.343479958,166.2705927,80.37660709,0.415676482,0.200941518,4.6587,0,205.2875939,0,-1200.994482,444.4686867,102.2665488,-20.01818266,-15.21507243,8.276495661,-11.6639581,34.20633181,-0.544986493,0.477977836,0.947796394,0.961433755,0.964516808,0.967033718,0.968820001,tbd,Outlier,293.1626748,257.1201569,2921.623391,183.9586098
17222,297.0273851,232.8942421,0.742568463,0.582235605,0.1426,0,242.1143363,0,4.355280477,-2.076246647,-1.658998563,-1.17351164,-3.319935329,-2.033322502,1.050410075,-0.329649137,0.369232514,0.018225355,1.283226316,1.376743877,1.673007973,1.75253228,1.71431095,286.3758944,216.0914911,0.715939736,0.540228728,0.1116,0,200.9823293,0,297.3783356,-109.1744963,-4.076510675,-5.125285012,14.52543728,56.84927431,7.981620437,8.890514344,41.9373516,-11.55425447,1.476711046,1.477537607,1.46627645,1.49163043,1.510634834,222.1689499,139.8571895,0.555422375,0.349642974,0.541,0,221.1072236,0,347.4566771,16.49559567,-62.7669844,92.07432175,-68.79071349,-50.38138542,-72.87403005,-35.80978677,52.4419951,-33.48513694,1.219852229,1.28118109,1.291152089,1.29585461,1.3063734,246.4654605,219.2265227,0.616163651,0.548066307,1.2913,0,213.8692918,0,494.4498215,199.4412424,110.5078248,10.62942863,87.9314335,88.60990372,-36.1317715,20.69200537,-7.812820327,-32.68756214,0.394599897,0.407488062,0.414088734,0.421343399,0.423019263,Good,Good,168.3194247,612.3159422,201.0401177,183.9586098
19767,317.1247087,274.4555327,0.792811772,0.686138832,0.441,0,111.1139944,0,-5.440226873,1.331102273,0.013655152,1.026194035,0.322746729,-0.738996413,-0.579243114,0.831650683,-0.492090748,-0.071472818,1.489571416,1.511287921,1.539111267,1.532854288,1.516095828,305.448828,254.1761014,0.76362207,0.635440253,0.6976,0,232.6859186,0,-367.8416539,171.6737199,54.75928704,19.72697922,-9.78590666,-58.89025541,-67.08163968,-57.00353719,8.375380078,46.7471851,1.892264549,1.9103148,1.896252924,1.942627305,1.979181767,263.7308532,205.3272897,0.659327133,0.513318224,2.4767,0,248.5440584,0,-535.7904301,-57.40637487,8.284996765,-141.6181012,111.087918,47.38137215,120.4830665,-70.19549291,18.70347412,56.00533429,1.889692856,1.953386626,1.973756381,1.976350947,1.982240841,166.846792,111.7904062,0.41711698,0.279476015,1.5878,0,245.886396,0,-1871.231237,-194.3099602,-177.0185953,18.94608859,-60.85109997,-202.6870451,103.3691825,-70.18274675,38.90478835,-2.861868001,1.392378957,1.41414987,1.419219549,1.433100388,1.436514213,Good,Good,68.39184724,113.0426744,118.7323143,183.9586098
19768,322.2359459,280.7009009,0.805589865,0.701752252,0.5912,0,147.899579,0,-4.430069998,1.042636642,-0.073394186,-0.379882093,-0.35357045,-0.781965129,-1.041033813,1.219967826,-0.532306161,-0.310266671,1.210419813,1.228222589,1.236339299,1.2630723,1.281797338,312.0445925,262.2794165,0.780111481,0.655698541,0.982,0,289.9195496,1,-321.7884456,80.68499732,30.43266398,-77.09897253,8.992512324,-40.12720631,-62.94893157,-47.24424781,24.44787623,20.64386697,1.546468289,1.553702097,1.581291861,1.620174098,1.646914615,266.9760628,203.8748051,0.667440157,0.509687013,2.172,0,301.44044,1,-255.9831029,2.542887128,191.8942488,8.159842429,129.6081284,1.336692312,50.34358102,-35.943448,-17.83660033,53.57081544,0.897739658,1.159638388,1.199454465,1.183406941,1.193872831,277.4244432,227.5067535,0.693561108,0.568766884,1.6938,0,308.0111677,1,322.3511024,-245.8179381,-138.9590535,-104.4550889,12.72374268,-166.2805021,17.60344256,-26.18984833,3.089703808,-35.28065031,0.300032514,0.320712617,0.331235176,0.355120655,0.357196602,Good,Good,99.94686112,122.5566555,131.6323043,183.9586098
19769,308.1143713,261.0955385,0.770285928,0.652738846,0.1855,0,136.2941623,0,-5.548811128,2.040309777,-0.04088893,1.247763274,-0.567454636,-0.817143457,-1.441360505,0.076180379,-0.246751305,-0.375454745,1.572373302,1.59533039,1.637858205,1.668434992,1.631746394,300.6089025,247.0897296,0.751522256,0.617724324,0.4799,0,303.6748377,1,-354.6585833,197.4830964,-24.94712824,-27.84148537,13.37335017,-24.16537414,-75.86016124,-88.08605062,32.60652813,21.14629365,1.892281405,1.896755602,1.885492577,1.923053534,1.980440125,257.1352476,193.3274996,0.642838119,0.483318749,1.518,0,318.9852826,1,-316.910941,61.9346154,132.1670732,-105.129595,164.8683044,94.08046477,30.75427065,-116.6493016,21.75641272,69.08037669,1.132385044,1.26466031,1.389393328,1.397371308,1.459339285,274.0210684,215.6333985,0.685052671,0.539083496,1.2251,0,334.6318588,1,-430.318298,-311.1042791,19.67552384,60.33698562,-55.67727498,-209.5459153,27.68990781,-95.19415373,-0.894101678,-27.98105076,0.393001836,0.397664117,0.403595904,0.434767017,0.44179127,Good,Good,83.43304837,119.0360389,120.5835957,183.9586098
