sensor_id,D_C1,DN_PC1,DN_PC2,DN_PC3,DN_PC4,DN_PC5,DN_PC6,DN_PC7,DN_PC8,DN_PC9,DN_PC10,DN_PC_dist_2,DN_PC_dist_3,DN_PC_dist_5,DN_PC_dist_7,DN_PC_dist_10,DN_CM_Sum,DN_CM_Sum_Square,DN_CM_Sum_sd,DN_CM_Sum_Square_sd,DN_T2_Hourly,DN_T2_Hourly_Flag,T2_MDS,T2_MDS_Flag,T2_Growth,T2_Growth_Flag,WN_C1,WN_PC1,WN_PC2,WN_PC3,WN_PC4,WN_PC5,WN_PC6,WN_PC7,WN_PC8,WN_PC9,WN_PC10,WN_PC_dist_2,WN_PC_dist_3,WN_PC_dist_5,WN_PC_dist_7,WN_PC_dist_10,WN_CM_Sum,WN_CM_Sum_Square,WN_CM_Sum_sd,WN_CM_Sum_Square_sd,WN_T2_Hourly,DNT_CM_Sum,DNT_CM_Sum_Square,DNT_CM_Sum_sd,DNT_CM_Sum_Square_sd,WN_T2_Hourly_Flag,MDS_D1,MDS_D2,MDS_D3,MDS_D4,MDS_D5,MDS_D6,MDS_D7,RZ_MDS_D1,RZ_MDS_D2,RZ_MDS_D3,RZ_MDS_D4,RZ_MDS_D5,RZ_MDS_D6,RZ_MDS_D7,Growth_D1,Growth_D2,Growth_D3,Growth_D4,Growth_D5,Growth_D6,Growth_D7,RZ_Growth_D1,RZ_Growth_D2,RZ_Growth_D3,RZ_Growth_D4,RZ_Growth_D5,RZ_Growth_D6,RZ_Growth_D7
12884,1,555.8096686,-218.3994855,-38.54440353,26.03779825,-71.80614317,44.67587692,-25.28714491,24.75568281,-28.74107405,47.40216323,2.094219458,2.169055165,2.095664792,2.05337317,2.044646262,221.0478687,204.7256989,-0.80139102,-0.517092495,147.5746539,0,2.672531019,0,6.321608622,0,1,1360.574611,417.6218506,-54.03654361,23.07194341,-42.55168865,46.75353341,-62.27346895,34.63592475,-4.795691133,20.06520414,1.053355136,1.065887843,1.06971834,1.074043256,1.076075044,115.3254059,52.6457192,-2.235420234,-2.901218022,141.2240434,240.0808821,154.3600959,-1.294598081,-2.11774507,0,28,22,25,25,38,46,59,-1.173613921,-1.088178425,-1.011736139,-1.124151266,-0.971266694,-0.593551868,-0.627569663,91,79,32,63,65,27,8,1.259049418,1.326498494,-0.179864203,0.741939835,1.214083367,0.741939835,-0.458653716
12890,1,307.0705855,172.8828018,-134.8537771,13.86141393,-2.547421054,9.771851528,13.0194672,-61.45782341,-43.58134236,-45.7412371,1.235790705,1.367624967,1.311631579,1.281723791,1.303986566,245.1362944,214.0326907,-0.474974975,-0.340750831,59.7394584,0,2.400751932,0,1.717647706,0,2,-592.7110319,179.2979185,330.5327949,29.33210976,23.51641631,13.07014746,32.62553154,-20.22799463,62.04375745,-9.853145944,0.45830833,0.52531389,0.527652714,0.529657667,0.532775075,184.999178,107.4593112,-1.242723994,-1.919555311,58.39897862,280.6976499,209.8356476,-0.6816826,-1.191457997,0,96,54,31,56,63,33,49,-0.256306489,-0.512612977,-0.910562525,-0.659502076,-0.634021314,-0.768919466,-0.744872404,14,3,24,34,10,17,45,-0.472143532,-0.38221143,-0.359728405,0.089932101,-0.269796304,0.404694456,0.539592608
13343,1,260.9052331,-3.91107827,-190.47702,58.2817526,25.61893619,47.11571466,30.6826141,9.92136866,-18.12328821,-13.88049923,0.915059354,1.170975258,1.143833984,1.132878348,1.125546581,243.5195138,163.1812468,-0.496883551,-1.304244563,135.1452847,0,2.804462429,0,1.405067303,0,3,-1153.574067,358.4850522,98.9462672,-0.009605033,-59.93385618,4.610562401,-30.92771794,-4.016553383,29.43468958,-35.82232376,0.894056794,0.907070445,0.910916568,0.91354017,0.915575474,218.8333891,138.366741,-0.76066176,-1.366030717,146.4856852,261.6805806,181.0935168,-0.968654134,-1.671371462,0,50,15,25,35,40,35,85,-0.876837987,-1.214083367,-1.011736139,-0.97426443,-0.944287063,-0.741939835,-0.322582537,-5,5,15,10,15,-15,25,-0.899321013,-0.33724538,-0.562075633,-0.449660506,-0.134898152,-0.674490759,0
13355,1,657.8930515,-96.9065421,-182.0098206,78.13609207,13.32848271,5.87613711,-4.457160068,35.42765577,-6.48196851,20.89429146,2.332029284,2.49900033,2.410792205,2.353767875,2.336262521,156.1514566,151.8529497,-1.680785565,-1.518884353,175.4466463,0,4.490125195,0,1.767694875,0,2,-162.5075597,638.683676,123.9094617,38.58017724,2.742006683,19.39699239,-49.378755,38.7773034,1.114426448,23.90844508,0.487762871,0.501852732,0.50420221,0.50706082,0.508977527,-77.0394706,42.2499266,-4.976191749,-3.087397427,176.4047579,-82.5448999,38.66289601,-6.163088291,-4.049565797,0,15,0,5,0,0,0,20,-1.348981519,-1.483879671,-1.348981519,-1.498868354,-1.483879671,-1.214083367,-1.085050352,35,25,5,20,25,10,10,0,0.112415127,-0.786905886,-0.224830253,0.134898152,0.16862269,-0.404694456
13580,1,614.4089449,69.70012559,-165.2417515,1.905321558,-293.0239861,74.28785918,22.62193142,-36.86643783,4.304222397,27.62711297,2.16846242,2.319934984,2.445341577,2.401848068,2.384779862,193.7764795,157.6138746,-1.170938582,-1.409730814,227.9733102,0,9.599165162,0,2.529679979,0,2,-506.5891156,343.9403618,365.359018,11.61446932,-29.16363294,179.5820924,31.076103,63.28502907,103.0658428,34.25417086,0.45318414,0.533622334,0.53574945,0.554348983,0.563201542,57.57634803,24.54618457,-3.058215829,-3.40445571,249.597904,103.213188,42.23329248,-3.359960076,-3.989950129,0,135,35,25,60,25,5,30,0.269796304,-0.854354962,-1.011736139,-0.599547342,-1.146634291,-1.146634291,-0.967747611,25,-25,25,35,5,15,25,-0.224830253,-1.011736139,-0.33724538,0.112415127,-0.404694456,0.33724538,0
17221,1,335.0679882,-17.57017976,-199.3196612,49.42638965,4.744338667,3.454346363,18.10325406,62.0407903,13.86892565,26.54977782,1.176648904,1.414568971,1.366636896,1.335698669,1.343479958,166.2705927,80.37660709,-1.543663761,-2.873162674,213.5676963,0,3.071178301,0,5.123694056,0,3,-1200.994482,444.4686867,102.2665488,-20.01818266,-15.21507243,8.276495661,-11.6639581,34.20633181,-0.544986493,0.477977836,0.947796394,0.961433755,0.964516808,0.967033718,0.968820001,181.254961,96.73818077,-1.296070756,-2.111561228,205.2875939,221.487205,130.4189007,-1.575180538,-2.517496292,0,60,20,15,35,35,50,85,-0.741939835,-1.124151266,-1.180358829,-0.97426443,-1.011736139,-0.539592608,-0.322582537,75,-15,5,20,0,0,15,0.899321013,-0.786905886,-0.786905886,-0.224830253,-0.539592608,-0.16862269,-0.269796304
17222,1,347.4566771,16.49559567,-62.7669844,92.07432175,-68.79071349,-50.38138542,-72.87403005,-35.80978677,52.4419951,-33.48513694,1.219852229,1.28118109,1.291152089,1.29585461,1.3063734,246.4654605,219.2265227,-0.456963787,-0.242342128,221.1072236,0,2.33204955,0,9.687626887,0,2,494.4498215,199.4412424,110.5078248,10.62942863,87.9314335,88.60990372,-36.1317715,20.69200537,-7.812820327,-32.68756214,0.394599897,0.407488062,0.414088734,0.421343399,0.423019263,222.1689499,139.8571895,-0.713137439,-1.339338108,213.8692918,286.3758944,216.0914911,-0.595996707,-1.087002849,0,90,60,40,85,85,85,85,-0.33724538,-0.404694456,-0.758802104,-0.224830253,-0.33724538,-0.067449076,-0.322582537,130,20,25,70,35,25,50,2.135887405,0,-0.33724538,0.899321013,0.404694456,0.674490759,0.674490759
19767,2,-535.7904301,-57.40637487,8.284996765,-141.6181012,111.087918,47.38137215,120.4830665,-70.19549291,18.70347412,56.00533429,1.889692856,1.953386626,1.973756381,1.976350947,1.982240841,166.846792,111.7904062,-1.535855833,-2.277958365,248.5440584,0,4.433000451,0,3.140342183,0,4,-1871.231237,-194.3099602,-177.0185953,18.94608859,-60.85109997,-202.6870451,103.3691825,-70.18274675,38.90478835,-2.861868001,1.392378957,1.41414987,1.419219549,1.433100388,1.436514213,263.7308532,205.3272897,-0.120972785,-0.166826809,245.886396,305.448828,254.1761014,-0.308182169,-0.451096019,0,210,115,140,195,210,185,245,1.281532443,0.584558658,0.927424794,1.423924937,1.348981519,1.281532443,1.554261315,10,10,30,5,-20,-40,25,-0.562075633,-0.224830253,-0.224830253,-0.562075633,-1.079185215,-1.517604209,0
19768,3,-255.9831029,2.542887128,191.8942488,8.159842429,129.6081284,1.336692312,50.34358102,-35.943448,-17.83660033,53.57081544,0.897739658,1.159638388,1.199454465,1.183406941,1.193872831,277.4244432,227.5067535,-0.037446595,-0.085454735,301.44044,1,8.119701409,0,8.985752737,0,2,322.3511024,-245.8179381,-138.9590535,-104.4550889,12.72374268,-166.2805021,17.60344256,-26.18984833,3.089703808,-35.28065031,0.300032514,0.320712617,0.331235176,0.355120655,0.357196602,266.9760628,203.8748051,-0.074735768,-0.192839518,308.0111677,312.0445925,262.2794165,-0.208650709,-0.315793245,1,195,100,120,170,240,180,210,1.079185215,0.314762354,0.590179415,1.049207848,1.753675975,1.214083367,1.143701723,50,0,95,75,35,-35,75,0.33724538,-0.449660506,1.236566392,1.011736139,0.404694456,-1.348981519,1.348981519
19769,3,-316.910941,61.9346154,132.1670732,-105.129595,164.8683044,94.08046477,30.75427065,-116.6493016,21.75641272,69.08037669,1.132385044,1.26466031,1.389393328,1.397371308,1.459339285,274.0210684,215.6333985,-0.08356485,-0.310421859,318.9852826,1,5.403045248,0,4.914367209,0,2,-430.318298,-311.1042791,19.67552384,60.33698562,-55.67727498,-209.5459153,27.68990781,-95.19415373,-0.894101678,-27.98105076,0.393001836,0.397664117,0.403595904,0.434767017,0.44179127,257.1352476,193.3274996,-0.214945491,-0.381732383,334.6318588,300.6089025,247.0897296,-0.381217652,-0.569418675,1,225,135,150,160,220,170,215,1.483879671,0.944287063,1.096047484,0.899321013,1.483879671,1.079185215,1.202353093,65,-5,60,35,40,-15,65,0.674490759,-0.562075633,0.449660506,0.112415127,0.539592608,-0.674490759,1.079185215
