PC,nds_wt_eig,nds_wt_variance,nds_wt_cumvariance,nd_wt_eig,nd_wt_variance,nd_wt_cumvariance,nd_eig,nd_variance,nd_cumvariance,nw_eig,nw_variance,nw_cumvariance
1,31.28537081,44.83730158,0.448373016,137723.3491,60.75866316,0.607586632,199427.15,49.92249269,0.499224927,4527578.624,93.12935386,0.931293539
2,6.563457424,9.406560073,0.542438617,22806.13378,10.06125838,0.708199215,51142.56392,12.8024909,0.627249836,112837.517,2.320994493,0.954503484
3,4.102915451,5.880181461,0.601240431,19003.54087,8.383689085,0.792036106,31750.08519,7.947981986,0.706729656,87916.22691,1.808379729,0.972587281
4,3.089350825,4.427569533,0.645516126,8555.175183,3.774240247,0.829778509,25269.15491,6.325614146,0.769985797,29785.18399,0.612661904,0.9787139
5,2.945670829,4.221651459,0.687732641,6089.859169,2.686630149,0.85664481,20341.22916,5.092009106,0.820905888,20916.39371,0.430236644,0.983016266
6,2.549200212,3.653441072,0.724267052,5159.225397,2.276067494,0.879405485,15707.38026,3.932020169,0.86022609,18986.54348,0.390540877,0.986921675
7,2.482744563,3.558198731,0.759849039,4199.485658,1.852664317,0.897932128,13479.34526,3.374277351,0.893968863,15772.97831,0.324439927,0.990166074
8,2.18778332,3.135468686,0.791203726,3649.715183,1.610125058,0.914033379,11429.62265,2.861171377,0.922580577,8573.199609,0.176345152,0.991929526
9,1.886833406,2.704155849,0.818245284,2537.889153,1.119626797,0.925229647,6577.594832,1.646565825,0.939046235,7853.023505,0.161531597,0.993544842
10,1.730035494,2.479437552,0.84303966,2234.249104,0.985671562,0.935086363,3147.123497,0.787817756,0.946924413,4896.724559,0.100722446,0.994552066
