datetime,nds_wt_PC1,nds_wt_PC2,nds_wt_PC3,nds_wt_PC4,nds_wt_PC5,nds_wt_PC6,nds_wt_PC7,nds_wt_PC8,nds_wt_PC9,nds_wt_PC10,nd_wt_PC1,nd_wt_PC2,nd_wt_PC3,nd_wt_PC4,nd_wt_PC5,nd_wt_PC6,nd_wt_PC7,nd_wt_PC8,nd_wt_PC9,nd_wt_PC10,nd_PC1,nd_PC2,nd_PC3,nd_PC4,nd_PC5,nd_PC6,nd_PC7,nd_PC8,nd_PC9,nd_PC10,nw_PC1,nw_PC2,nw_PC3,nw_PC4,nw_PC5,nw_PC6,nw_PC7,nw_PC8,nw_PC9,nw_PC10
7/12/2015 0:00,6.36E-18,-5.85E-18,9.19E-18,-2.30E-18,1.64E-17,-4.10E-17,2.62E-17,-2.01E-18,1.62E-17,-2.58E-17,5.64E-18,-2.95E-18,7.64E-18,4.90E-18,-4.33E-18,2.92E-18,-1.91E-17,8.85E-18,-1.61E-17,2.05E-17,5.70E-18,-8.73E-18,-2.48E-18,2.11E-18,-7.22E-18,5.82E-18,-3.84E-18,4.43E-18,-8.93E-18,3.08E-17,3.04E-18,3.75E-17,-6.22E-18,7.84E-18,-2.06E-17,2.49E-17,-4.00E-17,4.09E-17,-6.18E-18,4.15E-17
7/12/2015 1:00,0.005205367,-0.005758216,0.006384264,-0.021160104,-0.004895186,-0.024259947,-0.004559381,-0.032623766,0.029068952,0.03081856,-0.004506314,-0.015649809,-0.011290417,0.008012596,0.008409372,0.010023491,-0.020045786,0.007721445,-0.035328396,-0.005384011,-0.000205698,-0.001153643,0.014080014,0.000869073,-0.015577269,-0.005921634,-0.016037071,-0.003282706,0.002557759,0.027184224,0.001084589,-0.005194113,-0.003099233,0.000843133,0.006208233,0.015841833,0.000504573,0.001133317,-0.013782737,0.018759956
7/12/2015 2:00,0.012715488,0.0004734,-0.004891399,-0.049666501,-0.001292346,-0.040260009,-0.017887028,-0.060794248,0.044021409,0.034065332,-0.008649211,-0.033771076,-0.021697213,0.012650577,0.0193903,0.01212501,-0.038990799,0.011561965,-0.062296226,-0.00241694,-0.000705658,-0.000757717,0.02669451,0.004226372,-0.031356021,-0.013263235,-0.030878691,-0.006934691,0.007221135,0.046261435,0.001916569,-0.010455417,-0.005282173,0.001886425,0.015367877,0.029491077,0.002012179,0.00897873,-0.020916117,0.040929255
7/12/2015 3:00,0.019681222,-0.013723301,0.000378671,-0.050208997,-0.000158663,-0.05364274,-0.034124747,-0.088676329,0.059023618,0.053731568,-0.011966095,-0.051941379,-0.031249914,0.019533457,0.021826508,0.012506609,-0.057021565,0.002838865,-0.081588052,-0.004113802,-0.001146847,-8.19E-05,0.037464923,0.010047921,-0.046115439,-0.016779612,-0.040365134,-0.0101328,0.013947567,0.069949208,0.002559923,-0.014452155,-0.007963395,0.000316754,0.022153081,0.043442717,0.001093435,0.010113926,-0.025840433,0.063137087
7/12/2015 4:00,0.027896183,-0.008711503,0.00812242,-0.061198704,-0.00733923,-0.067924499,-0.041195126,-0.094030301,0.073652,0.053942299,-0.013836247,-0.063723487,-0.03912462,0.018576447,0.027746594,0.011595268,-0.076075502,0.010940764,-0.096431971,-0.008611754,0.000188231,-0.000589324,0.048879773,0.012512611,-0.054556361,-0.024244121,-0.050278163,-0.00923693,0.019380299,0.086733384,0.00348893,-0.016493617,-0.009843484,-0.001907979,0.029424174,0.05165294,0.002447862,0.014699694,-0.037664269,0.073617618
7/12/2015 5:00,0.033511583,-0.005878037,0.008177605,-0.078602779,0.002632853,-0.094637975,-0.051646048,-0.097473822,0.074673256,0.054124009,-0.017011008,-0.076776052,-0.046469634,0.016650589,0.030570353,0.010964822,-0.087688918,0.01274482,-0.109313757,-0.00331602,-0.00072313,0.000278458,0.056946731,0.017328636,-0.0622909,-0.029483492,-0.057230499,-0.009863697,0.021934406,0.09647063,0.003865049,-0.019888463,-0.011830183,-0.004629863,0.036222239,0.05872123,0.001360357,0.019097766,-0.042619373,0.082595128
7/12/2015 6:00,0.038205125,-0.00715349,0.018218701,-0.08341911,0.009568822,-0.106281641,-0.054775044,-0.10224803,0.076211844,0.077680983,-0.018817874,-0.087589345,-0.051275571,0.019003693,0.033984413,0.010459232,-0.110799739,0.012663426,-0.119642679,-0.001818208,2.69E-06,-0.001438549,0.06614432,0.020636355,-0.069706975,-0.031671777,-0.065142452,-0.010474836,0.029309162,0.117553571,0.004541586,-0.021635488,-0.014187445,-0.004479284,0.040468169,0.064512865,-0.000941431,0.023379528,-0.048290507,0.096772259
7/12/2015 7:00,0.05227556,0.011110025,0.028114958,-0.107515945,0.01610194,-0.133631353,-0.056273447,-0.114389583,0.074639172,0.07868467,-0.021141765,-0.101435905,-0.058033258,0.026437533,0.03233091,0.005603861,-0.134896841,0.019190235,-0.12395196,0.006985869,6.58E-05,-0.002836916,0.075628171,0.023254593,-0.081482364,-0.033578108,-0.071725908,-0.00552725,0.032181656,0.141468841,0.005154415,-0.02394698,-0.017846091,-0.007869505,0.041110388,0.073427514,-0.001227197,0.031518456,-0.055746793,0.113609296
7/12/2015 8:00,0.061878924,0.002852513,0.030056813,-0.099560817,0.040643638,-0.146009277,-0.073498113,-0.0827504,0.006532817,0.126546106,-0.01741054,-0.115099094,-0.06389962,0.023616392,0.036643224,-0.022676846,-0.158318367,0.008028049,-0.100802936,0.062808825,0.003872904,-0.001023126,0.079862425,0.030393634,-0.088079946,-0.043146272,-0.069498572,-0.000383543,0.033625269,0.152236108,0.0055032,-0.019943535,-0.017865058,-0.015524083,0.048127309,0.077247557,0.003533582,0.043583085,-0.059282833,0.13152214
7/12/2015 9:00,0.075295008,0.014027649,0.031097346,-0.093438678,0.053350593,-0.121896891,-0.07532136,-0.06620528,-0.023765974,0.177461011,-0.002059262,-0.124129181,-0.052016501,0.002716668,0.043343572,-0.041754006,-0.148302542,0.029161219,-0.091007366,0.098519989,0.017429748,-0.007589986,0.077146661,0.046063095,-0.084979264,-0.058434705,-0.061479908,0.014892685,0.023236266,0.125186029,0.006748019,-0.002351625,-0.01546422,-0.02396985,0.060377878,0.079350448,-0.000231502,0.070083469,-0.053656674,0.121244754
