Australia,6,1
Australia,5,11
Australia,4,9
Australia,3,3
Austria,6,1
Austria,5,5
Austria,4,12
Austria,3,6
Belgium,5,7
Belgium,4,12
Belgium,3,4
Belgium,2,1
Brazil,5,2
Brazil,4,7
Brazil,3,5
Brazil,2,8
Brazil,0,2
Canada,6,2
Canada,5,6
Canada,4,12
Canada,3,3
Canada,2,1
Chile,5,2
Chile,4,3
Chile,3,10
Chile,2,7
Chile,1,1
Chile,0,1
Czech Republic,6,1
Czech Republic,5,4
Czech Republic,4,8
Czech Republic,3,9
Czech Republic,2,1
Czech Republic,1,1
Denmark,6,2
Denmark,5,8
Denmark,4,11
Denmark,3,2
Denmark,2,1
Estonia,5,3
Estonia,4,9
Estonia,3,5
Estonia,2,7
Finland,6,1
Finland,5,9
Finland,4,10
Finland,3,4
France,6,2
France,5,1
France,4,14
France,3,6
France,2,1
Germany,6,2
Germany,5,2
Germany,4,17
Germany,3,2
Germany,2,1
Greece,5,2
Greece,4,6
Greece,3,7
Greece,2,5
Greece,1,3
Greece,0,1
Hungary,5,2
Hungary,4,7
Hungary,3,8
Hungary,2,6
Hungary,1,1
Iceland,6,3
Iceland,5,9
Iceland,4,3
Iceland,3,8
Iceland,2,1
Ireland,6,2
Ireland,5,6
Ireland,4,11
Ireland,3,4
Ireland,2,1
Israel,5,3
Israel,4,8
Israel,3,9
Israel,2,3
Israel,1,1
Italy,6,1
Italy,5,2
Italy,4,9
Italy,3,7
Italy,2,5
Japan,6,2
Japan,5,6
Japan,4,6
Japan,3,7
Japan,2,2
Japan,1,1
Korea,6,1
Korea,5,6
Korea,4,4
Korea,3,9
Korea,2,2
Korea,1,1
Korea,0,1
Luxembourg,6,3
Luxembourg,5,6
Luxembourg,4,10
Luxembourg,3,4
Luxembourg,2,1
Mexico,6,1
Mexico,4,3
Mexico,3,5
Mexico,2,8
Mexico,1,5
Mexico,0,2
Netherlands,7,1
Netherlands,6,2
Netherlands,5,4
Netherlands,4,14
Netherlands,3,2
Netherlands,2,1
New Zealand,6,1
New Zealand,5,7
New Zealand,4,9
New Zealand,3,6
New Zealand,2,1
Norway,6,3
Norway,5,10
Norway,4,10
Norway,2,1
Poland,6,2
Poland,5,1
Poland,4,7
Poland,3,8
Poland,2,6
Portugal,5,2
Portugal,4,7
Portugal,3,10
Portugal,2,4
Portugal,1,1
Russia,7,1
Russia,6,1
Russia,5,3
Russia,4,5
Russia,3,4
Russia,2,5
Russia,1,3
Russia,0,2
Slovak Republic,6,1
Slovak Republic,5,4
Slovak Republic,4,4
Slovak Republic,3,9
Slovak Republic,2,5
Slovak Republic,1,1
Slovenia,6,2
Slovenia,5,1
Slovenia,4,9
Slovenia,3,10
Slovenia,2,2
Spain,6,3
Spain,5,1
Spain,4,6
Spain,3,9
Spain,2,3
Spain,1,1
Spain,0,1
Sweden,7,1
Sweden,6,2
Sweden,5,7
Sweden,4,12
Sweden,3,2
Switzerland,7,1
Switzerland,6,2
Switzerland,5,9
Switzerland,4,9
Switzerland,3,2
Switzerland,2,1
Turkey,5,2
Turkey,4,3
Turkey,3,5
Turkey,2,9
Turkey,1,4
Turkey,0,1
United Kingdom,6,2
United Kingdom,5,3
United Kingdom,4,14
United Kingdom,3,4
United Kingdom,2,1
United States,7,1
United States,6,3
United States,5,4
United States,4,10
United States,3,5
United States,2,1
