ID,Indicator,Country,year,Value,zone,zone_id
1,A1,Australia,2013,1.2,Zone5,5
1,A1,Australia,2014,1.1,Zone5,5
1,A1,Australia,2015,1.1,Zone5,5
1,A2,Australia,2013,19,Zone4,4
1,A2,Australia,2014,20,Zone4,4
1,A2,Australia,2015,20,Zone3,3
1,A3,Australia,2013,2.3,Zone5,5
1,A3,Australia,2014,2.3,Zone5,5
1,A3,Australia,2015,2.3,Zone5,5
1,B1,Australia,2013,28884,Zone4,4
1,B1,Australia,2014,31197,Zone5,5
1,B1,Australia,2015,31588,Zone5,5
1,B2,Australia,2013,32178,Zone3,3
1,B2,Australia,2014,38482,Zone3,3
1,B2,Australia,2015,47657,Zone3,3
1,C1,Australia,2013,73,Zone4,4
1,C1,Australia,2014,72,Zone4,4
1,C1,Australia,2015,72,Zone4,4
1,C2,Australia,2013,12.4,Zone4,4
1,C2,Australia,2014,4.4,Zone5,5
1,C2,Australia,2015,4.8,Zone4,4
1,C3,Australia,2013,0.96,Zone5,5
1,C3,Australia,2014,1.06,Zone5,5
1,C3,Australia,2015,1.08,Zone5,5
1,C4,Australia,2013,43908,Zone4,4
1,C4,Australia,2014,46585,Zone4,4
1,C4,Australia,2015,50449,Zone5,5
1,D1,Australia,2013,94,Zone4,4
1,D1,Australia,2014,93,Zone4,4
1,D1,Australia,2015,92,Zone4,4
1,E1,Australia,2013,73,Zone3,3
1,E1,Australia,2014,74,Zone4,4
1,E1,Australia,2015,76,Zone4,4
1,E2,Australia,2013,519,Zone4,4
1,E2,Australia,2014,514,Zone4,4
1,E2,Australia,2015,512,Zone4,4
1,E3,Australia,2013,18.5,Zone4,4
1,E3,Australia,2014,18.8,Zone5,5
1,E3,Australia,2015,19.4,Zone5,5
1,F1,Australia,2013,14,Zone5,5
1,F1,Australia,2014,13,Zone5,5
1,F1,Australia,2015,13,Zone5,5
1,F2,Australia,2013,91,Zone4,4
1,F2,Australia,2014,93,Zone4,4
1,F2,Australia,2015,91,Zone4,4
1,G1,Australia,2013,10.5,Zone5,5
1,G1,Australia,2014,10.5,Zone5,5
1,G1,Australia,2015,10.5,Zone5,5
1,G2,Australia,2013,93,Zone5,5
1,G2,Australia,2014,93,Zone5,5
1,G2,Australia,2015,93,Zone5,5
1,H1,Australia,2013,82,Zone4,4
1,H1,Australia,2014,82,Zone4,4
1,H1,Australia,2015,82.1,Zone4,4
1,H2,Australia,2013,85,Zone5,5
1,H2,Australia,2014,85,Zone5,5
1,H2,Australia,2015,85,Zone5,5
1,I1,Australia,2013,7.2,Zone4,4
1,I1,Australia,2014,7.4,Zone4,4
1,I1,Australia,2015,7.3,Zone4,4
1,J1,Australia,2013,2.1,Zone5,5
1,J1,Australia,2014,2.1,Zone5,5
1,J1,Australia,2015,2.1,Zone5,5
1,J2,Australia,2013,1,Zone5,5
1,J2,Australia,2014,0.8,Zone6,6
1,J2,Australia,2015,0.8,Zone6,6
1,K1,Australia,2013,14.13,Zone3,3
1,K1,Australia,2014,14.23,Zone3,3
