x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,0.88495575,1.19205625,2.166025,4.5577875,7.073264
2,0.9480267,1.0830125,1.9899375,4.5431875,6.844169
3,0.8991404,1.19983125,2.22035,4.6922125,6.919308
4,0.93892675,1.0604125,2.205175,4.85978125,7.6121395
5,0.881628,1.1599375,2.1997,4.8454875,7.3644255
6,0.92534695,1.2664625,2.0982125,4.96830625,7.253656
7,0.896012,1.1034,2.1650875,5.05471875,7.801139
8,0.8799087,1.15811875,2.21915,4.9948375,7.7143795
9,0.84807565,1.09725625,2.1594375,5.29040625,7.6230355
10,0.86107785,1.184575,2.2494625,5.0959125,7.40806
11,0.96880855,1.20021875,2.2448,5.306275,7.069519
12,0.9412537,1.14179375,2.2407125,4.83113125,7.4544375
13,0.8945466,1.11366875,2.23275,4.88121875,7.054164
14,0.95255155,1.1439375,2.2909,4.35115625,6.514871
15,0.96305785,1.195125,2.270275,4.83783125,7.222569
16,0.8934095,1.1724,2.3426875,4.46348125,6.867911
17,0.9464511,1.1639625,2.1865625,4.80059375,7.2494595
18,0.8815796,1.22086875,2.1547875,4.464525,7.629273
19,0.9306556,1.16295,2.1702,4.34859375,7.316376
20,0.94490895,1.22904375,2.1276125,4.7819875,7.011547
21,0.937861,1.13155,2.16805,4.62824375,6.72183
22,0.89884765,1.0850875,2.1356625,4.40324375,6.7537585
23,0.87643255,1.19849375,2.2780375,4.39843125,6.7839195
24,0.88000985,1.11575,2.10915,4.62016875,6.64689
25,0.93585725,1.108425,2.270425,4.70511875,6.817693
26,0.9129301,1.1524625,2.21775,4.58040625,6.5049405
27,0.9282405,1.20264375,2.132925,4.46848125,6.825668
28,0.95994135,1.23915625,2.3726375,4.27590625,6.6837795
29,0.83229115,1.16975625,2.18505,4.304175,6.739317
30,0.8201424,1.0478625,2.358975,4.3034875,6.633911
31,0.93312375,1.1629375,2.3329125,4.4012625,7.1354075
32,0.9413732,1.2035375,2.3108375,4.468025,6.9353695
33,0.94205435,1.1642125,2.264675,4.5871125,6.042488
34,0.90868125,1.1303125,2.1813125,4.45723125,6.6508975
35,0.93064285,1.11698125,2.1871375,4.76113125,7.683221
36,0.9693921,1.1845875,2.1918125,4.7471375,6.84321
37,0.9745036,1.18440625,2.2704875,4.93164375,7.1220895
38,0.95962785,1.1625875,2.199725,4.94435,7.2831575
39,0.83526595,1.268925,2.2334,4.9639125,7.409914
40,0.97506315,1.1591625,2.2969125,5.152925,7.192008
41,0.87080515,1.17945,2.232625,5.15665,7.530126
