id,min,quantile_25,median,quantile_75,max,mean,sd,mad,skness,kurtos,min_bc,quantile_25_bc,median_bc,quantile_75_bc,max_bc,mean_bc,sd_bc,mad_bc,skness_bc,kurtos_bc,min_op,quantile_25_op,median_op,quantile_75_op,max_op,mean_op,sd_op,mad_op,skness_op,kurtos_op,op_sum,Missing_Vals,m,m_rob,m_bc,m_bc_rob,Grade
1,0.7040475,0.932268125,0.99884625,1.07395625,1.319275,1.002397558,0.100028878,0.106004047,0.131957916,2.688757721,-0.357138979,-0.070629015,-0.001154549,0.070842601,0.265878721,0.002394115,-5.729799198,-6.221191204,-0.668851377,3.114709041,0,0,0,0,0,0,0,0,0,0,0,0,2.448146014,0,3.953615224,0,Good
2,0.762535,0.95716375,1.0208375,1.0904375,1.34375,1.024040923,0.094722752,0.099523232,0.09874132,2.709403909,-0.274815253,-0.043973031,0.020580895,0.085833708,0.28274783,0.023700142,-6.00819163,-6.604107839,-0.709438451,3.170434772,0,0,0,0,0,0,0,0,0,0,0,0,2.334126373,0,9.646703398,0,Good
3,0.6982075,0.95721625,1.019925,1.0838,1.304225,1.021343971,0.092946045,0.094083943,0.060999512,2.84842057,-0.36576954,-0.043917701,0.019690223,0.079829248,0.255302336,0.021074839,-6.107418674,-6.961533472,-0.756503619,3.556749872,0,0,0,0,0,0,0,0,0,0,0,0,1.616418376,0,10.31658169,0,Good
4,0.701305,0.93461625,1.00635,1.08200625,1.335725,1.011159112,0.101916149,0.109636417,0.161234015,2.651405187,-0.361182097,-0.068078566,0.006325919,0.078198997,0.277261002,0.011085002,-5.636748916,-6.024305425,-0.633659532,3.014974733,0,0,0,0,0,0,0,0,0,0,0,0,4.09430009,0,3.197199618,0,Good
5,0.6978175,0.937803125,1.0021125,1.0712,1.362425,1.006776338,0.10264216,0.098446493,0.199218568,3.026471336,-0.366348722,-0.064629371,0.002109827,0.068308615,0.295352958,0.006748923,-5.601729456,-6.6720656,-0.588732328,4.079764373,0,0,0,0,0,0,0,0,0,0,0,0,2.855159902,0,4.908499174,0,Good
6,0.6980825,0.98005375,1.0574875,1.13834375,1.435225,1.059989296,0.116851199,0.11823735,0.06356473,2.810543251,-0.365955137,-0.02018851,0.055584538,0.127909814,0.342427443,0.057920716,-4.991779082,-5.601413209,-0.753270097,3.449576683,0,0,0,0,0,0,0,0,0,0,0,0,1.811985292,0,6.601942551,0,Good
7,0.6906575,0.954425,1.0348875,1.1115,1.36335,1.032693456,0.111131904,0.116662088,-0.044681667,2.710785205,-0.377045638,-0.046864479,0.034175394,0.104600818,0.295971464,0.032067123,-5.221324223,-5.674696979,-0.895081916,3.174178214,0,0,0,0,0,0,0,0,0,0,0,0,2.910787941,0,6.179778616,0,Good
8,0.7527075,0.94064375,1.025025,1.10295625,1.3924,1.022274538,0.110448624,0.120407506,0.048218584,2.51694003,-0.288152086,-0.061566761,0.02465601,0.097040034,0.315122727,0.021981623,-5.250094847,-5.50326176,-0.772694426,2.667493558,0,0,0,0,0,0,0,0,0,0,0,0,5.903709374,0,11.88856719,0,Good
9,0.6853925,0.955834375,1.031575,1.10373125,1.341875,1.029077014,0.105148817,0.109167545,-0.119285199,2.730800975,-0.384989583,-0.045375283,0.030990322,0.097728763,0.281469681,0.028580302,-5.483988147,-6.049062414,-1.001628539,3.228636983,0,0,0,0,0,0,0,0,0,0,0,0,5.90841206,0,4.753385733,0,Good
10,1.393125,1.6452125,1.7181125,1.79685625,2.19995,1.725303738,0.1125394,0.112566405,0.410023616,3.421983366,0.326113417,0.473884793,0.512962648,0.55299787,0.702127022,0.516709383,-5.162996654,-5.873773628,-0.351371942,5.35498508,0,0,0,0,0,0,0,0,0,0,0,0,8.982257252,0,9.87830352,0,Good
11,1.3411,1.603775,1.679775,1.75405,2.27345,1.683849952,0.116957285,0.112028963,0.339134373,3.437711535,0.289225175,0.450734154,0.492665579,0.531501561,0.727941046,0.494849263,-4.987702034,-5.900859087,-0.429220119,5.408930299,0,0,0,0,0,0,0,0,0,0,0,0,7.319103611,0,17.20814216,0,Good
12,1.155925,1.63275,1.7355625,1.82103125,2.168775,1.727060976,0.141916971,0.138826958,-0.123806748,3.025242587,0.143856128,0.46699638,0.522022029,0.564868259,0.690836985,0.517622081,-4.175167923,-4.781666027,-1.008424291,4.076046355,0,0,0,0,0,0,0,0,0,0,0,0,7.513238948,0,10.31978246,0,Good
13,1.1923,1.53850625,1.643875,1.74450625,2.115175,1.644348488,0.153314421,0.152503943,0.02751323,2.819184828,0.174346481,0.41277385,0.473148519,0.526623022,0.670923836,0.473409249,-3.880197886,-4.347761434,-0.799221043,3.473901547,0,0,0,0,0,0,0,0,0,0,0,0,1.173788305,0,3.837517628,0,Good
14,0.981595,1.24406875,1.326225,1.40845625,1.732275,1.331449069,0.123440669,0.121925318,0.300385415,3.015786335,-0.018593744,0.213686644,0.274513114,0.331027327,0.506542372,0.278227128,-4.749901849,-5.436470641,-0.472555797,4.047483609,0,0,0,0,0,0,0,0,0,0,0,0,5.334934801,0,5.032841918,0,Good
15,1.085225,1.3588125,1.4488875,1.54883125,1.920875,1.455468048,0.136228617,0.14062461,0.205357425,2.813037063,0.08145379,0.29739937,0.357380714,0.418906205,0.592838334,0.361586423,-4.337952738,-4.720339551,-0.581543922,3.456588758,0,0,0,0,0,0,0,0,0,0,0,0,1.289617705,0,5.961294364,0,Good
16,0.93726,1.19750625,1.2788875,1.353,1.656475,1.277485832,0.112150417,0.117180998,0.107637675,2.818974961,-0.065004925,0.177031265,0.24003745,0.293365813,0.468342218,0.238993374,-5.178991916,-5.650362272,-0.698495455,3.473309915,0,0,0,0,0,0,0,0,0,0,0,0,0.817899183,0,2.645048989,0,Good
17,2.48115,2.87796875,2.9979125,3.13536875,3.679325,3.013913476,0.192440238,0.187808355,0.342657626,2.988859155,0.868656128,0.95281749,0.985733384,1.021564887,1.078324228,0.990004842,-3.099307858,-3.49343601,-0.425308502,3.966639524,0,0,0,0,0,0,0,0,0,0,0,0,5.209945269,0,4.792057634,0,Good
18,2.541425,2.908675,3.03275,3.18075,3.80035,3.047188679,0.196425446,0.199576493,0.328291045,2.987271063,0.890547613,0.961398849,0.994998509,1.032982675,1.100112521,0.998801152,-3.03480522,-3.269454173,-0.441288119,3.961894201,0,0,0,0,0,0,0,0,0,0,0,0,6.716783071,0,4.885815892,0,Good
19,2.36575,2.84853125,2.9639,3.08819375,3.67405,2.976566143,0.180941855,0.179524328,0.312259058,3.167630023,0.825062487,0.944486918,0.97656217,1.009483633,1.07735343,0.97999219,-3.298853407,-3.666787336,-0.459213902,4.516939981,0,0,0,0,0,0,0,0,0,0,0,0,3.396579363,0,3.450792381,0,Good
20,2.370625,2.7288625,2.8402125,2.97085625,3.5334,2.85386219,0.178621923,0.17768961,0.352349959,3.105323086,0.826950987,0.90952565,0.942114043,0.978448111,1.050780158,0.94600317,-3.341749838,-3.707133012,-0.414571598,4.321515733,0,0,0,0,0,0,0,0,0,0,0,0,4.997205169,0,4.057096416,0,Good
21,2.084925,2.50328125,2.6410875,2.782925,3.538275,2.65367381,0.207900678,0.20637792,0.386662853,3.166954899,0.708390351,0.838325829,0.882691144,0.925543328,1.051724077,0.886604234,-2.860890587,-3.150479495,-0.376832707,4.514801666,0,0,0,0,0,0,0,0,0,0,0,0,5.098223378,0,8.128793708,0,Good
22,2.10935,2.67793125,2.8095625,2.9474375,3.515875,2.815894714,0.194408329,0.200410455,0.132146191,2.845647077,0.719205952,0.894083438,0.933298791,0.972077708,1.047372856,0.935129429,-3.067172364,-3.25447732,-0.668623381,3.548853642,0,0,0,0,0,0,0,0,0,0,0,0,2.236002001,0,9.811625246,0,Good
