x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,-4.33918,-1.327525,0.0070958,1.264525,4.282186
2,-4.180976,-1.3678,-0.1009495,1.300975,4.080416
3,-4.381348,-1.333625,-0.0149485,1.276075,4.416432
4,-4.360194,-1.385825,-0.089238,1.262825,4.204928
5,-4.356262,-1.371325,-0.0715865,1.29425,4.36928
6,-4.312924,-1.2916,-0.06324,1.262825,4.266896
7,-4.128444,-1.399575,-0.0151645,1.29565,4.307438
8,-4.15839,-1.3464,-0.0735935,1.34265,4.17543
9,-4.435382,-1.308775,-0.032735,1.345525,4.375874
10,-4.386626,-1.300975,-0.0702755,1.325475,4.399296
11,-4.507778,-1.304675,-0.035567,1.325425,4.292718
12,-4.239056,-1.2538,-0.0656325,1.288575,4.05258
13,-4.290656,-1.32985,-0.0769115,1.29065,4.189364
14,-4.35495,-1.24015,0.0455145,1.3176,4.075596
15,-4.111378,-1.356475,-0.051556,1.2682,4.097304
16,-4.17966,-1.323025,-0.011867,1.3466,4.355108
17,-4.316012,-1.29795,0.0206925,1.377125,4.35184
18,-4.16429,-1.3132,-0.051171,1.32325,4.373506
19,-3.989328,-1.2689,0.00045955,1.3503,4.449606
20,-4.359378,-1.2915,0.012394,1.37475,4.167046
21,-4.187956,-1.3235,0.016793,1.345725,4.439748
22,-4.171934,-1.235375,0.052509,1.288625,4.27966
23,-4.273932,-1.307,0.028275,1.34955,4.264126
24,-4.05943,-1.302475,-0.00047305,1.333675,4.296432
25,-4.195272,-1.2759,0.0233285,1.328825,4.239552
26,-4.52322,-1.253225,-0.016611,1.322975,4.413602
27,-4.217108,-1.304925,0.076905,1.3431,4.355254
28,-4.358108,-1.401825,0.0066633,1.360625,4.345652
29,-4.308114,-1.205475,0.025572,1.340475,4.443302
30,-4.165948,-1.291025,0.012705,1.35915,4.209712
31,-4.273182,-1.271475,0.027883,1.36135,4.185456
32,-4.344242,-1.2476,0.088542,1.3614,4.46859
33,-4.114916,-1.276375,0.0384595,1.391775,4.22347
34,-4.185724,-1.2541,-0.0043453,1.425725,4.369282
35,-4.13655,-1.245425,0.066126,1.430125,4.26936
36,-3.996074,-1.21685,0.0180705,1.3397,4.211184
37,-4.214428,-1.25295,0.0901575,1.427225,4.49612
38,-4.253484,-1.221825,-0.024774,1.349725,4.333254
39,-4.149708,-1.204025,0.0694575,1.362575,4.503508
40,-4.068512,-1.196875,0.037277,1.3504,4.552394
41,-4.342742,-1.2488,0.03558,1.369625,4.21582
42,-4.119724,-1.209925,0.141595,1.3839,4.461558
43,-3.828982,-1.243,0.017334,1.312575,4.188972
44,-4.170062,-1.249175,0.0390405,1.3892,4.320986
45,-3.898774,-1.1614,0.052103,1.4092,4.29976
46,-4.096732,-1.21485,0.03531,1.2779,4.45034
47,-4.073866,-1.124475,0.13505,1.3748,4.418154
48,-3.984618,-1.14555,0.0531375,1.3432,4.293632
49,-4.072328,-1.1854,0.0200035,1.334725,4.365632
50,-4.155812,-1.15045,0.0537655,1.36455,4.379896
51,-4.23655,-1.201325,0.066437,1.343775,4.358732
52,-4.259054,-1.14315,0.073208,1.432,4.359226
53,-4.186416,-1.28325,0.079608,1.411775,4.393568
54,-4.09869,-1.1887,0.036986,1.42805,4.546166
55,-4.144932,-1.223275,0.0716,1.444925,4.396512
56,-4.074384,-1.25175,0.081169,1.3587,4.196758
57,-3.931158,-1.179575,0.0825135,1.54055,4.359304
58,-4.081442,-1.21305,-0.00868415,1.34395,4.280704
59,-4.082132,-1.22085,0.0038317,1.4033,4.3906
60,-4.092772,-1.18615,0.0755735,1.3803,4.274688
61,-4.355912,-1.221075,0.042602,1.427775,4.57405
62,-4.164042,-1.1801,0.062504,1.377375,4.41575
63,-4.031346,-1.112725,0.068437,1.3544,4.246164
64,-4.314232,-1.257675,0.0613075,1.38385,4.337578
65,-4.056518,-1.18975,0.029417,1.375125,4.055078
66,-4.26936,-1.200925,0.0921845,1.3319,4.4635
67,-4.160844,-1.194925,0.00533875,1.375025,4.22873
68,-4.230304,-1.19635,0.0716605,1.3684,4.232998
69,-4.166848,-1.269025,-0.00568335,1.358925,4.161988
70,-4.103096,-1.234025,0.049502,1.409925,4.409654
71,-4.284146,-1.264225,0.041412,1.372725,4.1789
72,-4.220874,-1.26315,-0.0109005,1.302175,4.433384
73,-4.1976,-1.213325,0.090245,1.3643,4.194558
74,-4.19946,-1.24725,0.066207,1.3381,4.293896
75,-4.07115,-1.189075,0.0414595,1.355325,4.31695
76,-4.467106,-1.229675,0.0885015,1.371225,4.38752
77,-4.394866,-1.287,0.0424325,1.357575,4.2434
78,-4.34171,-1.256425,0.0648755,1.247825,4.287388
79,-4.494708,-1.203325,0.016658,1.3496,4.39228
80,-4.100558,-1.24185,0.0400675,1.3889,3.98715
81,-4.310444,-1.23765,0.040926,1.296475,4.288488
82,-4.00475,-1.243225,-0.0448925,1.329275,4.184176
83,-4.038104,-1.2761,0.023538,1.358975,4.142252
84,-3.934114,-1.2848,-0.038209,1.261625,4.363528
85,-4.144266,-1.20145,0.0112385,1.365525,4.235352
86,-4.179326,-1.169825,0.000837975,1.339875,4.140004
87,-4.00003,-1.24185,0.0176985,1.35925,4.208412
88,-4.02706,-1.1788,0.0369385,1.4077,4.340302
89,-4.280328,-1.19675,0.031722,1.31825,4.097962
90,-4.420866,-1.2045,0.045859,1.3888,4.146676
91,-4.315836,-1.211925,0.029951,1.322675,4.327776
92,-4.074882,-1.2438,0.053928,1.29355,4.228154
93,-4.265296,-1.199275,0.0821085,1.28845,4.190404
94,-4.254904,-1.25425,0.0135295,1.28495,4.083012
95,-4.077192,-1.241625,0.026342,1.313525,4.081832
96,-4.515786,-1.2634,-0.00890695,1.260675,4.128148
97,-4.401396,-1.284575,0.04915,1.282125,4.06095
98,-4.085844,-1.27325,-0.0219025,1.33875,4.232668
99,-4.339702,-1.211275,-0.0545905,1.266825,4.138944
100,-4.105546,-1.27205,0.002439625,1.192875,4.025062
101,-4.061004,-1.209225,-0.050299,1.23925,4.243194
102,-3.997178,-1.17925,0.0183475,1.260775,3.92605
103,-4.206418,-1.287325,-0.00528465,1.247,4.148688
104,-4.04443,-1.171025,0.039581,1.207675,4.09851
105,-4.170352,-1.235075,-0.0052374,1.2252,4.06714
106,-3.948388,-1.169625,-0.010542,1.289425,3.905862
107,-4.173638,-1.17455,-0.00790675,1.231225,4.014816
108,-4.02142,-1.199125,0.00392635,1.282725,3.907736
109,-4.556292,-1.2318,-0.00386555,1.26635,3.877254
110,-4.29424,-1.250175,0.0320325,1.225975,4.14659
111,-4.186004,-1.23915,-0.008319,1.3016,4.056672
112,-4.08708,-1.226775,-0.0133675,1.271825,4.08662
113,-4.323884,-1.2077,-0.019145,1.3733,4.15373
114,-4.274374,-1.212425,-0.0077648,1.314,4.04245
115,-4.42076,-1.215625,0.048414,1.318875,4.037952
116,-4.371312,-1.25095,0.042602,1.358225,3.971742
117,-4.232788,-1.2432,0.0447105,1.2937,3.848974
118,-4.305362,-1.144025,0.0114748,1.3017,4.037462
119,-4.198096,-1.25195,0.021375,1.279425,4.23382
120,-4.334298,-1.225675,0.041223,1.286925,4.19147
121,-4.328086,-1.261425,-0.024403,1.261475,4.177388
122,-4.214026,-1.21775,0.01284005,1.2234,3.89577
123,-4.167766,-1.278825,-0.0253895,1.288625,4.027676
124,-4.297964,-1.295125,-0.0182665,1.19315,3.991028
125,-4.223862,-1.273125,-0.00564285,1.186575,3.965588
126,-4.095486,-1.255525,-0.037851,1.298025,4.119042
127,-4.187152,-1.260575,-0.043751,1.2193,3.773308
128,-4.272194,-1.236625,-0.020706,1.212025,4.002836
129,-4.209286,-1.221925,0.0205575,1.253,3.955908
130,-4.251338,-1.2107,0.0251055,1.2393,3.985024
131,-4.271522,-1.170075,0.0263965,1.25115,4.10706
132,-4.002618,-1.147,0.00530495,1.28085,3.795484
133,-4.130468,-1.1715,0.00101371,1.27355,3.89343
134,-4.086362,-1.18395,0.036783,1.2229,3.962454
135,-4.144656,-1.228975,-0.0392025,1.224125,3.96202
136,-4.04024,-1.21205,-0.0182195,1.31455,3.981096
137,-4.017708,-1.294975,-0.0433185,1.30255,3.960166
138,-3.951146,-1.2189,-0.0113535,1.22595,4.204622
139,-4.0446,-1.21905,0.0220375,1.276775,3.999454
140,-3.97172,-1.22135,-0.00941375,1.250025,4.003578
141,-4.08735,-1.191925,-0.0041561,1.269275,4.132232
142,-4.03865,-1.12265,0.022348,1.236675,3.954806
143,-4.023824,-1.1707,0.00554825,1.2824,4.145456
144,-4.2385,-1.183025,0.031654,1.2662,4.089608
145,-4.187668,-1.159575,0.0391485,1.24155,3.850562
146,-4.168308,-1.203175,-0.0059064,1.29795,3.816676
147,-3.994672,-1.26475,0.028059,1.221,3.918334
148,-4.428144,-1.187775,0.0202805,1.243625,4.040102
149,-4.136838,-1.320425,0.0206925,1.281325,3.938944
150,-4.066302,-1.2385,-0.0329515,1.1867,3.82085
151,-4.227824,-1.1591,0.00039195,1.22475,3.8827
