x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,-8.314736,-2.621775,0.02998,2.561425,8.33712
2,-8.572126,-2.59485,-0.0132835,2.5001,8.110796
3,-8.36951,-2.5814,0.0467295,2.47655,8.458064
4,-7.987406,-2.517975,0.104225,2.50115,8.1673
5,-8.9304,-2.40995,0.0507245,2.491725,8.192886
6,-8.984234,-2.52635,0.01511,2.50095,8.34751
7,-8.673172,-2.62035,-0.16429,2.43235,7.873194
8,-8.097682,-2.487175,-0.14419,2.479725,8.3175
9,-8.09379,-2.49085,-0.001237985,2.4561,7.947344
10,-8.615412,-2.3908,-0.0034865,2.4596,7.675722
11,-8.124132,-2.46365,0.032121,2.594425,8.056186
12,-8.061902,-2.51995,-0.088481,2.271275,8.46138
13,-7.996428,-2.56655,-0.121405,2.28085,7.910426
14,-8.202116,-2.54795,-0.11631,2.545475,8.52736
15,-8.237862,-2.59955,-0.051133,2.4388,8.014884
16,-8.18923,-2.478925,-0.0492525,2.424475,8.28021
17,-8.406552,-2.5509,-0.076415,2.4185,8.466942
18,-8.560456,-2.68745,-0.017787,2.50715,8.392844
19,-8.62264,-2.509075,-0.130225,2.482075,8.837546
20,-8.489812,-2.69745,-0.105165,2.38055,7.808852
21,-8.305086,-2.5558,-0.0888215,2.481325,8.516338
22,-8.640882,-2.623175,-0.0615185,2.35505,8.345918
23,-8.372472,-2.52375,-0.0434305,2.338675,8.38778
24,-8.98319,-2.550825,-0.0102855,2.672625,8.240808
25,-8.5933,-2.52605,0.0164555,2.477325,7.794382
26,-8.132586,-2.50495,-0.0178135,2.53255,8.102926
27,-8.49376,-2.470475,-0.0862525,2.386325,8.028554
28,-8.511072,-2.57175,-0.0975435,2.500575,8.505912
29,-8.406844,-2.449825,0.038077,2.5775,8.141664
30,-8.303514,-2.4486,0.160105,2.4568,7.994848
31,-8.432082,-2.409725,0.091298,2.54175,8.32179
32,-8.531196,-2.7825,-0.020658,2.41775,8.147038
33,-8.140292,-2.416125,-0.0262925,2.44235,8.308882
34,-8.430224,-2.4685,-0.0755915,2.429325,8.662652
35,-8.477436,-2.63945,-0.060227,2.4169,8.127272
36,-8.068768,-2.417875,0.11601,2.5395,8.84349
37,-8.942896,-2.543725,-0.0202095,2.50265,8.085242
38,-8.438578,-2.52665,0.033901,2.458925,8.414166
39,-8.35763,-2.58185,-0.0641285,2.5493,8.489414
40,-8.522592,-2.617275,-0.107765,2.344375,8.371362
41,-8.508454,-2.52695,0.061499,2.340875,8.390824
42,-8.613212,-2.7196,-0.116725,2.5337,8.005354
43,-8.596066,-2.602275,-0.129335,2.35135,8.687442
44,-8.441268,-2.46705,-0.0367055,2.461575,8.502554
45,-8.679086,-2.560375,0.0531675,2.57035,8.59247
46,-8.991944,-2.627025,-0.202885,2.472625,8.008288
47,-8.290024,-2.6309,-0.0252755,2.451025,8.422492
48,-8.200414,-2.471675,-0.055021,2.387375,8.046664
49,-8.452178,-2.501675,0.058407,2.485325,8.941008
50,-8.718274,-2.3441,0.15117,2.518625,8.085576
51,-9.172336,-2.488125,0.071677,2.619525,8.193278
52,-8.759968,-2.58945,0.0195805,2.4307,8.515846
53,-8.514604,-2.658975,-0.00439655,2.4566,8.778852
54,-8.214474,-2.63175,0.108885,2.402975,8.993592
55,-8.750024,-2.5673,-0.04412,2.4675,8.187242
56,-8.10398,-2.42175,0.0272895,2.404925,8.16278
57,-8.800456,-2.373325,0.0240105,2.524725,7.732892
