id,min,quantile_25,median,quantile_75,max,mean,sd,mad,skness,kurtos,min_bc,quantile_25_bc,median_bc,quantile_75_bc,max_bc,mean_bc,sd_bc,mad_bc,skness_bc,kurtos_bc,min_op,quantile_25_op,median_op,quantile_75_op,max_op,mean_op,sd_op,mad_op,skness_op,kurtos_op,op_sum,Missing_Vals,m,m_rob,m_bc,m_bc_rob,Grade
1,-12.24,-2.46675,-0.0140265,2.466575,19.943,-0.031381924,3.821937305,3.67595844,0.16105951,3.737079898,1411.180053,-0.112479259,-0.673605198,0.572344047,1.744866368,-0.774361469,0.465770316,0.658657715,-0.345068557,0.630630348,0,0,0,0,0,0,0,0,0,0,0,0,2.774677179,0,5.816449887,0,Good
2,-15.653,-2.69955,-0.071436,2.45245,22.536,-0.046731237,4.104177875,3.803589544,0.184105667,4.380795364,1235.653559,-0.321802643,-0.737826916,0.570209974,1.780900023,-0.784090019,0.470316326,0.665665643,-0.31655442,0.656501215,0,0,0,0,0,0,0,0,0,0,0,0,5.639408111,0,5.501929377,0,Good
3,-25.786,-2.73505,-0.038137,2.563,30.181,-0.0404031,4.306702255,3.908597654,0.359852439,7.109952235,783.1563372,-0.351390916,-0.700439557,0.586253504,1.860196578,-0.780114685,0.473042457,0.671055098,-0.115351406,0.709164597,0,0,0,0,0,0,0,0,0,0,0,0,5.827881865,0,3.528420227,0,Good
4,-17.561,-2.5489,-0.06279,2.52955,19.004,-0.040038134,3.939194079,3.793246926,0.121161248,4.246366108,1142.603642,-0.189223758,-0.728080928,0.581554397,1.730157293,-0.77988386,0.467777796,0.665117045,-0.395816951,0.651839991,0,0,0,0,0,0,0,0,0,0,0,0,2.511134871,0,2.107885437,0,Good
5,-30.657,-2.5016,0.054907,2.415275,25.523,-0.015919681,4.374355939,3.667793762,0.03548504,7.325663426,602.1801774,-0.145400715,-0.59784455,0.564468059,1.815824812,-0.764282296,0.473869858,0.658191136,-0.511497212,0.711453688,0,0,0,0,0,0,0,0,0,0,0,0,12.14085559,0,7.30541877,0,Good
6,-14.304,-2.405075,-0.012226,2.169125,16.903,-0.067254695,3.790443334,3.377994388,0.098938001,4.110178385,1303.638842,-0.0529433,-0.67160875,0.521213687,1.693221173,-0.796603252,0.465199139,0.640014667,-0.424897786,0.646758497,0,0,0,0,0,0,0,0,0,0,0,0,5.726953288,0,7.119082213,0,Good
7,-12.048,-2.418375,-0.0381905,2.29745,13.549,-0.065274453,3.673252685,3.50101164,-0.016187215,3.289028684,1421.400463,-0.065917185,-0.700499314,0.544977528,1.618591749,-0.795423197,0.462943159,0.648134754,-0.586443762,0.6055986,0,0,0,0,0,0,0,0,0,0,0,0,4.17691803,0,4.210668,0,Good
8,-24.061,-2.40095,0.0094288,2.385275,19.951,-0.033936202,3.825505014,3.55690566,-0.093333539,5.056808335,852.9356922,-0.048904558,-0.647674601,0.559697255,1.744987501,-0.776000385,0.465834132,0.651620567,-0.707311784,0.675686496,0,0,0,0,0,0,0,0,0,0,0,0,6.381888233,0,4.907999453,0,Good
9,-20.688,-2.596175,0.0438325,2.5496,20.622,0.012861766,3.987044398,3.824414885,0.077218636,4.196267512,997.9773906,-0.232003077,-0.609927272,0.584386595,1.754911783,-0.744866985,0.468546581,0.666760374,-0.453922443,0.650014773,0,0,0,0,0,0,0,0,0,0,0,0,3.479597508,0,3.885662713,0,Good
10,-13.577,-2.4976,0.186665,2.5901,14.132,0.005898717,3.915552421,3.794914851,-0.096023705,3.13105314,1341.031941,-0.141649033,-0.45629217,0.589967157,1.633320434,-0.74963646,0.467387513,0.665205739,-0.71175031,0.594785548,0,0,0,0,0,0,0,0,0,0,0,0,7.840166283,0,10.58989758,0,Good
11,-18.378,-2.698125,0.0149765,2.546,16.269,-0.011643845,3.861129623,3.860502851,-0.028738831,3.507708008,1103.873104,-0.320601197,-0.641565284,0.58388152,1.680789208,-0.761449532,0.466461685,0.668626688,-0.605326659,0.618734344,0,0,0,0,0,0,0,0,0,0,0,0,4.899568081,0,7.689603328,0,Good
12,-14.421,-2.54315,-0.050872,2.416375,23.053,-0.05849096,3.89288512,3.67899777,0.140305337,4.469305429,1297.670344,-0.183950248,-0.714691533,0.564640625,1.787394732,-0.791334918,0.467006618,0.65883082,-0.371240211,0.659394796,0,0,0,0,0,0,0,0,0,0,0,0,4.873257453,0,4.774720577,0,Good
13,-20.742,-2.435175,-0.0390405,2.5134,29.102,-0.039947311,4.172077893,3.650295375,0.289976907,7.324604562,995.5657344,-0.082199747,-0.701448849,0.579238589,1.850811416,-0.779826392,0.471274659,0.657183436,-0.192205508,0.71144283,0,0,0,0,0,0,0,0,0,0,0,0,5.21563159,0,5.361215238,0,Good
14,-17.646,-2.4593,0.020859,2.365775,21.212,-0.061547224,3.942522685,3.572385487,0.064863169,4.802018302,1138.543039,-0.105373274,-0.635096906,0.556528072,1.763271686,-0.793185493,0.467832182,0.652564768,-0.47071294,0.669183395,0,0,0,0,0,0,0,0,0,0,0,0,1.416597745,0,1.376748294,0,Good
15,-26.882,-2.449975,0.0554895,2.482875,18.177,-0.011929352,4.051759087,3.6701763,-0.072216365,6.10661122,740.3670724,-0.096445382,-0.5972099,0.574775054,1.716333782,-0.761639271,0.469543305,0.658327524,-0.673028352,0.69602989,0,0,0,0,0,0,0,0,0,0,0,0,10.89978907,0,12.01777839,0,Good
16,-24.443,-2.5054,0.06002,2.528975,36.308,-0.012008953,4.543816164,3.747004632,0.207600708,10.06640809,837.2265916,-0.148958278,-0.592276755,0.581472479,1.905791202,-0.761692157,0.475782545,0.662623471,-0.288048714,0.731008211,0,0,0,0,0,0,0,0,0,0,0,0,12.22606809,0,5.803978942,0,Good
17,-19.233,-2.488125,0.0643425,2.5072,16.296,-0.011449066,3.91230174,3.705376931,-0.06631073,3.911426206,1064.055925,-0.132734199,-0.58757495,0.578341225,1.681332401,-0.76132004,0.467333296,0.660320128,-0.663611584,0.638607375,0,0,0,0,0,0,0,0,0,0,0,0,2.818600273,0,2.542213908,0,Good
18,-12.327,-2.4502,-0.0725405,2.465975,15.532,-0.024345946,3.781895569,3.67002804,-0.003364851,3.363157906,1406.561066,-0.096661237,-0.73907396,0.572253919,1.665456352,-0.769807906,0.465041649,0.658319043,-0.567437889,0.610271736,0,0,0,0,0,0,0,0,0,0,0,0,4.385470526,0,4.848926409,0,Good
19,-17.076,-2.635375,-0.00799665,2.638475,21.194,0.013132196,4.318634978,3.91947549,0.260667494,4.658818792,1165.91119,-0.266674554,-0.666923072,0.59639728,1.763021469,-0.744680865,0.473191223,0.671595261,-0.225613539,0.665167352,0,0,0,0,0,0,0,0,0,0,0,0,3.483866254,0,2.902957763,0,Good
20,-14.287,-2.729425,-0.04513,2.648725,21.182,0.026612131,4.111625473,3.980958912,0.034783496,3.58273829,1304.507198,-0.346746974,-0.708258625,0.597728085,1.762854492,-0.735322773,0.470423764,0.674587394,-0.512486534,0.622818647,0,0,0,0,0,0,0,0,0,0,0,0,7.217101914,0,12.43505093,0,Good
21,-21.639,-2.612925,0.093252,2.7129,23.272,0.001652773,4.485071284,3.94416078,-0.022887685,5.285115236,955.9319688,-0.246908402,-0.556246686,0.605820421,1.790084718,-0.752522879,0.475143996,0.672808915,-0.596489115,0.680905321,0,0,0,0,0,0,0,0,0,0,0,0,4.347446831,0,4.133890183,0,Good
22,-15.213,-2.633975,-0.083542,2.4748,21.675,-0.010186688,4.198068075,3.78693105,0.420957437,5.096943921,1257.628171,-0.265449075,-0.751520964,0.573574939,1.769607397,-0.760479854,0.471629235,0.664780415,-0.051065125,0.676642954,0,0,0,0,0,0,0,0,0,0,0,0,3.593891357,0,5.114895405,0,Good
23,-26.916,-2.805,-0.0621415,2.62005,38.086,-0.063550085,5.037391901,4.061669432,0.543634595,9.472086253,739.0588782,-0.40769669,-0.727351041,0.593977577,1.917046568,-0.794390604,0.480295813,0.678364284,0.070877476,0.727861551,0,0,0,0,0,0,0,0,0,0,0,0,10.62666354,0,6.132824336,0,Good
24,-14.082,-2.464475,-0.034992,2.281625,24.199,-0.036567184,3.901984378,3.54282096,0.381451008,5.300771137,1315.001312,-0.110311839,-0.69692845,0.542198589,1.801090344,-0.77768039,0.467160317,0.650753575,-0.092333771,0.681244303,0,0,0,0,0,0,0,0,0,0,0,0,4.920854266,0,6.320570149,0,Good
25,-15.125,-2.6479,0.10886,2.52365,21.282,-0.059649796,4.169071592,3.84104595,0.033882626,4.343660189,1262.046325,-0.277595466,-0.539414897,0.580711982,1.764241932,-0.792038229,0.471233217,0.667625252,-0.513758031,0.655246727,0,0,0,0,0,0,0,0,0,0,0,0,5.035617846,0,4.980577861,0,Good
