x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,-3.888534,-0.897685,0.134145,1.028075,3.963954
2,-4.041418,-0.86467,0.13865,0.9910125,3.88694
3,-4.022318,-0.8709825,0.11844,0.9508875,3.781774
4,-3.970478,-0.8756,0.1204,1.005375,4.152506
5,-3.977278,-0.89679,0.126435,0.93281,4.03566
6,-3.753934,-0.876395,0.08741,0.94107,3.834102
7,-3.915744,-0.898045,0.12484,0.9846,3.964572
8,-4.08785,-0.8878925,0.089257,0.9603475,3.62103
9,-4.002688,-0.941975,0.0313515,0.9458775,3.463324
10,-4.295368,-0.90633,0.11012,0.9803875,3.513734
11,-4.157136,-0.8904975,0.128265,0.94844,3.584828
12,-3.734116,-1.016425,0.023455,0.990855,3.344506
13,-4.367274,-0.9729075,0.12271,0.93032,3.718228
14,-4.158254,-0.9542975,0.0607625,0.9405225,3.499516
15,-4.220132,-0.9754025,-0.0070332,0.97468,3.454524
16,-4.579434,-0.9669625,0.053783,0.96297,3.738092
17,-4.225788,-0.9775175,0.106645,0.931555,3.471944
18,-4.502926,-1.02495,0.0318,0.9844925,3.61204
19,-4.584836,-0.996075,0.082538,0.9777675,3.940362
20,-4.809986,-0.95772,0.01005785,0.8816975,3.70658
21,-4.731748,-0.9802275,-0.0023422,0.9309725,3.347202
22,-5.120224,-1.09715,0.0493395,0.963145,3.702008
23,-4.998406,-1.00535,0.019641,0.840675,3.657144
24,-4.635338,-1.087875,-0.030368,0.9378575,3.49659
25,-5.03226,-1.06635,0.0235555,0.95041,3.75234
26,-4.917362,-1.02295,0.0042159,0.8207175,3.700048
27,-4.736584,-1.100025,-0.054653,0.88314,3.568188
28,-4.518788,-1.163275,-0.039054,0.9042925,3.599042
29,-4.717972,-1.02705,-0.0075351,0.8247825,3.68211
30,-4.168468,-1.063125,-0.019654,0.8928,3.587114
31,-4.602318,-1.11305,-0.02834,0.93265,3.629124
32,-4.502846,-1.046425,0.020457,0.8898175,3.524014
33,-4.567106,-1.07455,-0.0164355,0.9003175,3.482164
34,-4.591508,-1.07135,0.016014,0.8799425,3.355396
35,-4.293142,-1.0335,-0.000361365,0.8375725,3.433924
36,-4.15342,-1.01115,0.00135845,0.88113,3.211704
37,-4.454192,-1.006,0.0049052,0.903835,3.21297
38,-4.417098,-1.0423,0.060408,0.898445,3.286076
39,-4.254156,-1.01465,0.0672935,0.8978725,3.034712
40,-4.565834,-1.019225,0.0171115,0.8599125,3.23884
41,-4.528838,-0.97156,0.044869,0.901615,3.175468
42,-4.44783,-1.0422,0.084606,0.901325,2.96316
43,-4.528788,-0.9598625,0.065427,0.88424,3.289362
44,-4.273776,-0.8986825,0.0472115,0.8961225,3.547734
45,-4.172994,-0.9710075,0.081394,0.952935,3.170846
46,-4.498144,-0.9656725,0.051514,0.931995,3.274428
47,-4.34763,-0.894605,0.089016,0.92023,3.140096
48,-4.069278,-0.9932975,0.10019,0.94983,3.468602
49,-4.323388,-0.9558175,0.096618,0.9772575,3.746512
50,-4.19591,-0.8886975,0.15077,0.902995,3.764262
51,-3.871102,-0.9356375,0.066143,0.9923075,3.749244
52,-4.08577,-0.9448275,0.101075,1.03575,3.844136
53,-4.135608,-0.85421,0.128685,0.93542,3.914728
54,-3.888048,-0.9196975,0.13074,0.9971575,4.00519
55,-3.937048,-0.93424,0.13634,1.0367,3.974506
56,-4.14536,-0.8068475,0.13351,0.9521425,4.17048
57,-3.771512,-0.8547875,0.108425,1.06655,3.867832
58,-3.975216,-0.95707,0.19325,1.056775,4.089208
59,-4.027196,-0.84195,0.10894,0.946485,3.945066
60,-3.782274,-0.8264425,0.11462,0.9767675,3.76661
61,-4.106834,-0.95869,0.147055,1.066,3.958378
62,-3.855328,-0.8801,0.13202,0.9816975,4.051652
63,-4.038424,-0.87443,0.13934,1.023025,4.113326
64,-4.018422,-0.94735,0.153265,1.0558,3.979038
65,-4.025152,-0.881625,0.117255,0.9788925,4.040702
66,-3.99381,-0.910975,0.11038,1.02575,3.754468
67,-3.873298,-0.9195275,0.0831335,1.05415,3.768514
68,-3.832578,-0.9055075,0.14366,0.9687975,4.027502
69,-3.45824,-0.884645,0.0739995,1.005825,4.114478
70,-3.805818,-0.9801025,0.146395,0.987645,3.896594
71,-3.73447,-0.9102075,0.1368,0.9989575,4.041402
72,-3.812254,-0.94777,0.082685,0.9948975,3.91543
73,-3.753826,-0.9693775,0.0580125,0.9896975,3.914804
74,-3.88366,-0.891325,0.0945435,0.9878425,3.818226
75,-3.839996,-0.9158475,0.064363,0.971755,3.867652
76,-3.632788,-0.945335,0.0442205,0.93554,3.723374
77,-3.944388,-0.9048575,0.083957,0.9629675,3.884794
