id,min,quantile_25,median,quantile_75,max,mean,sd,mad,skness,kurtos,min_bc,quantile_25_bc,median_bc,quantile_75_bc,max_bc,mean_bc,sd_bc,mad_bc,skness_bc,kurtos_bc,min_op,quantile_25_op,median_op,quantile_75_op,max_op,mean_op,sd_op,mad_op,skness_op,kurtos_op,op_sum,Missing_Vals,m,m_rob,m_bc,m_bc_rob,Grade
1,-7.313,-0.96234,0.1186,1.075075,6.8078,-0.026202501,1.831644627,1.48719606,-0.381900808,4.472292489,7.800965477,-0.562333233,-0.80423675,0.076466912,4.548497094,-0.857192611,1.177461021,0.52054687,-0.439112166,0.927925348,0,0,0,0,0,0,0,0,0,0,0,0,10.77381359,10.99217189,11.52765509,11.72118051,Good
2,-7.6973,-1.114825,0.0718515,0.9887825,8.1641,-0.048091787,1.809362221,1.551209539,-0.258342185,4.787454287,6.920334333,-0.699124456,-0.85098525,-0.011185983,5.4555849,-0.879081897,1.136895823,0.593129909,-0.3215169,0.951230458,0,0,0,0,0,0,0,0,0,0,0,0,11.55291255,12.4731284,11.80106352,13.23352225,Good
3,-7.0648,-1.028875,0.0501555,0.95402,6.9495,-0.020449431,1.707612381,1.437433332,-0.271822758,4.396532604,8.386615952,-0.622774225,-0.87268125,-0.045447338,4.644851383,-0.851439541,0.957970022,0.464763968,-0.334460017,0.921901941,0,0,0,0,0,0,0,0,0,0,0,0,4.25811306,4.567903375,4.509728635,4.857832291,Good
4,-7.0426,-1.005525,0.0809455,1.066425,6.001,-0.028757701,1.826334348,1.531355301,-0.383531421,4.293217881,8.439632128,-0.601683514,-0.84189125,0.067516153,3.991902206,-0.859747811,1.167748575,0.570519846,-0.440647625,0.913397461,0,0,0,0,0,0,0,0,0,0,0,0,11.36666471,11.8086309,11.47879918,11.90136905,Good
5,-7.8368,-1.0126,0.0553555,1.006625,6.4228,-0.010779151,1.717578152,1.46320092,-0.301485808,5.10967484,6.608725282,-0.608088287,-0.86748125,0.006635961,4.284641969,-0.841769261,0.975037354,0.493577816,-0.362846593,0.972506501,0,0,0,0,0,0,0,0,0,0,0,0,9.8146027,10.53780885,10.71109226,11.47779815,Good
6,-7.3853,-0.94719,0.129985,1.0196,6.9267,-0.023177699,1.709919116,1.438351803,-0.403337343,4.913780286,7.632836807,-0.548429202,-0.79285175,0.019695729,4.629374383,-0.854167809,0.961911691,0.465788378,-0.459260889,0.959854168,0,0,0,0,0,0,0,0,0,0,0,0,6.175501277,6.412237539,6.333355312,6.675001191,Good
7,-7.9061,-1.01235,0.1001645,0.9896675,7.2189,-0.062369823,1.735403765,1.44612804,-0.515511703,4.951303866,6.455553005,-0.607862179,-0.82267225,-0.010305764,4.826966379,-0.893359932,1.005813114,0.474469401,-0.563286622,0.962343534,0,0,0,0,0,0,0,0,0,0,0,0,7.456238453,7.839964359,7.14645522,7.575699783,Good
8,-8.9201,-0.97194,0.0873565,0.93652,7.7184,-0.052156035,1.653365031,1.378064098,-0.382456683,5.120198387,4.343423063,-0.57111767,-0.83548025,-0.062461652,5.161089481,-0.883146144,0.866807963,0.39896717,-0.439635654,0.973162849,0,0,0,0,0,0,0,0,0,0,0,0,8.041938397,8.537963974,7.571644886,7.965981112,Good
9,-9.3725,-0.9268875,0.0821765,0.9742275,8.3611,-0.04793465,1.694343267,1.387600181,-0.45822988,6.071044781,3.48394423,-0.529720001,-0.84066025,-0.025605724,5.584720311,-0.878924759,0.935399554,0.4094794,-0.51047563,1.024351655,0,0,0,0,0,0,0,0,0,0,0,0,6.066922823,6.870949681,5.813528746,6.177303537,Good
10,-7.7161,-0.991155,0.055262,0.9478825,7.012,-0.060218594,1.688290258,1.415123909,-0.315171949,4.834671281,6.878086176,-0.588637609,-0.86757475,-0.051432425,4.68722543,-0.891208704,0.925161998,0.439941781,-0.375899116,0.954498567,0,0,0,0,0,0,0,0,0,0,0,0,0.940878076,0.981804859,0.912250395,0.996727569,Good
11,-6.7218,-0.8901,0.106335,0.87185,6.0697,-0.047580137,1.622038566,1.269283512,-0.271527579,4.648912285,9.21714935,-0.495607043,-0.81650175,-0.123952199,4.039855319,-0.878570247,0.815504555,0.280619846,-0.334176887,0.941316755,0,0,0,0,0,0,0,0,0,0,0,0,6.269627087,6.518561916,6.190523951,6.523024844,Good
12,-7.2943,-0.920425,0.050417,0.8726675,6.871,-0.046767904,1.679533735,1.317045471,-0.20501535,5.365825123,7.844633675,-0.523746818,-0.87241975,-0.123188697,4.591521397,-0.877758014,0.910416783,0.332222709,-0.27006592,0.987857882,0,0,0,0,0,0,0,0,0,0,0,0,6.027842354,6.42904535,6.40330611,6.635553306,Good
13,-6.9936,-0.940425,0.139255,0.957975,7.1724,-0.046214761,1.757675424,1.340003532,-0.25219528,4.770425425,8.5570144,-0.542204682,-0.78358175,-0.041580333,4.795630699,-0.877204871,1.044711448,0.357228637,-0.315606416,0.95003833,0,0,0,0,0,0,0,0,0,0,0,0,12.46273518,13.39855607,12.43445534,13.64609157,Good
14,-6.8656,-0.997965,0.00056215,0.84711,5.4309,-0.12052096,1.681002848,1.330192945,-0.293838175,4.120927851,8.86599965,-0.594826258,-0.9222746,-0.146887996,3.5895776,-0.95151107,0.912885287,0.346527097,-0.355540605,0.898413266,0,0,0,0,0,1,0,0,0,0,0,0,14.76152776,15.60560946,16.27026137,17.58521986,Good
15,-7.6188,-0.906275,0.106635,0.9085,6.4705,-0.044010813,1.653053123,1.286036892,-0.324053694,4.969613839,7.097590129,-0.510638918,-0.81620175,-0.08937387,4.317500776,-0.875000923,0.866292315,0.298655352,-0.384354197,0.963546634,0,0,0,0,0,0,0,0,0,0,0,0,9.85422313,10.59523116,9.685569115,10.60233678,Good
16,-8.2211,-0.9844,0.030381,0.875765,7.2275,-0.089552204,1.727880593,1.34628086,-0.308338458,5.596019379,5.773175502,-0.582488188,-0.89245575,-0.120292549,4.832757366,-0.920542314,0.992785672,0.364088388,-0.369385578,1.000627851,0,0,0,0,0,0,0,0,0,0,0,0,8.009645893,8.809625334,8.184439458,8.738128517,Good
17,-9.2268,-0.970395,0.15412,0.9941975,7.5837,-0.017421324,1.743490584,1.425275271,-0.335773825,5.452380101,3.754845242,-0.569705312,-0.76871675,-0.005794075,5.071424113,-0.848411434,1.019879709,0.451222081,-0.395492357,0.992766966,0,0,0,0,0,0,0,0,0,0,0,0,11.78066626,12.66867692,11.60213465,12.21566117,Good
18,-7.2541,-0.8511575,0.0675885,0.91608,7.4681,-0.042174637,1.714123245,1.317052884,-0.230158617,5.18398813,7.938761731,-0.459214959,-0.85524825,-0.082133924,4.994218803,-0.873164747,0.96910925,0.332230763,-0.294373608,0.977092838,0,0,0,0,0,0,0,0,0,0,0,0,4.615036181,4.748654167,4.755132015,4.910740015,Good
19,-7.2207,-0.900025,0.114565,0.98265,7.3687,0.004434115,1.702757177,1.394644755,-0.33700493,5.150212381,8.017229669,-0.504836626,-0.80827175,-0.017274525,4.927641666,-0.826555995,0.949691001,0.417259011,-0.396661065,0.975022273,0,0,0,0,0,0,0,0,0,0,0,0,5.003514621,5.242489751,5.08872893,5.416021523,Good
20,-6.8882,-0.95829,0.1014315,0.9039875,7.0636,-0.02363312,1.698851399,1.359640569,-0.192947073,4.893905679,8.811198037,-0.558621193,-0.82140525,-0.093669626,4.722152532,-0.85462323,0.943048038,0.378719537,-0.258368579,0.958522525,0,0,0,0,0,0,0,0,0,0,0,0,4.629054079,4.900851811,4.920280378,5.364961381,Good
