x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,-4.584388,-0.885425,0.1333,0.6209,1.662108
2,-4.887772,-0.814815,0.114375,0.581325,1.654636
3,-4.848686,-0.79931,0.167545,0.6479275,1.669768
4,-4.694114,-0.9979875,0.122805,0.6218025,1.633708
5,-4.741422,-0.9098275,0.13254,0.616885,1.698928
6,-4.48649,-0.79844,0.15573,0.6260075,1.69891
7,-4.641842,-0.90293,0.147645,0.6385175,1.603952
8,-4.623118,-0.77225,0.15809,0.64343,1.660798
9,-4.585794,-0.9365825,0.147385,0.6336075,1.704592
10,-4.935466,-0.8938275,0.138575,0.6263375,1.659698
11,-4.611988,-0.806985,0.130025,0.60823,1.656204
12,-4.756782,-0.871695,0.15243,0.6421475,1.643784
13,-4.626262,-0.7520775,0.160925,0.6552875,1.71605
14,-4.723504,-0.910245,0.16239,0.6241025,1.672706
15,-4.766786,-0.9555125,0.143025,0.640195,1.607946
16,-4.635366,-0.8024125,0.17228,0.65586,1.745522
17,-4.663456,-0.82914,0.16722,0.642255,1.673996
18,-4.662752,-0.7586575,0.170765,0.6174825,1.695732
19,-4.49849,-0.83654,0.1793,0.67066,1.731186
20,-4.872278,-0.861185,0.17287,0.6348,1.645504
21,-4.856376,-0.8014725,0.17541,0.6569375,1.668814
22,-4.868976,-0.8626325,0.180385,0.6685825,1.743
23,-4.663086,-0.744935,0.15471,0.6332275,1.668406
24,-4.691834,-0.9271225,0.17201,0.65307,1.640988
25,-4.826036,-0.9142175,0.136345,0.624275,1.604162
26,-4.623972,-0.7909625,0.188795,0.66626,1.703314
27,-4.714982,-0.8191125,0.16309,0.6441325,1.625338
28,-4.676124,-0.80268,0.14732,0.652525,1.6631
29,-4.627108,-0.77968,0.1569,0.6720825,1.668932
30,-4.55232,-0.8835325,0.12546,0.61979,1.625298
31,-5.0302,-0.835945,0.188655,0.65941,1.662934
32,-4.750046,-0.8333175,0.16591,0.6582375,1.735944
33,-4.660572,-0.7478225,0.161775,0.6466475,1.593808
34,-4.626364,-0.859455,0.1692,0.6574175,1.610266
35,-4.885472,-0.97075,0.11905,0.60883,1.734604
36,-4.461396,-0.857045,0.18226,0.652445,1.62752
37,-4.619368,-0.819035,0.142395,0.6312225,1.67808
38,-4.67954,-0.7469825,0.15075,0.6203125,1.665044
39,-4.691542,-0.847505,0.159755,0.653335,1.671198
40,-4.709842,-0.9824025,0.1211,0.596675,1.625972
41,-5.18452,-0.85675,0.16934,0.6708,1.628988
42,-4.741352,-0.77683,0.159695,0.6448975,1.608838
43,-4.779476,-0.7778525,0.15313,0.6349275,1.674784
44,-4.775644,-0.7913625,0.18121,0.6667375,1.825412
45,-4.830192,-0.9520525,0.13469,0.60129,1.604548
46,-4.538054,-0.8450725,0.17457,0.6424375,1.665422
47,-4.577004,-0.7634575,0.142565,0.622345,1.650398
48,-4.809046,-0.8000325,0.17524,0.634795,1.704324
49,-4.654292,-0.7840625,0.173925,0.64172,1.653214
50,-4.758868,-0.9466575,0.17682,0.6452625,1.594088
51,-4.874206,-0.881465,0.15626,0.65529,1.704254
52,-4.971502,-0.82558,0.17842,0.636755,1.621588
53,-4.766652,-0.8399075,0.15294,0.6238575,1.632898
54,-4.718516,-0.79381,0.18,0.683095,1.735324
55,-4.658286,-0.9199325,0.147975,0.638485,1.602072
56,-4.593118,-0.9311525,0.145915,0.657045,1.648346
57,-4.621424,-0.7471125,0.16833,0.6424175,1.627226
58,-4.72526,-0.856645,0.183755,0.673445,1.653212
59,-4.419558,-0.7078675,0.18923,0.66299,1.686216
60,-4.746872,-0.89253,0.19472,0.6653575,1.816406
61,-4.861826,-0.90952,0.18411,0.665235,1.69945
62,-4.596794,-0.83579,0.18739,0.6574425,1.633976
63,-4.89945,-0.8281075,0.1917,0.6617775,1.665536
64,-4.74706,-0.7313225,0.202915,0.6633775,1.836822
65,-4.678942,-0.8443875,0.17117,0.6569775,1.623544
66,-4.746844,-0.943305,0.17188,0.6646775,1.731722
67,-4.536456,-0.75462,0.216635,0.6845525,1.693114
68,-4.502434,-0.7538975,0.219055,0.68018,1.72537
69,-4.50236,-0.73054,0.202695,0.676475,1.700602
70,-4.639924,-0.797265,0.21619,0.708125,1.7293
71,-4.852234,-0.94577,0.17728,0.67543,1.659874
72,-4.696964,-0.7904575,0.19011,0.6889025,1.705972
73,-5.05705,-0.838365,0.225365,0.6828225,1.743784
74,-4.453318,-0.710255,0.18713,0.6604275,1.68509
75,-4.604652,-0.7989875,0.218705,0.6962,1.680266
76,-4.816804,-0.889985,0.16517,0.6666425,1.684252
77,-4.673226,-0.789445,0.21582,0.698165,1.750752
78,-4.524742,-0.72726,0.175475,0.6583225,1.67368
79,-4.592904,-0.7274225,0.19238,0.700185,1.665698
80,-4.583168,-0.795175,0.21593,0.7096675,1.71471
81,-4.75425,-0.944575,0.17269,0.6670475,1.693162
82,-4.97456,-0.7602725,0.215665,0.699485,1.735876
83,-4.89478,-0.7812675,0.178225,0.6621925,1.704812
84,-4.560328,-0.8218975,0.18544,0.667065,1.659488
85,-4.625108,-0.72761,0.22555,0.6904425,1.73626
86,-4.755366,-0.8680725,0.148725,0.65348,1.694952
87,-4.654274,-0.8608725,0.216945,0.698115,1.717414
88,-4.457132,-0.74084,0.167345,0.6590675,1.627518
89,-4.53499,-0.69724,0.181955,0.6646,1.752514
90,-4.560372,-0.746415,0.20807,0.6861825,1.621414
91,-4.781812,-0.897525,0.147175,0.63785,1.612412
92,-4.850806,-0.8153375,0.200645,0.6946,1.70368
93,-4.918336,-0.801945,0.183875,0.6730625,1.638476
94,-4.622572,-0.8921975,0.18326,0.652575,1.718618
95,-4.5834,-0.69104,0.21987,0.6736475,1.764044
96,-4.692314,-0.8901325,0.145895,0.647625,1.600048
97,-4.7995,-0.92279,0.168655,0.663665,1.707288
98,-4.520418,-0.7342625,0.18125,0.663945,1.653574
99,-4.650286,-0.6897125,0.17046,0.639795,1.64106
100,-4.28354,-0.735685,0.204325,0.65168,1.622648
101,-4.846544,-0.91892,0.1617,0.65796,1.648808
102,-4.825528,-0.824745,0.175515,0.6852675,1.665396
103,-4.99065,-0.81778,0.19934,0.6681825,1.612132
104,-4.675248,-0.883865,0.161415,0.6312875,1.742882
105,-4.292974,-0.7300975,0.187215,0.656585,1.779808
106,-4.717008,-0.8382575,0.16414,0.63837,1.681012
107,-4.895878,-0.94525,0.143285,0.6269575,1.71069
108,-4.480134,-0.7251525,0.19829,0.667515,1.698022
109,-4.534674,-0.739995,0.18406,0.6533675,1.724884
110,-4.236068,-0.7654475,0.17578,0.6708725,1.70354
111,-4.873348,-0.8616825,0.205745,0.67052,1.67763
112,-4.796616,-0.9458625,0.17421,0.6591775,1.675918
113,-4.638062,-0.8030025,0.199535,0.669965,1.684482
114,-4.876378,-0.86825,0.20334,0.6523025,1.66323
115,-4.398408,-0.73654,0.2074,0.692265,1.775172
116,-4.660684,-0.7572725,0.18354,0.6692775,1.699686
117,-4.920676,-0.9212975,0.16053,0.64068,1.681764
118,-4.559758,-0.7081825,0.193525,0.65085,1.680384
119,-4.625516,-0.7551,0.198125,0.67743,1.710672
120,-4.481578,-0.770945,0.19117,0.6590825,1.682242
121,-4.701604,-0.803525,0.207585,0.69533,1.670526
122,-4.954148,-0.98905,0.157075,0.676045,1.61314
123,-4.632736,-0.793465,0.22207,0.6934975,1.765652
124,-4.933486,-0.81621,0.185385,0.6773225,1.71202
125,-4.482834,-0.7031575,0.18277,0.6476275,1.797648
126,-4.444478,-0.767505,0.202795,0.7086025,1.693694
127,-4.843176,-0.96159,0.17281,0.6448,1.742938
128,-4.697604,-0.7473675,0.21384,0.69178,1.689576
129,-4.564976,-0.7446575,0.18075,0.6840425,1.649018
130,-4.39013,-0.7661575,0.15246,0.6675425,1.739568
131,-4.67684,-0.86841,0.216885,0.69999,1.828926
132,-4.762706,-0.9733675,0.13409,0.640835,1.6663
133,-4.959464,-0.792605,0.217305,0.7032725,1.69512
134,-4.733572,-0.8029,0.15947,0.670475,1.675136
135,-4.567492,-0.7468025,0.16295,0.6316175,1.627356
