x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,-4.345476,-0.8604975,0.104105,0.64577,1.72882
2,-4.354928,-0.8216475,0.088149,0.6487725,1.796798
3,-4.271482,-0.81772,0.134385,0.67892,1.826474
4,-4.152346,-0.930365,0.062043,0.6471025,1.773864
5,-4.244418,-0.8729,0.0847055,0.6680175,1.81447
6,-4.093936,-0.7726225,0.118,0.6575825,1.875982
7,-4.184384,-0.860315,0.0926155,0.651685,1.826376
8,-4.32713,-0.8163575,0.10269,0.6575625,1.6723
9,-4.341514,-0.827715,0.077287,0.6193025,1.821298
10,-4.57536,-0.91104,0.0745915,0.6633475,1.772302
11,-4.147092,-0.88866,0.079004,0.6316225,1.789928
12,-4.341244,-0.82635,0.0996215,0.6587,1.783488
13,-4.292316,-0.7797225,0.118415,0.694025,1.814246
14,-4.328102,-0.8794875,0.0923405,0.6569,1.718368
15,-4.258936,-0.9875925,0.048385,0.6705475,1.723386
16,-4.103208,-0.8244,0.079768,0.6421175,1.850438
17,-4.330612,-0.83071,0.100753,0.6302825,1.79369
18,-4.200286,-0.78157,0.086483,0.6454325,1.741484
19,-4.221008,-0.7876825,0.0986405,0.703105,1.794988
20,-4.400736,-0.875745,0.102885,0.667405,1.77889
21,-4.402396,-0.7815825,0.0871255,0.6698925,1.827448
22,-4.30565,-0.877645,0.0951715,0.6466425,1.719724
23,-4.149966,-0.770215,0.0882745,0.676365,1.741656
24,-4.31477,-0.86252,0.123335,0.66019,1.791946
25,-4.56874,-0.887295,0.0629925,0.630775,1.667338
26,-4.162304,-0.85422,0.114775,0.687145,1.82239
27,-4.35155,-0.8182775,0.095217,0.6600825,1.77712
28,-4.204834,-0.7868225,0.085738,0.648315,1.773964
29,-4.175392,-0.77729,0.101675,0.686395,1.686052
30,-4.262952,-0.8733625,0.0517015,0.64794,1.825896
31,-4.619772,-0.8408725,0.0901525,0.684705,1.663468
32,-4.429244,-0.7791725,0.10311,0.6766,1.826398
33,-4.146262,-0.79336,0.0798375,0.6563825,1.759594
34,-4.124516,-0.8603,0.10989,0.6794525,1.732716
35,-4.364754,-0.88096,0.0545125,0.61048,1.820616
36,-4.09035,-0.8560125,0.0954175,0.656035,1.725868
37,-4.200438,-0.772895,0.0874525,0.6416125,1.773508
38,-4.346534,-0.8556325,0.089787,0.6487975,1.855476
39,-4.116176,-0.8169625,0.097791,0.668055,1.673244
40,-4.322928,-0.887,0.0527355,0.61985,1.788182
41,-4.68431,-0.82702,0.11615,0.6918275,1.857878
42,-4.467078,-0.8074125,0.13527,0.71544,1.74548000000001
43,-4.399162,-0.7744675,0.100027,0.677545,1.799888
44,-4.304302,-0.8031775,0.116065,0.6635825,1.82139
45,-4.330072,-0.9273875,0.054442,0.626905,1.678284
46,-4.168254,-0.85693,0.0804205,0.6467875,1.808852
47,-4.241052,-0.76661,0.099142,0.657365,1.769446
48,-4.250444,-0.7911725,0.11469,0.6863125,1.747752
49,-4.179274,-0.752985,0.113115,0.68268,1.787868
50,-4.297698,-0.91706,0.0991445,0.6330725,1.834448
51,-4.450712,-0.8426125,0.11522,0.663325,1.772862
52,-4.23564,-0.8426775,0.120045,0.6707125,1.779276
53,-4.292198,-0.8825925,0.082745,0.6582625,1.81659
54,-4.273234,-0.8155925,0.13969,0.6929125,1.80042
55,-4.27989,-0.8545375,0.097635,0.66163,1.696342
56,-4.226436,-0.8783825,0.072738,0.6580725,1.81643
57,-4.257848,-0.794235,0.10286,0.651095,1.816372
58,-4.233684,-0.83229,0.0829185,0.6745025,1.854998
59,-4.15907,-0.786345,0.116895,0.69346,1.742412
60,-4.330014,-0.927245,0.082548,0.67329,1.799802
61,-4.607794,-0.947545,0.0984105,0.642705,1.809976
62,-4.363686,-0.8411975,0.0882875,0.6472325,1.749286
63,-4.493436,-0.8158275,0.083984,0.6669775,1.86283
64,-4.313548,-0.69823,0.115635,0.6834775,1.876998
65,-4.269882,-0.9066775,0.099034,0.6619225,1.796776
66,-4.43652,-0.9262975,0.0837255,0.67121,1.75186
67,-4.177912,-0.81627,0.08902,0.66591,1.70368
68,-4.049852,-0.8493975,0.12159,0.6630475,1.73915
69,-4.067314,-0.769485,0.0958385,0.681305,1.752386
70,-4.236506,-0.855475,0.10535,0.71364,1.861702
71,-4.532274,-0.9379325,0.052948,0.6598,1.719938
