x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,-13.29226,-2.06125,-0.06394,1.530075,15.0158
2,-13.75556,-2.098325,-0.098665,1.401075,14.7172
3,-13.91428,-2.091625,-0.088203,1.484875,14.38322
4,-12.56638,-2.12775,0.00929825,1.525975,13.3229
5,-12.58302,-1.9197,-0.0575975,1.505025,13.5851599999999
6,-13.48264,-2.146225,-0.0330035,1.5825,14.1746799999999
7,-12.9395,-2.054825,-0.102845,1.534075,13.44814
8,-13.2476,-1.9062,-0.0362305,1.55725,13.1143
9,-13.97654,-1.994225,-0.0861425,1.454125,14.3202
10,-14.07402,-1.961975,-0.0172625,1.547625,14.47474
11,-12.40158,-1.94805,-0.0228795,1.426875,13.13216
12,-13.37116,-2.104075,0.0067434,1.5652,13.23484
13,-13.64842,-1.9432,-0.0670965,1.372725,12.67944
14,-15.17774,-2.120775,-0.0339295,1.471475,12.29956
15,-15.1057,-2.0981,-0.0115675,1.5657,12.6578599999999
16,-13.78404,-2.11045,-0.0942975,1.488975,12.27212
17,-15.0819,-2.0016,-0.061986,1.543275,13.7406
18,-14.71986,-2.131025,-0.0723245,1.4712,13.76288
19,-14.11282,-2.108475,-0.052885,1.4286,12.49496
20,-14.7888,-2.107575,-0.0391825,1.588525,13.54116
21,-13.70504,-1.94305,0.0047761,1.539925,12.7463199999999
22,-14.48086,-1.987,-0.0245555,1.509825,12.84842
23,-15.45856,-1.956525,-0.119345,1.446575,13.53096
24,-14.35064,-2.1451,-0.0307145,1.461825,14.43804
25,-14.3241,-2.01025,0.0125695,1.510225,13.76568
26,-14.34528,-1.951075,0.028336,1.5946,13.51038
27,-14.2531,-2.05585,-0.0529645,1.4253,13.60724
28,-14.91092,-2.210225,-0.0822035,1.4774,13.12046
29,-14.16144,-2.089275,-0.0862395,1.3824,12.75746
30,-14.09184,-2.1477,-0.0619585,1.461475,13.61114
31,-13.78348,-2.016025,-0.0122245,1.554975,14.14672
32,-12.75398,-2.101425,0.016937,1.5883,14.6413399999999
33,-13.57632,-2.17275,-0.12314,1.4821,13.53966
34,-14.81476,-2.076925,-0.140665,1.451,13.8919599999999
35,-13.38444,-2.059075,-0.027197,1.475725,13.3781
36,-12.54938,-1.977525,-0.050272,1.548325,14.5777599999999
37,-13.23182,-2.0409,-0.0401185,1.5231,14.83008
38,-14.2735,-2.006775,-0.0771595,1.4758,13.3971
39,-13.46684,-2.1359,-0.13646,1.461425,15.0829
40,-12.91544,-2.162575,-0.0687805,1.4415,13.67386
41,-13.80964,-1.9101,-0.0124275,1.554925,14.9804
42,-13.79904,-2.11045,0.012401,1.503275,14.9704
43,-13.15664,-2.026125,-0.113165,1.37665,11.76112
44,-14.4639,-2.179625,-0.10241,1.3064,12.7053
45,-14.93436,-2.13915,-0.050829,1.487575,13.11928
46,-13.32078,-1.979975,-0.035939,1.6007,13.24424
47,-14.0918,-1.95165,-0.0455835,1.614325,13.96478
48,-14.8574,-1.89345,-0.042348,1.539025,13.02242
49,-14.14056,-2.10855,-0.040241,1.486225,12.69944
50,-14.10986,-2.14155,-0.125855,1.40485,12.0973
51,-15.99596,-2.003375,-0.0197445,1.54615,12.8348
52,-13.6906,-1.846225,0.0854055,1.5753,13.0644
53,-13.81616,-1.92195,0.01216535,1.642225,12.70162
54,-14.09324,-2.1044,-0.0629775,1.459925,13.4325199999999
55,-15.54986,-2.13175,-0.071666,1.4012,12.67066
56,-15.86698,-2.1199,-0.0517675,1.463875,12.87474
57,-13.66012,-2.0187,0.0267115,1.5212,13.3878
58,-13.36252,-2.066175,-0.10086,1.5199,13.75278
59,-14.72554,-2.119875,0.0048668,1.4224,13.8356399999999
60,-14.059,-2.020475,-0.066156,1.34305,14.1892199999999
61,-14.5244,-2.195175,-0.0943895,1.4071,13.9528599999998
62,-14.64978,-2.058825,-0.026287,1.497025,14.1835799999999
63,-14.31696,-1.978525,-0.00222895,1.59225,14.2686399999999
64,-14.40574,-2.038575,-0.012116,1.566175,14.7895399999999
65,-14.07678,-1.972325,0.0149125,1.47025,16.97106
