x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,7.832288827,14.76993526,19.78999148,26.02262098,39.43237617
2,9.169121717,16.15258983,21.03650402,24.71390863,31.6774508
3,8.960003151,15.5439423,19.28946574,24.30258745,33.17204569
4,9.304053346,15.48751718,19.92535414,25.94924672,47.4143402
5,9.633385219,15.48375641,22.09525866,28.44771513,46.75089097
6,9.609708678,15.65978864,20.35288884,26.48765833,37.09607121
7,9.3977693,14.7331862,20.17456819,22.02494549,43.96455688
8,5.246339182,15.17994577,19.48997299,23.91202103,39.66927809
9,6.587106763,15.32030698,18.79758954,26.68365625,37.17969114
10,7.295188273,14.49010124,19.84129596,27.49566941,39.14461812
11,8.259478006,15.13232299,21.10244775,25.62551202,41.8289075
12,8.96780517,15.42887923,20.65219709,24.17201164,33.51712259
13,9.225482947,15.08986762,20.25169149,23.78918054,39.75545614
14,9.32768564,14.86548836,18.07231968,25.07156782,46.7006363
15,10.06868386,14.09342756,21.09589477,28.32188107,45.57745615
16,9.587439235,17.10690239,20.51075981,24.62298443,39.09015437
17,8.262243017,14.60677654,19.07582187,25.08531606,38.82934571
18,5.622578002,14.3612094,18.93735258,26.15388189,39.73953599
19,9.275283267,15.03974025,18.23179256,25.2167963,34.19514895
20,7.456049152,14.3251396,19.53247758,27.46659723,40.84145165
21,8.748415826,15.30736211,24.42774185,27.62558518,49.39161792
22,8.234908791,16.00843266,18.86985701,25.74884149,43.94234874
23,10.17170115,14.0779864,19.19846048,24.11418018,38.30251012
24,8.223335971,13.67936798,17.75192304,23.31619966,44.49372756
25,10.18848444,15.02321023,19.97970409,27.55021884,49.91629184
26,8.935431604,16.73957965,20.35900294,26.01916623,51.53942162
27,9.363237616,14.76413029,19.64285969,25.77270414,41.06610124
28,9.084770256,13.99801147,18.55028889,23.50449632,31.84827488
29,6.994389972,15.29459299,17.64406187,27.21361086,34.03324415
30,7.515466359,14.84663361,19.64250544,27.62508071,44.52872817
31,6.65965107,15.61629028,20.7484408,26.39312129,42.33309295
32,8.715375901,14.69147766,19.09845706,26.51054704,42.43233405
33,9.275231793,15.75105008,20.03349702,23.10008388,42.21568725
34,8.281212373,12.97926406,18.82533883,22.10331813,43.07246945
35,8.977005681,14.8007403,19.22770503,23.45145698,44.70233634
36,7.101905006,17.00186715,20.40506325,25.33737913,52.29415502
37,9.201653358,16.0222499,18.93441297,24.30692876,36.26585956
38,8.842746904,16.07855238,20.61006873,23.72308372,31.65720502
39,5.872753033,15.41406376,18.56326889,23.16094749,31.64345195
40,8.564775692,14.71068859,18.77256762,27.44969345,51.60643493
41,7.290040159,15.78102635,21.96893078,26.88861129,47.50322809
42,8.266748316,15.15335949,21.77409956,27.42547647,40.50967521
43,8.987876844,16.97220136,20.05846889,23.98524755,39.15035707
44,8.438760933,13.36358587,18.16434957,24.18803367,39.26089104
45,8.212650311,15.29137473,19.59409715,23.56795231,44.91994832
46,7.327900473,17.61469351,20.89145743,26.12757827,49.83066146
47,7.624745427,15.22134408,18.50668224,25.0061887,51.14945659
48,6.859743393,14.40306472,19.73380581,24.00576751,32.07000808
49,8.491895379,15.66763403,19.28770784,24.09060926,42.93282482
50,8.552756226,15.0799824,18.24969023,24.4818877,47.04321779
51,7.278863931,15.86870104,20.62753824,28.78454816,51.07943266
52,8.337634794,15.3906317,21.3441531,29.63653882,45.30004841
