id,min,quantile_25,median,quantile_75,max,mean,sd,mad,skness,kurtos,min_bc,quantile_25_bc,median_bc,quantile_75_bc,max_bc,mean_bc,sd_bc,mad_bc,skness_bc,kurtos_bc,min_op,quantile_25_op,median_op,quantile_75_op,max_op,mean_op,sd_op,mad_op,skness_op,kurtos_op,op_sum,Missing_Vals,m,m_rob,m_bc,m_bc_rob,Grade
1000,14.82854989,22.8610584,29.38840828,36.04084812,63.21179573,30.26441869,8.675949237,9.770356873,0.577613472,2.811642917,11.47079108,34.78998351,47.32040755,60.68049505,10.62983474,83.84810165,6.655700883,5.616256219,-0.146756352,0.672889952,0,0,0,0,0,0,0,0,0,0,0,0,7.792252142,0,7.583704443,0,Good
1161,5.458903143,12.30170839,15.37575638,18.16086265,37.52258762,15.42834525,4.342491547,4.36907994,0.465560116,3.518832133,4.00750242,16.10135731,21.29876245,26.19271336,8.15754367,32.21020401,3.054920626,2.58235344,-0.263963322,0.753015667,0,0,0,0,0,0,0,0,0,0,0,0,5.068164871,0,7.370357999,0,Good
1162,5.39884263,12.98917294,15.5283209,18.85284277,52.68027849,16.21957031,4.665131281,4.242082572,1.139706606,6.468522253,3.956789535,17.24325855,21.56254765,27.43309715,9.706727048,34.59809895,3.332489044,2.500401155,0.402503888,0.904081283,0,0,0,0,0,0,0,0,0,0,0,0,3.974104509,0,7.540204657,0,Good
1163,8.178674096,14.65204581,20.65588547,27.92583471,69.76018532,22.63930943,10.17166053,9.639491906,1.355808631,5.550921337,6.253877898,20.05465784,30.70736715,44.45915173,11.15787265,55.60801796,7.850996663,5.550078223,0.601139685,0.873520691,0,0,0,0,0,0,0,0,0,0,0,0,9.09343352,0,8.50519757,0,Good
1164,6.244864332,12.93498773,17.2396425,21.71529166,50.52323485,18.14239812,6.594055896,6.501087539,1.055456376,4.655528341,4.666232492,17.15280707,24.55607969,32.65839456,9.504289719,40.59470029,4.956180269,3.868537802,0.323454309,0.832764836,0,0,0,0,0,0,0,0,0,0,0,0,3.375725421,0,4.805342609,0,Good
1491,15.7941502,20.31925793,24.81830876,30.63599999,56.59405845,26.7022483,8.216594528,7.216220722,1.178395727,3.85496454,12.20581923,30.09155684,38.48049834,49.78376284,10.06169789,70.2498514,6.284603787,4.269933801,0.438487652,0.781243905,0,0,0,0,0,0,0,0,0,0,0,0,3.964275107,0,4.193714776,0,Good
1492,16.54489986,21.68247697,23.93991801,29.04486308,48.09106161,26.40682175,7.270160877,4.329951483,1.297301811,3.778648358,12.77418735,32.5976712,36.81675023,46.64570939,9.269709789,69.15310944,5.513297448,2.557180666,0.547910549,0.775253913,0,0,0,0,0,0,0,0,0,0,0,0,6.078057434,0,4.958215402,0,Good
1493,12.14186652,19.93984859,22.35263027,25.6057065,52.01653529,24.80185286,8.746209123,3.944631064,1.397888054,4.185382171,9.399171629,29.39992684,33.84139886,39.98195509,9.64497366,63.28125923,6.71228576,2.305507486,0.639187419,0.804776631,0,0,0,0,0,0,0,0,0,0,0,0,6.619498797,0,5.675806791,0,Good
1494,14.84719667,19.61003885,21.01846954,23.30688167,61.44437648,25.29562796,10.63026251,2.489712263,1.907612572,5.317382498,11.48502967,28.80084561,31.37290939,35.62524748,10.48173876,65.07203768,8.213851113,1.277432678,1.086387145,0.86414954,0,0,0,0,0,0,0,0,0,0,0,0,14.69026526,0,8.600842439,0,Good
1611,10.70750972,12.78284755,14.62460361,16.7778054,28.55680051,15.08017842,2.776064005,2.839894884,0.951227458,3.722713323,8.274814764,16.89924493,20.00772064,23.74208602,7.054848992,31.17472426,1.674009569,1.538449265,0.22425832,0.770715575,0,0,0,0,0,0,0,0,0,0,0,0,2.361363436,0,2.369531612,0,Good
1612,8.744278904,13.49655473,15.03852816,17.04811047,30.06449726,15.51579004,3.221496016,2.527573472,0.896574494,4.23538979,6.710731838,18.09386174,20.71755387,24.21796592,7.253524676,32.47175304,2.073154813,1.306161148,0.171576623,0.808033787,0,0,0,0,0,0,0,0,0,0,0,0,2.982825249,0,3.852288035,0,Good
1613,13.19850104,16.47222211,18.92439637,22.93544446,29.93001289,19.69807327,4.021280844,4.420313906,0.48338103,2.233332767,10.21888186,23.20594254,27.56188398,34.92912352,7.236049432,45.63736576,2.776523635,2.615212158,-0.245098541,0.57197379,0,0,0,0,0,0,0,0,0,0,0,0,4.922637599,0,9.975404233,0,Good
1614,13.69501577,15.74490337,17.57964186,20.71007032,27.77816611,18.45588401,3.285108191,3.019849787,0.79739325,2.455313878,10.60177104,21.93791049,25.15813303,30.80667886,6.949774322,41.59744181,2.129688663,1.66879332,0.074694061,0.616047308,0,0,0,0,0,0,0,0,0,0,0,0,4.006372005,0,8.564628474,0,Good
1821,10.78929621,12.71643795,15.14452445,19.56997608,58.78110791,18.97174106,10.14407161,3.95429878,1.998520313,6.236029562,8.33931292,16.78875305,20.89995906,28.72821027,10.25366824,43.26235263,7.829116302,2.311909689,1.163817526,0.89714739,0,0,0,0,0,0,0,0,0,0,0,0,13.29818331,0,7.921858666,0,Good
1822,10.73241666,12.68520825,15.31886274,19.91807336,38.09632187,17.18523152,5.482125149,4.527904567,1.037385818,3.126266312,8.29446198,16.7368331,21.20052657,29.36031183,8.222430196,37.57607932,4.02709524,2.683845882,0.306370804,0.712789274,0,0,0,0,0,0,0,0,0,0,0,0,4.004665425,0,4.230930254,0,Good
1823,12.08758284,16.23809131,18.35912318,21.96920636,58.03680041,20.12618631,6.074352704,3.794869566,1.975615831,8.355649365,9.356871864,22.79650385,26.54714789,33.12888081,10.18882458,47.0538232,4.524065029,2.205720893,1.144367938,0.946683289,0,0,0,0,0,0,0,0,0,0,0,0,8.224660135,0,3.622026939,0,Good
1824,11.75900176,15.53574437,17.56266242,21.04450453,55.67727367,19.14744405,5.44292426,3.698582721,1.799949963,7.289054189,9.100420834,21.57539615,25.12801105,31.42078688,9.979902521,43.83360004,3.994015912,2.140940846,0.993846283,0.925179416,0,0,0,0,0,0,0,0,0,0,0,0,3.463529193,0,3.232328362,0,Good
2000,3.967471028,4.43859108,4.71199049,5.043947856,6.316824429,4.762849736,0.40116135,0.43873372,0.557484058,2.948835902,2.72967284,4.14991944,4.520490051,4.976229589,2.725640526,5.637350212,-0.622745959,-0.624795865,-0.167573499,0.691282584,0,0,0,1,1,0,0,0,0,0,2,0,10.85500068,0,26.04779429,0,Good
2031,9.485926924,15.45873463,19.29485262,23.41647801,57.14169716,19.95567804,5.582091678,5.898925207,0.832809764,4.207988178,7.305345479,21.44216786,28.23020677,35.83107187,10.11017933,46.48821942,4.111344519,3.520167171,0.109486922,0.806258141,0,0,0,0,0,0,0,0,0,0,0,0,4.131422263,0,7.728353662,0,Good
2032,9.076903161,15.28033896,19.17786753,24.46521901,52.28405891,20.2635986,6.02877108,6.481775146,0.839875958,3.909466613,6.978011577,21.13405057,28.01887977,37.81027603,9.669920096,47.51103981,4.485993251,3.857519518,0.116401945,0.785385631,0,0,0,0,0,0,0,0,0,0,0,0,0.936788296,0,2.771467025,0,Good
2033,15.51375866,18.80185234,21.22260504,26.45065214,47.34556721,23.76999495,6.871740144,4.564282755,1.409480635,4.289047384,11.99285672,27.34138086,31.748625,41.60344583,9.196387237,59.58507248,5.185654766,2.706941061,0.649635563,0.811448382,0,0,0,0,0,0,0,0,0,0,0,0,5.446526303,0,4.367135071,0,Good
2034,13.78530622,18.18725691,20.68781677,26.97914015,55.81895266,23.29057084,7.577613468,5.790573304,1.520759062,5.340161538,10.67124831,26.23985447,30.76588555,42.62293991,9.992595614,57.88929473,5.764901966,3.456372132,0.749215232,0.86509784,0,0,0,0,0,0,0,0,0,0,0,0,7.207524903,0,6.943530546,0,Good
2241,8.244688396,18.3033882,23.12094237,30.39095063,164.9327014,25.98092832,11.75412656,8.551202908,2.638331869,17.51077792,6.307358334,26.44743156,35.27649231,49.29830479,16.7691571,67.5806491,9.096610494,4.988790854,1.692806928,1.02662553,0,0,0,0,1,0,0,0,1,0,2,0,37.39930572,0,21.88429865,0,Good
2242,9.251722627,19.36954939,26.17538689,33.98556882,96.59077622,28.90301362,13.15635439,10.63187092,1.619541377,6.231738518,7.118092993,28.3652765,41.07404429,56.49538146,13.05658517,78.57095386,10.18631469,6.045501637,0.836582987,0.897014797,0,0,0,0,0,0,0,0,0,0,0,0,9.335505371,0,10.7840485,0,Good
2243,5.921696088,18.89928935,22.78296289,25.89541626,98.63892141,23.49713893,9.216359169,5.122767865,2.224533179,13.05910279,4.396445805,27.51668361,34.64400236,40.5367342,13.18770213,58.6182546,7.089778058,3.054901707,1.353713212,1.00110027,0,0,0,0,0,0,0,0,0,0,0,0,20.24571574,0,18.77059454,0,Good
2244,7.708875487,20.9515972,27.66144038,32.15184288,45.11757158,26.64343233,7.45794542,7.751258741,-0.243500552,2.282610638,5.872007496,31.24998772,43.9450596,52.80382969,8.973034382,70.03111407,5.667095008,4.562461982,-1.16573408,0.58246038,0,0,0,0,0,0,0,0,1,0,1,0,29.27996577,0,23.99574057,0,Good
2631,18.12066162,24.25175815,27.50333047,31.13716676,61.52379426,30.21121803,9.032186704,5.02246755,1.458266912,4.22819947,13.95891955,37.40602784,43.63809707,50.7790204,10.4884478,83.64006627,6.942137497,2.993283404,0.693449718,0.807569965,0,0,0,0,0,0,0,0,0,0,0,0,8.820897635,0,7.590966551,0,Good
2632,14.65186744,21.6482985,26.37966955,34.78233333,68.49919273,29.74961518,11.64608468,8.955069123,1.06765195,3.358201204,11.33578812,32.53444372,41.46682327,58.11197033,11.05857944,81.84118492,9.012126714,5.199453997,0.33495755,0.737636186,0,0,0,0,0,0,0,0,0,0,0,0,5.893495695,0,6.035967529,0,Good
2633,12.20593006,18.16766627,20.54615504,24.12986556,44.71524941,21.95233634,5.830556233,4.330103967,1.181426903,4.195276558,9.449067894,26.20486355,30.5064094,37.17550851,8.932001471,53.22994593,4.320097447,2.557278897,0.441298736,0.805426937,0,0,0,0,0,0,0,0,0,0,0,0,3.184093172,0,3.169535293,0,Good
2634,13.33458165,16.0524381,17.64086108,22.20292511,36.08531772,19.43120417,4.70914975,3.296258333,1.102094301,3.308923485,10.32396201,22.47267829,25.26678582,33.56290794,7.992336782,44.76059468,3.370206667,1.864559836,0.367332865,0.732634158,0,0,0,0,0,0,0,0,0,0,0,0,6.968197496,0,5.548253911,0,Good
2731,10.8985808,15.17341901,18.93603264,22.44394548,36.87016794,19.23666448,4.973310802,5.339922022,0.518754242,2.736198013,8.425420314,20.94972703,27.58283691,34.01145253,8.083030676,44.12447934,3.59582747,3.187083426,-0.207912061,0.662030071,0,0,0,0,0,0,0,0,0,0,0,0,3.230484552,0,5.118820537,0,Good
2732,11.45058212,15.54406522,18.98159001,22.43745764,42.04590112,19.69260934,5.484521572,5.117559209,0.936645487,3.709040118,8.859052834,21.5897993,27.6648949,33.99936585,8.653970063,45.61936666,4.029116672,3.051710794,0.210248978,0.769586416,0,0,0,0,0,0,0,0,0,0,0,0,1.867733626,0,2.748518602,0,Good
2733,11.86562921,15.69614704,19.6285757,22.42123803,40.1931963,20.04115074,5.578286635,5.11258624,0.999627795,3.901171591,9.183719051,21.85331944,28.83446366,33.96915216,8.454713562,46.77150572,4.108140503,3.048663356,0.270522553,0.784762369,0,0,0,0,0,0,0,0,0,0,0,0,4.825040803,0,5.815832297,0,Good
2734,11.95303946,16.31980686,18.40399209,21.77017725,37.74969032,19.47326209,4.251358998,3.65698693,1.331000286,5.104898444,9.251948788,22.93927152,26.62746757,32.76000099,8.183298571,44.89845381,2.976151028,2.112799882,0.578616566,0.854917029,0,0,0,0,0,0,0,0,0,0,0,0,4.041362422,0,3.894018799,0,Good
3000,7.33257797,9.619161906,11.19461427,13.57246956,22.42516856,11.77149969,2.751645754,2.677124296,0.782304834,3.157061621,5.564461302,11.77284468,14.28937981,18.22168652,6.174297143,21.82999991,1.651951718,1.418402372,0.059802003,0.716287844,0,0,0,0,0,0,0,0,0,0,0,0,3.230162454,0,3.852189487,0,Good
3681,5.43596487,10.22695653,14.41682767,21.5754046,47.58845779,16.29536955,7.410758187,7.438391868,0.891572671,3.320019872,3.988140806,12.73462327,19.65291357,32.39966245,9.220352157,34.82935118,5.628484965,4.392168092,0.166731012,0.733772822,0,0,0,0,0,0,0,0,0,0,0,0,7.847106901,0,7.441168934,0,Good
3682,5.81664706,11.50855485,14.87652644,20.83370055,44.4019971,16.45954751,6.268889717,6.123215009,0.841170813,3.1994306,4.308435202,14.79971621,20.43926795,31.0334667,8.899899176,35.33170886,4.686232705,3.651119172,0.117668149,0.720996635,0,0,0,0,0,0,0,0,0,0,0,0,4.219246417,0,5.620563511,0,Good
3683,4.560396932,13.66262226,17.46985343,23.60753767,81.12184612,20.9470531,11.9309517,6.852258552,1.816877871,6.603880911,3.242602634,18.3736707,24.96346851,36.19034667,12.0075855,49.80347265,9.23471249,4.067216194,1.008458958,0.907904337,0,0,0,0,0,0,0,0,0,0,0,0,10.96401303,0,8.066096194,0,Good
3684,3.729194774,12.74788311,18.55675307,26.50602008,71.39290685,20.49833832,9.721143259,9.691864639,0.99361138,4.152010451,2.521434289,16.84105695,26.90121774,41.7100653,11.28484968,48.29496737,7.492942337,5.576595093,0.264791005,0.802561576,0,0,0,0,0,0,0,0,0,0,0,0,8.590273882,0,7.183389527,0,Good
4000,7.221568138,9.605338388,11.14671883,12.97124166,25.87201482,11.5082987,2.527148107,2.471579736,1.084476379,5.290068535,5.47343514,11.75110848,14.2117712,17.21331746,6.684850868,21.12746973,1.448211987,1.263627667,0.35079272,0.863002223,0,0,0,0,0,0,0,0,0,0,0,0,5.943711342,0,6.170058464,0,Good
4001,11.864127,22.64162543,26.81879349,32.84703651,51.48715212,28.47495196,8.452273068,7.171092383,0.593950376,2.75506607,9.182546029,34.38005983,42.31319304,54.19852593,9.595381108,76.93190681,6.475252563,4.244967937,-0.129933272,0.664798998,0,0,0,0,0,0,0,0,0,0,0,0,6.432341951,0,8.198819329,0,Good
4002,10.83919782,22.89787802,26.79910719,35.50155058,64.50331389,29.43592694,9.799635398,8.085575419,0.665605706,2.859299874,8.37864211,34.85884374,42.27518984,59.57759927,10.7364895,80.62507732,7.555442274,4.742168015,-0.05687087,0.679469052,0,0,0,0,0,0,0,0,0,0,0,0,15.03022408,0,15.90726729,0,Good
4003,11.67725781,22.33242846,25.5191425,30.88732653,60.27949151,26.98490833,6.88731939,5.869554991,0.968148564,4.240771741,9.036510682,33.80379636,39.81643234,50.28246373,10.3827281,71.30375305,5.198501436,3.502909664,0.240473352,0.80837998,0,0,0,0,0,0,0,0,0,0,0,0,6.361593935,0,7.75948318,0,Good
4004,14.82854989,22.8610584,29.38840828,36.04084812,63.21179573,30.26441869,8.675949237,9.770356873,0.577613472,2.811642917,11.47079108,34.78998351,47.32040755,60.68049505,10.62983474,83.84810165,6.655700883,5.616256219,-0.146756352,0.672889952,0,0,0,0,0,0,0,0,0,0,0,0,7.792252142,0,7.583704443,0,Good
