x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,0.479306641,2.471190452,2.987490891,3.875247864,8.756202612
2,0.535822315,2.533052054,3.401588484,3.84893783,6.257995326
3,0.491253728,2.566843913,3.003304303,3.90384833,7.978198996
4,0.547667547,2.48276196,3.039070545,3.663195107,5.463651426
5,0.487564871,2.124083955,2.69996286,4.112899193,8.694662777
6,0.570501218,2.21900742,3.113497065,3.972375214,5.874830447
7,0.476683032,2.479173141,3.034658698,3.85349979,9.134566387
8,0.540826831,2.393473487,3.210248205,3.89965146,6.102589446
9,0.507604285,2.35614792,3.137184195,4.031630474,9.254269999
10,0.549008263,2.315112202,3.183612926,3.83163144,5.531615589
11,0.466313727,2.412542318,3.007242088,3.811249397,8.698390775
12,0.545175593,2.461368042,3.386666115,3.925503927,5.564236778
13,0.49551131,2.49241313,3.008511194,4.045029471,7.995151934
14,0.530905717,2.410650149,3.205321896,3.838078897,5.045803537
15,0.44734134,2.255378563,2.992857903,4.233902703,8.796033032
16,0.548709519,2.36096637,3.309570915,3.98382033,5.996830858
17,0.491114808,2.474821896,3.251282088,3.821045861,9.109139071
18,0.56137878,2.625332483,3.240573306,3.824342978,5.936463686
19,0.45596088,2.339145278,3.091058655,3.851941207,8.744574699
20,0.540277973,2.251170574,3.212979525,3.760707563,5.570000993
21,0.492121938,2.420824492,2.840358408,3.826457166,8.804469619
22,0.595133135,2.301829163,3.275401433,3.820925771,5.521343247
23,0.45997917,2.333931159,3.143188354,4.117250624,8.096805765
24,0.54309002,2.348771985,3.324032937,3.993510974,5.044217363
25,0.475097391,2.093620046,2.830027652,3.975401386,8.933424388
26,0.556356621,2.334675424,3.180065805,4.118141851,5.752068113
27,0.485046823,2.332903717,3.071869364,3.57653584,9.008781239
28,0.571154304,2.693698875,3.176451688,3.807353865,5.345984284
29,0.451186018,2.335596675,3.050931345,3.846445579,8.829122885
30,0.553774525,2.403876743,3.074226698,3.808495467,5.476971105
31,0.457782254,2.376366878,2.942923935,3.906335948,8.758181083
32,0.56694194,2.273186442,3.11672172,3.824768855,6.113969602
33,0.464243276,2.378420279,2.994147765,4.027434716,8.254440883
34,0.574703351,2.536691535,3.315932752,3.920611532,5.291160701
35,0.461530267,2.277834764,2.87284514,3.897531157,8.999691419
36,0.548281047,2.336168402,3.187786445,3.922736969,5.381687546
37,0.497826242,2.46934443,3.028682708,3.61645781,8.984095653
38,0.57800777,2.529400664,3.220021875,3.817516347,5.317383181
39,0.467894031,2.47258317,3.11383065,3.814949039,8.690610683
40,0.561220142,2.539189716,3.193644012,3.934123578,5.554185802
41,0.482251529,2.180801745,3.12635862,3.73585548,8.593894903
42,0.602254656,2.254439799,3.051534022,3.784623754,6.00131092
43,0.439633599,2.328886613,2.988203391,3.997254539,8.712082556
44,0.570994331,2.600207972,3.268577025,3.982277499,4.90017536
45,0.451477794,2.368682562,2.892272018,3.82948167,9.223454781
46,0.526266216,2.386281765,3.167909968,3.856752244,4.929352187
47,0.480396945,2.422280405,3.19233432,3.739599045,8.94564709
48,0.545098646,2.421277241,3.144112755,3.929635007,5.440736954
49,0.454294437,2.29539579,3.130991745,4.091495082,8.418899941
50,0.543018559,2.488896218,3.216982545,3.788684039,5.568416909
51,0.462665938,2.345930582,3.018199244,3.988953833,8.718029342
52,0.57462166,2.219485929,3.082816066,3.738620529,5.865421645
53,0.483630643,2.356409228,2.9822499,3.914779781,8.705682498
54,0.538150442,2.534968013,3.27937406,3.913919243,5.063497093
55,0.462539621,2.261976504,3.009896684,3.897489644,9.134103045
56,0.564619596,2.470237697,3.240926535,4.080437832,5.280147207
57,0.496601911,2.509440606,3.019211859,3.917121121,8.949114892
58,0.530522168,2.290422779,3.24793182,3.9718854,5.883408993
59,0.480351725,2.464644755,2.985326295,4.05825797,8.446005998
60,0.552694006,2.523537055,3.288692201,4.123495149,5.659666269
61,0.486986657,2.238559208,2.90582187,4.069861168,8.85055817
62,0.547662803,2.305735814,3.03251004,3.908248872,6.013018448
63,0.530165603,2.55191969,3.00719761,3.653004827,8.738416231
64,0.494648882,2.488636763,3.28781376,3.860671868,5.10551116
65,0.477913738,2.354875108,3.105906153,3.970558288,9.075285797
66,0.533880998,2.545664972,3.089627205,4.154578785,5.763725797
67,0.519428465,2.444009576,2.913286761,4.140128995,8.845654616
68,0.543465266,2.291602929,3.1994508,3.818447234,5.586964398
69,0.469411768,2.469049949,3.066835566,3.968790473,8.101551019
70,0.51963425,2.46142086,3.21961416,3.689468633,5.429901075
71,0.484329838,2.33983932,2.793611289,4.028972913,8.841107156
72,0.512999467,2.37645954,3.146749559,3.765933172,5.939184064
73,0.512709174,2.448995374,3.166338412,3.755238992,8.494661075
74,0.515026774,2.577277339,3.102251544,3.917861124,4.921265745
75,0.498281252,2.19206098,2.943470644,4.006754299,9.003073674
76,0.501272842,2.34510255,3.218550395,3.960885805,5.779009045
77,0.49185937,2.348401335,2.97046323,4.173477858,8.692481576
78,0.500570386,2.235556943,3.272581898,3.7709931,5.525270388
79,0.470933212,2.448060039,2.852888602,3.929064761,8.167218339
80,0.507838981,2.35711161,3.25104528,3.7391172,4.844933684
81,0.545564776,2.460856545,2.9608949,4.133032901,8.868538547
82,0.502457143,2.380267227,3.048514707,3.999113349,5.29048686
83,0.508798965,2.32843442,3.186558852,3.788524845,8.906047882
84,0.522968766,2.391927691,3.10582461,3.859291196,4.781311908
85,0.49236716,2.134802782,3.138109708,4.086997615,8.600159333
86,0.50837331,2.50122033,3.228429329,3.941178901,5.144452094
87,0.55118082,2.37863192,3.087574545,3.998107034,9.265427602
88,0.505766603,2.365981265,2.929877055,3.91302618,5.704073045
89,0.508696072,2.488914935,2.994966902,4.012763647,7.773781814
90,0.481036538,2.371455765,3.232431978,3.87255398,4.651489966
91,0.558394158,2.250697995,2.961830792,3.933356333,9.197552543
92,0.491270185,2.297640818,3.251643138,4.151641384,5.386601994
93,0.540072188,2.431934726,3.159900221,3.934486815,8.636632168
94,0.508337283,2.372306963,3.182983117,3.783799058,5.313155369
95,0.508165301,2.337012002,3.02027859,3.954483568,8.506817802
96,0.496903027,2.481113865,3.204083925,3.645287153,5.449856575
97,0.518014806,2.177175861,3.002159365,3.868361187,8.841248181
98,0.482514542,2.289352342,3.047358279,3.813649355,5.833960587
99,0.533343408,2.499830578,3.022758239,3.970804955,7.97120105
100,0.478415301,2.442522065,3.139887345,3.908013139,5.027445895
101,0.549580101,2.252606843,3.057969989,3.816886983,8.917081614
102,0.521176006,2.284708654,3.165477021,4.039288103,5.605382797
103,0.545830013,2.440038988,3.10878981,3.64964229,8.58410915
104,0.508400175,2.365080585,3.095186955,3.880850424,5.532993562
105,0.536339594,2.508670395,3.005773944,4.034710575,8.260739709
106,0.522012696,2.586420719,3.134401725,3.566798309,5.658537121
107,0.566152145,2.19328431,2.784804645,3.939401634,8.994353762
108,0.500503966,2.309217885,3.139590825,3.910637341,5.861343457
109,0.524427051,2.38283472,3.048674828,3.848051235,8.081929846
