id,min,quantile_25,median,quantile_75,max,mean,sd,mad,skness,kurtos,min_bc,quantile_25_bc,median_bc,quantile_75_bc,max_bc,mean_bc,sd_bc,mad_bc,skness_bc,kurtos_bc,min_op,quantile_25_op,median_op,quantile_75_op,max_op,mean_op,sd_op,mad_op,skness_op,kurtos_op,op_sum,Missing_Vals,m,m_rob,m_bc,m_bc_rob,Grade
1000,1.511080005,2.30350691,2.60062866,2.995816617,4.83275709,2.711848183,0.640578341,0.512946512,0.858288688,3.559623938,0.468448104,1.186809777,1.290635873,1.461685495,3.158247667,1.443450298,-0.407965179,-0.62323137,0.411288334,1.192359331,0,0,0,0,0,0,0,0,0,0,0,0,3.803079041,0,2.970448678,0,Good
1161,1.362939354,2.083534845,2.33072133,2.623116922,5.21830722,2.414199151,0.518135122,0.389215308,1.273617183,5.573454083,0.340274626,0.998798937,1.102460881,1.23920788,3.437418483,1.218972197,-0.57816003,-0.857801902,0.76950697,1.578536761,0,0,0,0,0,0,0,0,0,1,1,0,17.6895486,0,9.776117457,0,Good
1162,1.353358793,2.021525471,2.275666091,2.582355615,5.092693935,2.340369859,0.471980192,0.404476186,1.020899375,4.885527794,0.331798206,0.945095337,1.063026751,1.213941888,3.346931943,1.162033022,-0.648560531,-0.825897832,0.554823802,1.46686039,0,0,0,0,0,0,0,0,0,0,0,0,11.02793866,0,8.869100359,0,Good
1163,1.114930026,1.85510325,2.103767887,2.395112501,4.09760988,2.138101806,0.409796683,0.398355019,0.452876727,3.605971898,0.112420867,0.799295008,0.937372083,1.095230202,2.613087095,1.003194819,-0.75028472,-0.838577281,0.029862836,1.203745905,0,0,0,0,0,0,0,0,0,0,0,0,3.053506939,0,3.222775943,0,Good
1164,0.98689269,1.726005855,2.156923545,2.578641961,3.756181926,2.174448489,0.542514862,0.632347454,0.211332494,2.294725004,-0.013141882,0.684389048,0.976652472,1.211630092,2.353357135,1.032058753,-0.542486956,-0.436496266,-0.218963623,0.797052697,0,0,0,0,0,0,0,0,0,0,0,0,2.934538295,0,6.308568601,0,Good
1491,1.846650206,2.448467939,2.804877566,3.440245426,5.401912404,3.077696927,0.816308776,0.657055228,1.001623604,3.004607631,0.741461142,1.308736418,1.427880418,1.709579721,3.568901431,1.709479991,-0.194942333,-0.401433479,0.538046334,1.041790322,0,0,0,0,0,0,0,0,0,0,0,0,6.438883025,0,4.072176562,0,Good
1492,1.56999927,2.565534591,3.162310558,3.624995918,4.425598065,3.070733151,0.634513033,0.742629017,-0.388719889,1.966854366,0.518016286,1.40614826,1.658791282,1.807884409,2.858540646,1.704508066,-0.415911163,-0.28760952,-0.984495004,0.654064498,0,0,0,0,0,0,0,0,0,0,0,0,9.395565596,0,6.857272201,0,Good
1493,2.28411061,3.07125464,3.46725395,3.913564549,6.431111085,3.647182206,0.850298164,0.625519598,1.180316537,3.851189897,1.06909984,1.817345335,1.847643918,1.956546246,4.290370676,2.105474442,-0.157020411,-0.446378422,0.691339448,1.26142724,0,0,0,0,0,0,0,0,0,0,0,0,6.093699519,0,6.242985502,0,Good
1494,1.795404137,3.506271349,4.021197825,4.507287842,5.983233934,3.903084394,0.884423504,0.739271965,-0.515563044,2.70982388,0.701139147,2.160251678,2.174489931,2.246074819,3.979483531,2.277275864,-0.119851144,-0.291871964,-1.225619708,0.948805585,0,0,0,0,0,0,0,0,0,0,0,0,16.34331898,0,17.68439005,0,Good
1611,3.483301983,4.991566716,6.7020933,9.528091986,12.07273767,7.178033561,2.41910802,3.172369495,0.181164925,1.488404472,1.857394403,3.273759593,3.552185937,4.173521519,7.919689375,4.248257398,1.059607501,1.299036616,-0.251549933,0.389900077,0,0,1,1,1,1,1,1,0,0,4,0,36.33530194,0,33.87648183,0,tbd
1612,4.45069107,6.539735998,7.520907335,8.349250781,10.57895145,7.441467978,1.214971745,1.325664784,-0.055981869,2.380352798,2.415636179,4.365108938,3.925896426,3.779014027,7.000193077,4.393305119,0.202504837,0.29081096,-0.52332134,0.830706653,0,1,1,1,1,1,0,0,0,0,4,0,17.86768589,0,27.60034383,0,Good
1613,2.84407158,3.77996561,4.275603423,4.9422471,6.179484213,4.341741194,0.688823079,0.833039182,0.132650249,2.019321686,1.453753408,2.371598419,2.318506517,2.446233057,4.116261036,2.564128872,-0.346310531,-0.178221068,-0.304784089,0.678636397,0,0,0,0,0,0,0,0,0,0,0,0,4.202649859,0,4.898195772,0,Good
1614,3.09285186,4.076775458,4.397206275,4.880411375,6.61995726,4.553111919,0.696392297,0.562325792,0.8221678,3.164467534,1.614771469,2.597365502,2.386130353,2.418330624,4.420144953,2.69922041,-0.336875123,-0.542186126,0.378755635,1.088107574,0,0,0,0,0,0,0,0,0,0,0,0,5.940792526,0,7.085576515,0,Good
1821,2.34784536,3.757675646,6.148127223,8.513747104,9.685521867,6.076539282,2.425609554,3.513491414,-0.093849718,1.264599683,1.11465003,2.354503446,3.28891294,3.835665208,6.437912536,3.623405712,1.063431104,1.42898632,-0.569884972,0.232021542,0,0,0,1,1,1,1,1,0,1,4,0,22.86613638,0,22.51206949,0,Good
