x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,3.139364,65.47875,106.09,122.4125,131.7272
2,3.069284,72.8975,113.48,125.5725,133.1274
3,3.01942,64.375,109.84,121.6525,134.8064
4,3.159312,58.0765,114.035,122.7175,135.7986
5,2.808502,54.01625,104.455,123.8425,132.4068
6,2.90017,55.32675,119.105,122.35,134.9304
7,3.234812,54.826,110.28,123.6375,134.875
8,2.956528,59.2645,115.005,121.4125,129.2782
9,3.195354,54.52075,116.55,120.1775,135.2576
10,3.097364,66.062,113.6,118.9575,138.7982
11,3.221162,76.76625,110.915,124.92,132.6118
12,3.513168,67.0355,110.505,120.6575,128.9842
13,2.772214,59.04925,99.2315,121.6925,133.099
14,3.18461,51.93125,115.4,122.9025,135.6982
15,2.804684,49.91475,113.005,124.3625,136.2526
16,2.98532,67.8335,110.825,119.735,132.2896
17,3.50706,57.45975,109.19,118.3725,134.5398
18,3.112892,67.787,115.885,120.55,132.69
19,2.671636,54.66975,104.4785,120.895,128.5898
20,3.509562,61.425,112.55,122.46,127.8692
21,3.115232,77.1675,116.845,122.8175,134.7616
22,3.336132,65.13325,115.005,123.0525,131.9834
23,2.892594,60.30175,98.0485,121.655,131.751
24,2.981926,49.00875,110.895,121.2425,130.3014
25,2.972406,57.265,117.33,121.82,134.2524
26,3.095998,63.683,116.55,123.6875,131.3922
27,2.825022,63.069,109.655,118.7075,131.5286
28,2.905264,55.8235,115.67,121.735,128.2854
29,2.84904,52.3605,101.98,120.98,131.5874
30,3.40345,66.46275,108.335,122.1175,130.707
31,3.025188,69.98475,111.695,123.5725,134.7226
32,3.703274,65.494,116.79,124.9375,133.3476
33,2.78553,58.302,104.505,124.115,135.5766
34,3.49498,49.8685,113.465,120.54,132.4824
35,2.927082,53.56125,116.1,120.94,137.7526
36,3.569862,57.2385,107.51,120.61,135.2452
37,2.785254,66.80425,108.345,119.645,131.8226
38,3.47353,63.398,117.67,122.255,132.8778
39,2.964628,57.57225,102.925,119.9775,133.2642
40,3.312678,68.0045,102.91,119.4725,135.5646
41,2.590494,59.0635,108.265,125.5425,139.7156
42,3.754776,77.32475,108.83,121.4575,141.6528
43,3.099098,59.78325,91.3485,122.73,133.3872
44,3.200414,52.894,112.04,120.4175,133.945
45,2.73866,52.7215,113.3,122.2125,132.028
46,3.297348,52.95925,109.75,122.66,131.8966
47,3.133348,70.63375,107.02,120.0125,131.2772
48,3.100508,59.59,113.345,126.155,138.4528
49,3.054468,60.5185,101.367,126.2325,135.426
50,3.15678,58.4055,112.625,122.6225,131.2024
51,2.6594,58.99975,118.15,126.31,138.7746
52,3.12091,80.7215,115.76,124.29,132.9424
53,3.50003,59.87075,111.82,122.5575,128.9508
54,3.268532,53.11125,115.775,121.7775,130.7162
55,2.913358,56.72925,113.805,121.0425,131.776
56,3.213964,55.64725,109.705,121.425,135.9036
57,3.083962,75.34725,111.53,120.5225,138.8404
58,3.13234,64.968,113.81,125.65,137.4422
59,3.042716,58.05475,101.985,124.57,137.3586
60,3.947908,59.75975,112.445,121.835,131.2374
61,2.885708,58.66875,116.9,123.9525,138.92
62,3.337808,68.57325,111.78,124.6125,131.048
63,3.21326,64.9795,110.025,120.2125,136.4272
64,3.562822,58.366,114.34,122.14,131.399
65,3.344668,53.25625,115.755,122.155,136.3884
66,3.638146,71.76125,115.83,122.425,132.431
67,3.159388,70.58975,116.165,121.3625,131.8384
68,3.15497,58.71275,113.17,121.66,127.2088
69,2.69164,59.46025,108.385,126.74,136.1892
70,3.233666,58.61675,110.59,120.28,132.3108
71,2.931448,59.555,114.205,122.095,135.4916
72,3.430058,68.02225,104.9,122.28,132.5412
73,3.077612,67.3135,108.665,122.7375,130.7412
74,3.534396,64.133,118.07,121.91,137.0588
75,2.86691,57.411,115.57,122.8175,130.2332
76,3.436922,66.30625,105.01,120.1625,130.8562
77,3.08396,76.0985,116.63,123.945,135.8822
78,3.209768,59.10775,110.66,119.9875,131.4868
79,2.979784,55.5685,114.81,122.0025,133.9958
80,3.447072,54.282,112.58,124.3575,133.787
81,2.837106,59.669,116.08,124.2725,133.2948
82,3.53,62.2035,114.71,124.0925,132.591
83,2.660486,63.58375,101.85,122.1675,135.2006
84,3.240852,68.5825,114.085,121.98,132.0146
85,2.776328,56.88175,110.25,123.95,131.9296
86,3.049418,74.0035,114.075,122.5175,133.2274
87,3.035898,66.02075,108.065,122.1425,134.1006
88,3.208116,81.3415,110.51,121.835,129.3216
89,3.283184,59.48025,107.17,122.5275,133.8706
90,3.6228,55.76,114.065,123.3975,133.177
91,3.308514,51.4535,111.64,123.63,130.4722
92,3.204394,74.9555,109.08,121.6225,134.3954
93,3.192934,57.448,109.85,122.9475,127.8754
94,3.606212,63.24025,115.265,123.905,136.9606
95,3.1119,59.24575,109.415,121.105,135.4444
96,3.404962,65.84625,104.62,120.915,133.3486
97,3.004362,59.5335,113.145,120.4525,141.4424
98,3.299654,67.87075,118.325,123.3125,131.6664
99,3.140138,57.7185,105.845,122.6875,137.0934
100,3.445472,55.189,113.81,121.96,133.0204
101,2.744002,48.63875,112.475,121.8425,130.206
102,3.300072,76.41475,101.38,122.9525,132.5542
103,2.891422,77.74825,115.51,122.4,132.9604
104,3.16322,53.9125,114.685,123.755,132.38
105,3.083348,53.88725,101.23,122.105,133.0054
106,3.038124,63.3985,106.84,119.715,134.656
107,3.035318,53.608,114.62,124.175,132.5164
108,3.49988,63.03425,116.335,122.0325,132.1974
109,2.894506,52.671,106.0375,120.3775,134.3708
110,3.86999,62.24925,111.535,120.61,135.822
111,2.882582,47.153,115.94,123.725,132.942
112,3.324416,64.597,115.105,123.5375,131.787
113,2.696672,78.76725,115.82,123.2125,138.4496
114,2.880828,53.527,116.27,121.5175,134.0596
115,2.673606,52.47825,98.2165,123.42,135.6118
116,3.350196,68.68125,105.73,119.4675,128.5342
117,2.495242,50.14175,118.125,124.45,137.3684
118,3.598848,59.50375,112.655,122.0875,134.5136
119,2.96793,58.4475,108.11,117.9175,132.0686
120,3.180322,59.92025,117.78,122.6925,137.7592
121,2.700768,46.05525,113.865,120.23,132.2222
122,3.171638,54.968,104.395,122.4,134.1088
123,3.100654,80.562,110.225,124.3,132.1312
124,3.096134,49.80775,116.69,125.355,130.6832
125,2.710958,57.11375,108.895,120.15,129.1142
126,3.498634,54.0905,109.965,120.655,137.7444
127,2.701488,58.44925,114.18,124.365,135.1916
128,3.597278,59.17375,111.89,121.1475,129.696
129,2.888882,60.93125,110.945,122.87,133.946
130,3.202674,63.11525,115.845,122.24,139.676
131,2.787826,53.86275,112.465,123.055,133.2262
132,2.877922,61.30675,115.88,120.8575,133.4596
133,2.723868,58.3835,114.345,122.1175,140.5108
134,3.051458,61.31175,113.9,123.1525,131.5374
135,2.88763,56.15025,107.895,122.5175,134.5714
136,3.46719,60.7875,114.38,123.1275,135.502
137,2.605328,54.2675,115.59,122.56,130.9776
138,3.469278,64.63025,108.78,119.69,135.13
