id,min,quantile_25,median,quantile_75,max,mean,sd,mad,skness,kurtos,min_bc,quantile_25_bc,median_bc,quantile_75_bc,max_bc,mean_bc,sd_bc,mad_bc,skness_bc,kurtos_bc,min_op,quantile_25_op,median_op,quantile_75_op,max_op,mean_op,sd_op,mad_op,skness_op,kurtos_op,op_sum,Missing_Vals,m,m_rob,m_bc,m_bc_rob,Grade
1000,37.158,94.93975,107.3,116.9025,147.95,104.8245923,15.2850563,15.5813847,-0.614881237,3.195431636,12.91745061,195.8449706,740.3164691,1926.277867,10944.10125,714.8232436,8.207253258,8.338080391,0.792952994,0.756500873,0,0,0,0,0,0,0,0,0,0,0,0,6.052322856,0,5.28103407,0,Good
1161,12.418,28.6295,34.295,41.57075,80.467,35.77157676,10.36431951,9.3455691,0.644175342,3.252652917,5.889120967,45.83209645,133.2254329,331.681236,3236.969045,141.9649703,5.912856085,5.400450618,2.052009572,0.763458562,0,0,1,1,1,0,0,0,0,0,3,0,8.375940341,0,9.994414958,0,Good
1162,14.753,28.2115,34.9615,42.6025,73.601,36.13637878,9.97118131,10.511634,0.558438423,2.9166192,6.712039397,45.01569832,137.1474885,345.8220062,2708.053601,144.1523805,5.716796384,5.986238814,1.966272654,0.719107942,0,0,1,1,1,0,0,0,0,0,3,0,4.886197364,0,10.06413453,0,Good
1163,24.314,44.68675,55.4065,71.88725,109.88,58.70516569,17.93430262,18.8201244,0.384627348,2.217136019,9.640729204,78.78870259,274.2808594,842.4732671,6036.3072,299.1965657,9.348012254,9.71832217,1.792461578,0.588886321,0,0,1,1,0,0,0,0,0,0,2,0,4.97499026,0,5.94023078,0,Good
1164,14.525,35.518,50.784,70.88575,109.88,53.22947903,21.91670413,25.241265,0.242968854,2.059767054,6.634104361,59.61119005,240.6009858,822.6040173,6036.3072,258.2363224,10.97208375,12.26106093,1.650803084,0.54877801,0,0,1,1,0,0,0,0,0,0,2,0,12.82121337,0,9.458634629,0,Good
1491,58.534,111.695,119.215,123.43,137.57,115.3202093,12.95795603,7.435239,-1.630115666,5.597381391,17.48884123,238.2004211,867.1042599,2112.736897,9462.25245,824.9279908,7.155187485,4.390441172,-0.222281436,0.93484653,0,0,0,0,0,0,0,0,0,0,0,0,5.043323415,0,5.066945997,0,Good
1492,68.403,113.7725,119.22,123.5825,137.09,117.5689128,9.199142576,6.827373,-1.313238628,5.281248299,19.36597579,243.5454596,867.1588533,2117.177604,9396.33405,849.1935387,5.324869491,4.053239161,0.094595603,0.919842822,0,0,0,0,0,0,0,0,0,0,0,0,3.641795424,0,4.439994652,0,Good
1493,59.673,101.2825,115.315,120.7725,144.41,110.1255092,15.29550929,11.816322,-0.897336561,3.071277536,17.71162431,211.7161478,824.8720501,2035.969724,10426.62405,769.7765493,8.211865539,6.619008681,0.510497669,0.740604901,0,0,0,0,0,0,0,0,0,0,0,0,6.289392471,0,7.949500966,0,Good
1494,65.017,106.9875,116.655,120.8325,144.28,112.8030872,12.29497791,8.591667,-1.072346216,3.843057703,18.73496514,226.1627696,839.3033385,2037.690025,10407.8592,798.0453521,6.845349898,5.01003008,0.335488014,0.82423644,0,0,0,0,0,0,0,0,0,0,0,0,8.10612962,0,8.22859727,0,Good
1611,62.774,101.45,120.215,126.67,143.71,113.7239996,17.63741059,13.298922,-0.792098381,2.50259936,18.309706,212.1380322,878.045687,2207.907111,10325.78205,807.8461868,9.222819821,7.313137178,0.61573585,0.649936861,0,0,0,0,0,0,0,0,0,0,0,0,5.313111311,0,7.172109174,0,Good
1612,67.457,117.6875,122.48,127.6325,143.66,120.0174849,13.14423042,7.457478,-1.657996256,5.983633,19.19096354,253.6709868,902.9963475,2236.510993,10318.5978,875.8809698,7.241378207,4.402617453,-0.250162026,0.951229266,0,0,0,0,0,0,0,0,0,0,0,0,7.140200749,0,6.485766623,0,Good
1613,89.884,118.17,122.3,127.3625,144.22,122.5325742,7.565458519,6.627222,-0.281991604,3.773253951,23.11087324,254.9236122,901.0050073,2228.471754,10399.2042,903.5782527,4.461039936,3.940261533,1.125842627,0.817946841,0,0,0,0,0,0,0,0,0,0,0,0,3.171231976,0,3.528557208,0,Good
1614,92.717,118.22,122.65,127.6125,144.96,122.7242064,7.513977126,6.790308,-0.171171051,3.342720956,23.57653124,255.0534765,904.8784018,2235.915085,10506.2008,905.7003428,4.432956897,4.032393142,1.23666318,0.773974833,0,0,0,0,0,0,0,0,0,0,0,0,3.711368639,0,4.829371114,0,Good
1821,55.49,118.59,123.39,127.7925,147.97,121.4928012,11.37114697,6.879264,-2.179849301,9.946861309,16.88477156,256.0148136,913.0860629,2241.280608,10947.06045,892.0929952,6.405092767,4.082366658,-0.77201507,1.051042112,0,0,0,0,0,0,0,0,0,0,0,0,26.67620276,0,12.09734903,0,Good
1822,98.059,119.5,123.825,128.09,147.31,123.8023444,6.691121379,6.367767,-0.124499838,3.700818101,24.43938695,258.3817329,917.9223448,2250.160228,10849.61805,917.6702521,3.975874744,3.792272521,1.283334393,0.811194744,0,0,0,0,0,0,0,0,0,0,0,0,4.018934863,0,3.767503463,0,Good
1823,90.649,118.2575,121.93,126.9975,150.48,122.4825747,7.560894024,6.197268,0.029772521,4.129537018,23.23718725,255.150882,896.9162984,2217.622847,11321.6152,903.0248416,4.45855233,3.694037536,1.437606752,0.848034368,0,0,0,0,0,0,0,0,0,0,0,0,5.406370603,0,5.230584492,0,Good
