x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,-0.1977887,-0.099629125,-0.06735025,0.03716625,0.6234998
2,-0.267636,-0.17809,-0.0802495,0.007174525,0.1814973
3,-0.816138,-0.1566825,-0.04081375,0.030823,0.1480163
4,-1.1829177,-0.14114625,-0.07350675,-0.012823525,0.1763791
5,-1.6725057,-0.15677375,-0.069226,0.003701569,0.1455936
6,-1.9163717,-0.14033,-0.05922725,0.008685875,0.1773488
7,-2.1919669,-0.122255,-0.03942075,0.05867925,0.154861
8,-2.3722377,-0.12660875,-0.0299915,0.024447375,0.1751555
9,-2.5209754,-0.129845,-0.04645225,0.02874225,0.1486967
10,-2.7119668,-0.1856775,-0.1072265,0.028614625,0.1745358
11,-2.7433145,-0.15157875,-0.05970475,-0.003798688,0.1398951
12,-2.8865213,-0.1605525,-0.062785,0.046428625,0.1703281
13,-2.8776266,-0.138285,-0.0568515,0.040736625,0.1422214
14,-2.9240287,-0.130225,-0.0598515,0.021647625,0.1678939
15,-2.9550754,-0.12346375,-0.05669475,-0.014629363,0.139949
16,-3.0091565,-0.1447825,-0.072825,-0.023697,0.1574363
17,-2.9421437,-0.098632875,-0.04863275,0.021186125,0.142188
18,-2.9829561,-0.14043125,-0.02232525,0.035441,0.1594217
19,-2.9245478,-0.10852125,-0.035038,0.020800125,0.1460106
20,-2.7913508,-0.14590375,-0.082254,0.011484775,0.2092152
21,-2.8281618,-0.14526375,-0.06421875,0.0194955,0.1334543
22,-2.8607071,-0.1832725,-0.0731435,0.035919375,0.1575267
23,-2.6409769,-0.0861455,-0.02170875,0.05468875,0.1437101
24,-2.5779377,-0.11745125,-0.04522475,0.03999525,0.151296
25,-2.6491708,-0.15067875,-0.016264225,0.010428975,0.1423884
26,-2.5180774,-0.19502625,-0.05171575,0.005528763,0.1685082
27,-2.3812449,-0.11998375,-0.06299675,0.004961538,0.1292128
28,-2.3780918,-0.16963,-0.09480225,0.017206,0.1698783
29,-2.2587694,-0.12670125,-0.05896225,0.013419375,0.1447017
30,-2.275827,-0.12675125,-0.06039775,-0.006357075,0.1715341
31,-2.1115253,-0.12864375,-0.0286975,0.027454375,0.1354049
32,-2.1494313,-0.14821625,-0.08027375,-0.0020212,0.1726925
33,-1.9847539,-0.10351625,-0.040761,0.03930325,0.1339689
34,-1.9252398,-0.16707625,-0.06106825,0.022886375,0.1533145
35,-1.8952081,-0.1182425,-0.04802275,0.025166,0.1364472
36,-1.8670216,-0.1472625,-0.06709025,0.004724775,0.1642518
37,-1.9106001,-0.16128125,-0.01571925,0.021031125,0.1401848
38,-1.7240453,-0.18468625,-0.100796,0.005387475,0.174698
39,-1.581889,-0.11827375,-0.06558875,0.011730963,0.1760642
40,-1.4914905,-0.14672875,-0.064009,0.016542375,0.1622754
41,-1.5771913,-0.12713875,-0.0614965,0.02746425,0.1418415
42,-1.4106892,-0.126245,-0.017638,0.038682625,0.1650419
43,-1.3410504,-0.1415475,-0.06082975,0.0056437,0.1437593
44,-1.3121062,-0.14000125,-0.03084875,0.0357645,0.1597681
45,-1.3265123,-0.10188125,-0.0571285,0.029331125,0.1361769
46,-1.2695925,-0.125365,-0.067754,0.041199375,0.1754064
47,-1.2839465,-0.10249375,-0.0357625,0.0299765,0.1450158
48,-1.1829124,-0.20151625,-0.09771575,0.031816,0.1830496
49,-1.2391218,-0.14807875,-0.0688485,-0.0029306,0.1484947
50,-1.1021547,-0.13216,-0.069702,0.001606975,0.1760155
51,-1.1024205,-0.154015,-0.05174825,0.01284225,0.1576994
52,-0.9875966,-0.153535,-0.03113375,0.0251675,0.1662849
53,-1.0223724,-0.10839375,-0.04298425,0.026231,0.157029
54,-0.9658943,-0.14889375,-0.069656,-0.003773265,0.1873864
55,-0.9041029,-0.090563,-0.03985025,0.010162413,0.1405498
56,-0.8485898,-0.14211125,-0.0430375,0.010328513,0.1843156
57,-0.8222433,-0.12104875,-0.04892625,0.025817125,0.1378019
58,-0.8689205,-0.16677125,-0.0579265,0.030896,0.1866519
59,-0.8096214,-0.12356625,-0.0426965,0.009077225,0.1407517
60,-0.7920271,-0.150075,-0.1037745,0.0339255,0.1865083
61,-0.8359393,-0.13331375,-0.056456,0.019603,0.1771848
62,-0.6923729,-0.11026625,-0.030995,0.0336965,0.2049889
63,-0.6445983,-0.13219625,-0.07647825,-0.002742563,0.1271249
64,-0.6369926,-0.14098125,-0.07754525,0.02712225,0.1923158
65,-0.6524186,-0.1044975,-0.05695575,0.010795763,0.1313116
66,-0.6319706,-0.15065375,-0.05344925,0.013789925,0.1981708
67,-0.6751366,-0.11863875,-0.05563275,0.010346313,0.1336985
68,-0.5293151,-0.12773,-0.044149,0.012453,0.178454
69,-0.6669947,-0.098532875,-0.04434675,0.045066625,0.163055
70,-0.5564816,-0.1492425,-0.0561865,0.006818713,0.1756199
71,-0.4930505,-0.124235,-0.0750765,0.0097979,0.1479429
72,-0.5626258,-0.095602125,-0.059248,0.039149375,0.175235
73,-0.54239,-0.12527375,-0.0428215,0.017612138,0.1533484
74,-0.4289017,-0.11439125,-0.0728735,0.03530025,0.1804826
75,-0.5867771,-0.1052225,-0.050105,0.035065,0.1462724
76,-0.4856588,-0.13445125,-0.06386925,0.0360715,0.1784479
77,-0.4573775,-0.12607375,-0.0449835,0.0070498,0.1339897
78,-0.4902519,-0.12916125,-0.0556795,0.0467205,0.1898672
79,-0.5694855,-0.1620775,-0.06567275,0.015852038,0.1502263
80,-0.4782321,-0.1791675,-0.08385525,0.025089625,0.1763504
81,-0.4920507,-0.12994875,-0.0653795,-0.002489,0.1635903
82,-0.4554049,-0.17200125,-0.060357,0.004062175,0.184987
83,-0.5259704,-0.10615625,-0.04427425,0.03558475,0.1334995
84,-0.3548503,-0.13694,-0.04596275,0.027703,0.1652792
85,-0.5141564,-0.1291325,-0.0587845,0.038572125,0.1721977
86,-0.4119631,-0.17374125,-0.09099825,0.02253175,0.174113
87,-0.5269513,-0.12369875,-0.082366,0.006012763,0.1252765
