id,min,quantile_25,median,quantile_75,max,mean,sd,mad,skness,kurtos,min_bc,quantile_25_bc,median_bc,quantile_75_bc,max_bc,mean_bc,sd_bc,mad_bc,skness_bc,kurtos_bc,min_op,quantile_25_op,median_op,quantile_75_op,max_op,mean_op,sd_op,mad_op,skness_op,kurtos_op,op_sum,Missing_Vals,m,m_rob,m_bc,m_bc_rob,Grade
1000,-0.37569,-0.03503725,0.02111275,0.066496625,0.196335,0.012239032,0.076995079,0.074930604,-0.589515031,3.504219997,214.8935221,-0.846625616,-0.911151788,-0.988350723,-2.513683804,-0.408490644,-5.207730045,-0.855749332,29.27093324,0.56503672,0,0,0,0,0,0,0,0,0,0,0,0,4.339320719,0,2.478576381,0,Good
1161,-0.384515,-0.09709125,-0.04471775,0.0028387,0.176905,-0.050191475,0.075131283,0.072992735,-0.452056359,3.372294402,214.7103946,-0.950655671,-1.028942489,-1.111930031,-2.755103144,-0.452632155,-5.296584091,-0.857244904,30.34105821,0.559015059,0,0,0,0,0,0,0,0,0,0,0,0,2.736255804,0,0.822390225,0,Good
1162,-0.341705,-0.096845875,-0.04500575,0.001883318,0.14303,-0.050676101,0.07380595,0.071952691,-0.450574809,3.306807299,215.5994722,-0.950224785,-1.029489077,-1.113921647,-3.288304165,-0.452963911,-5.361804971,-0.858045962,30.35269509,0.555801425,0,0,0,0,0,0,0,0,0,0,0,0,2.717400461,0,0.901952544,0,Good
1163,-0.29957,-0.0233895,0.01901225,0.056256125,0.17039,0.014461223,0.056988348,0.058668706,-0.443978475,3.432794463,216.4763211,-0.828076213,-0.914716933,-1.007171912,-2.845158003,-0.406869193,-6.377934508,-0.868171571,30.40453289,0.561848384,0,0,0,0,0,0,0,0,0,0,0,0,2.066030497,0,4.989868357,0,Good
1164,-0.30071,-0.01577975,0.02510925,0.05828725,0.179575,0.017033508,0.061817141,0.054072275,-0.860570148,4.415716006,216.4525738,-0.816103911,-0.904399365,-1.003410619,-2.719620275,-0.404988069,-6.044064358,-0.871625228,27.21611587,0.594819931,0,0,0,0,0,0,0,0,0,0,0,0,13.12745573,0,8.955713204,0,Good
1491,-0.4062,-0.16869625,-0.1186525,-0.070372,0.093464,-0.122940892,0.072119463,0.072810486,-0.420538448,3.341610798,214.26074,-1.085012641,-1.18178676,-1.282519965,-4.541958937,-0.500461091,-5.447384125,-0.857385356,30.58909015,0.55752893,0,0,0,0,0,0,0,0,0,0,0,0,4.172698773,0,4.771089348,0,Good
1492,-0.39905,-0.1780775,-0.1245,-0.072801125,0.0705585,-0.127766779,0.074721097,0.078121159,-0.239714496,2.828839795,214.4089486,-1.104148893,-1.19522961,-1.28901844,-5.529312556,-0.503489133,-5.31658424,-0.853278699,32.03129248,0.52654793,0,0,0,0,1,0,0,0,0,0,1,0,4.732021704,0,7.185199532,0,Good
1493,-0.524795,-0.11546875,-0.05201425,0.001925111,0.216825,-0.061996209,0.094724494,0.085639794,-0.689931624,4.010602702,211.8099029,-0.983436458,-1.042888295,-1.113834422,-2.29512016,-0.460664223,-4.498286419,-0.847417711,28.50112665,0.583663573,0,0,0,0,0,0,0,0,0,0,0,0,3.849399849,0,2.964324743,0,Good
1494,-0.42696,-0.1247975,-0.05197375,0.009796425,0.217345,-0.061208968,0.101166723,0.098576962,-0.455361306,3.149187564,213.8307066,-1.000483479,-1.042810315,-1.097566752,-2.289979025,-0.460131768,-4.287980038,-0.837215211,30.31510728,0.547374768,0,0,0,0,0,0,0,0,0,0,0,0,3.263546761,0,2.419194536,0,Good
1611,-0.647575,-0.2608875,-0.1860475,-0.10597025,0.304715,-0.184830684,0.12360055,0.114427068,0.015264847,3.524661956,209.2873982,-1.298284336,-1.357487051,-1.387004681,-1.623123008,-0.53784961,-3.688788593,-0.824534653,34.12049832,0.565919571,0,0,0,0,0,0,0,0,0,0,0,0,22.53210427,0,25.04664494,0,Good
