x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,-133.9536,-119.795,-111.825,-67.9575,-8.604188
2,-134.6938,-126.515,-118.23,-75.5635,-8.91454
3,-134.9408,-127.535,-111.28,-59.7035,-8.050434
4,-129.7688,-120.8575,-102.785,-54.17425,-8.497036
5,-133.7226,-121.9625,-114.165,-62.56125,-8.858162
6,-136.9196,-122.11,-111.775,-72.85425,-8.698224
7,-134.2922,-122.0825,-111.495,-66.57075,-8.381328
8,-140.2768,-126.3225,-104.705,-64.184,-8.921584
9,-137.1122,-124.555,-113.105,-58.3945,-8.260812
10,-136.8948,-123.6725,-107.915,-57.5165,-8.85079
11,-132.8706,-123.3525,-115.885,-65.90575,-8.576458
12,-139.5708,-125.745,-115.17,-65.4795,-8.75433
13,-132.6338,-123.4225,-106.05,-61.779,-8.187558
14,-140.3732,-121.4,-111.495,-57.41825,-8.73297
15,-141.3528,-124.42,-114.24,-53.6225,-7.136894
16,-137.3928,-122.8875,-114.91,-66.669,-8.444022
17,-134.7894,-121.765,-109.17,-71.96175,-7.019618
18,-144.541,-124.405,-114.89,-62.13225,-8.535736
19,-143.6924,-122.91,-107.25,-56.65575,-8.048748
20,-129.4562,-125.125,-111.71,-54.9345,-9.06399
21,-137.618,-124.11,-111.405,-71.60575,-7.191246
22,-135.672,-125.2425,-116.385,-65.59125,-9.2429
23,-137.9086,-124,-104.6845,-62.39375,-7.170906
24,-142.691,-124.28,-112.81,-51.019,-9.010076
25,-142.5218,-124.405,-114.135,-58.79,-6.907826
26,-140.6532,-123.4675,-109.48,-71.141,-8.411672
27,-132.1046,-125.285,-103.08,-66.085,-6.85764
28,-134.6368,-122.84,-113.6,-54.40375,-9.208252
29,-140.5138,-122.4,-112.115,-53.371,-6.782442
30,-132.291,-122.46,-113.235,-60.72175,-8.599682
31,-135.2886,-120.015,-113.225,-64.19625,-7.019046
32,-135.9074,-123.5525,-114.215,-54.48175,-8.633776
33,-133.3694,-125.97,-111.525,-58.994,-6.718548
34,-137.861,-122.0525,-112.595,-43.612,-8.450236
35,-136.651,-124.4425,-116.48,-55.8665,-6.954408
36,-136.1712,-121.74,-106.935,-55.29475,-8.704314
37,-136.6214,-124.4175,-108.055,-61.3445,-6.793166
38,-141.4404,-124.7075,-118.655,-66.981,-8.8791
39,-136.6994,-122.13,-100.2565,-65.41875,-6.87329
40,-137.4728,-124.365,-106.84,-69.13725,-8.75316
41,-140.7304,-124.2575,-107.45,-59.72925,-6.997202
42,-142.1544,-126.95,-116.105,-70.86825,-8.267246
43,-137.733,-124.6475,-101.8735,-57.58225,-6.961868
44,-133.7996,-122.3775,-117.26,-56.48125,-8.375384
45,-133.7468,-126.4125,-115.51,-56.696,-6.865488
46,-134.351,-123.76,-107.895,-60.4065,-8.67105
47,-129.0142,-120.865,-108.5,-62.985,-7.185428
48,-136.9938,-123.4,-116,-62.5315,-8.3513
49,-135.6648,-123.255,-107.425,-65.15775,-7.083074
50,-133.9564,-123.0175,-110.075,-63.233,-8.682294
51,-136.5496,-123.5525,-113.15,-56.4155,-6.79885
52,-144.0968,-124.82,-113.09,-73.8785,-8.381458
