id,min,quantile_25,median,quantile_75,max,mean,sd,mad,skness,kurtos,min_bc,quantile_25_bc,median_bc,quantile_75_bc,max_bc,mean_bc,sd_bc,mad_bc,skness_bc,kurtos_bc,min_op,quantile_25_op,median_op,quantile_75_op,max_op,mean_op,sd_op,mad_op,skness_op,kurtos_op,op_sum,Missing_Vals,m,m_rob,m_bc,m_bc_rob,Grade
1000,-136.65,-114.6725,-103.785,-89.47675,-36.513,-100.9664237,16.58989424,17.909808,0.557197842,2.567065059,1.179305287,1.168134114,1.467051238,2.648402158,36.95983827,2.21005337,8.775946481,11.32193583,0.425942464,0.610450075,0,0,0,0,0,0,0,0,0,0,0,0,5.724068598,0,4.430049345,0,Good
1161,-80.447,-45.4315,-36.675,-29.07975,-13.736,-38.34659564,12.12329577,12.1921611,-0.593472992,2.953852464,1.216569479,1.218455917,1.562425695,3.024452622,46.37292338,2.496469573,6.764305868,7.992789504,-0.811980685,0.661459057,0,0,0,0,0,0,0,0,0,0,0,0,6.385144848,0,5.642521714,0,Good
1162,-81.739,-45.34175,-36.48,-29.30475,-16.279,-38.30575587,11.66458303,11.8378197,-0.692687002,3.125578299,1.216191005,1.218478679,1.562545702,3.023595481,45.34656795,2.496571902,6.5460562,7.777276362,-0.962478433,0.680059207,0,0,0,0,0,0,0,0,0,0,0,0,7.079505448,0,8.99646149,0,Good
1163,-117.3,-65.125,-50.4685,-42.08525,-22.836,-54.80923406,17.37114132,15.1484655,-0.804155025,3.015330165,1.199788847,1.212363302,1.552875143,2.97087481,42.67346399,2.450158998,9.110001553,9.745826063,-1.162944568,0.668361358,0,0,0,0,0,0,0,0,0,0,0,0,9.309415218,0,7.972279208,0,Good
1164,-116.32,-62.3625,-47.292,-32.96975,-15.669,-48.89534354,21.31688747,21.7178661,-0.505306608,2.649244915,1.200485712,1.213375021,1.555279135,3.009310841,45.59327519,2.468061741,10.73352983,13.41829823,-0.690543383,0.622533955,0,0,0,0,0,0,0,0,0,0,0,0,13.67689366,0,5.016878112,0,Good
1491,-143.61,-124.6125,-120.145,-113.86,-68.067,-117.0064379,12.18194869,7.353696,1.500645074,5.210426849,1.166162246,1.137307658,1.372467241,2.227355607,22.81247073,2.005715192,6.792031966,4.918247537,1.204382066,0.808077144,0,0,0,0,0,0,0,0,0,0,0,0,6.55673391,0,8.283752627,0,Good
1492,-143.97,-124.645,-119.97,-114.95,-61.546,-118.0708523,10.54117547,7.072002,1.6212161,6.772160932,1.1653289,1.137162706,1.374169886,2.194527419,25.87831422,1.985349339,6.000324767,4.72851107,1.296473224,0.852336646,0,0,0,0,0,0,0,0,0,0,0,0,10.34495858,0,8.765693485,0,Good
1493,-144.32,-121.135,-115.82,-100.28,-58.463,-110.4042706,15.51474189,12.060951,0.790611352,2.820756702,1.164500614,1.150730781,1.408120052,2.51005335,27.29753718,2.108152597,8.308383245,7.913134491,0.629946749,0.645485199,0,0,0,0,0,0,0,0,0,0,0,0,6.064044358,0,10.12000922,0,Good
1494,-143.9,-121.8325,-116.94,-105.2025,-59.51,-112.7631636,13.85105039,10.533873,0.915805763,3.510905052,1.165492397,1.148332006,1.400012164,2.427330808,26.81758326,2.075515406,7.565158797,6.972681275,0.735841689,0.715173158,0,0,0,0,0,0,0,0,0,0,0,0,3.722431072,0,6.3219887,0,Good
1611,-155.47,-129.8275,-121.54,-101.2975,-67.16,-115.8970298,18.73354007,15.263367,0.658466849,2.345898742,1.123026622,1.106980636,1.357880136,2.494237712,23.24451717,2.025592785,9.681986231,9.812494107,0.515576448,0.573724142,0,0,0,0,0,0,0,0,0,0,0,0,9.663695721,0,24.32889415,0,Good
