x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,0.43619765,1.46709375,1.806925,2.31449375,5.9606515
2,0.48191675,1.44233125,1.909025,2.323875,3.9716425
3,0.208306,1.42326875,1.8385625,2.36264375,4.999623
4,-0.2123733,1.41365625,1.7899,2.17045625,3.4066035
5,-0.61471155,1.21571875,1.65065,2.46443125,5.453846
6,-0.9414621,1.3237625,1.7901125,2.34074375,3.691059
7,-1.1666309,1.418175,1.8499375,2.32701875,5.8001255
8,-1.35366285,1.45876875,1.9254125,2.296625,4.0687045
9,-1.5922666,1.42745625,1.8021875,2.54845,6.0338655
10,-1.71868675,1.198725,1.9244625,2.40786875,3.3673385
11,-1.8261606,1.3611,1.8264875,2.3590875,5.515199
12,-1.889798,1.35126875,1.7945,2.40023125,3.5627765
13,-1.9597743,1.38884375,1.7132,2.53334375,5.065576
14,-1.9436421,1.400475,1.837125,2.31980625,3.0702135
15,-2.0302733,1.2342625,1.7873,2.608375,5.5710145
16,-2.05151205,1.37560625,1.9340875,2.3877,3.8751755
17,-1.98447055,1.3977625,1.8497125,2.28784375,6.011538
18,-1.93761285,1.52038125,1.9301375,2.33293125,3.7913895
19,-2.0107149,1.3469375,1.82325,2.3198625,5.6674345
20,-1.88184,1.2679,1.8755,2.354075,3.2919785
21,-1.89555525,1.3108625,1.796575,2.1604375,5.626135
22,-1.7962004,1.3104375,1.8704,2.4054875,3.615871
23,-1.74640055,1.31560625,1.848725,2.52786875,5.1962685
24,-1.60307125,1.32948125,2.002225,2.39556875,3.25602
25,-1.64508395,1.251575,1.6051625,2.4770125,5.848851
26,-1.5659756,1.36556875,1.8766375,2.3817875,3.7602765
27,-1.46039495,1.375675,1.7316,2.14305625,5.7997785
28,-1.30660325,1.5077375,1.791075,2.3821875,3.560787
29,-1.4006769,1.370875,1.7881375,2.41135,5.633526
30,-1.27765355,1.32463125,1.80555,2.27755,3.369923
31,-1.22607745,1.29585,1.8034375,2.41811875,5.621097
32,-1.16011625,1.2734375,1.7428,2.33808125,3.8296125
33,-1.05418905,1.3610375,1.7953625,2.5135875,5.364955
34,-0.8983769,1.41671875,1.9675625,2.27036875,3.336139
35,-0.92138795,1.34308125,1.77715,2.45006875,5.8344
36,-0.89391495,1.3281375,1.8418,2.39273125,3.6717295
37,-0.7844936,1.381725,1.7931,2.12858125,5.835105
38,-0.6242931,1.47424375,1.7747,2.24489375,3.440291
39,-0.73228695,1.39926875,1.9284,2.33130625,5.511086
40,-0.5894913,1.415225,1.864325,2.3851125,3.526836
41,-0.5890694,1.32131875,1.9817625,2.35786875,5.52976
42,-0.49871975,1.35359375,1.7599125,2.35054375,3.927143
43,-0.4616332,1.2967,1.839875,2.42604375,5.674043
44,-0.29725865,1.4034625,1.824425,2.3269375,3.0162405
45,-0.3686177,1.28641875,1.780925,2.35293125,5.759332
46,-0.3143595,1.33938125,1.8601,2.461225,3.021723
47,-0.21569835,1.38074375,1.7998375,2.31106875,5.6680515
48,-0.11133255,1.37766875,1.6877875,2.30025,3.336641
49,-0.1998354,1.26361875,1.8339625,2.5001375,5.2714835
50,-0.09310405,1.46221875,1.9545,2.22091875,3.6098125
51,-0.1470291,1.28608125,1.7093,2.44616875,5.5709885
52,-0.0836006,1.3082625,1.79545,2.314325,3.799341
53,-0.0465074,1.41105,1.824,2.53779375,5.692869
54,0.1057706,1.3839375,1.8623125,2.27776875,3.012669
55,0.0279553,1.2969375,1.8342125,2.44404375,5.7993605
56,0.0517734,1.38469375,1.9195,2.40901875,3.281763
57,0.16099695,1.37060625,1.808025,2.2557,5.6139845
58,0.188313,1.29704375,1.847125,2.3449125,3.8260715
59,0.1453655,1.3945,1.8135625,2.46095,5.3665785
60,0.2360298,1.3237875,1.965975,2.43399375,3.5754005
61,0.1904287,1.2725375,1.6800625,2.54480625,5.7276845
62,0.18935065,1.29885,1.664225,2.2873125,4.120372
63,0.2590604,1.39495625,1.838225,2.25311875,5.781888
64,0.367998065,1.47555625,1.7836625,2.30041875,3.0566215
65,0.27165635,1.3384,1.821975,2.397975,5.7595685
66,0.3023654,1.3799,1.88315,2.3481125,3.5262085
67,0.366018165,1.32995,1.7293125,2.54169375,5.82349
68,0.404026965,1.27959375,1.782825,2.28790625,3.671326
69,0.334432845,1.41611875,1.7973375,2.41479375,4.9889935
70,0.435214,1.42198125,1.99325,2.27805,3.2303
71,0.3680234,1.35568125,1.7002625,2.52375625,5.6332715
72,0.3516991,1.389025,1.9015125,2.31950625,3.982548
73,0.45354755,1.45934375,1.9361375,2.23295625,5.3517345
74,0.4750371,1.3897625,1.838075,2.34544375,3.165429
75,0.42252745,1.27348125,1.777525,2.51616875,5.667899
