x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,-2.596252709,-0.309225729,-0.15093586,0.055859724,0.698126953
2,-2.278086505,-0.277176931,-0.054386438,0.135974868,0.766195556
3,-2.552323942,-0.438170981,-0.054387404,0.159883953,0.854901861
4,-2.312665171,-0.184599088,-0.010988711,0.461142096,1.472788476
5,-2.587690562,-0.411418181,-0.071973062,0.194305576,0.755667156
6,-2.316551142,-0.243479129,0.086982406,0.298419924,0.89567587
7,-2.739730459,-0.370642217,-0.070789812,0.212134918,0.811499503
8,-2.392419892,-0.213448884,0.056435778,0.223224075,0.844471239
9,-2.673349427,-0.43927561,-0.103251536,0.094560276,0.978160076
10,-2.335687258,-0.316750909,-0.0093778,0.284462522,1.048192442
11,-2.601199447,-0.254548596,0.021536186,0.264779205,0.828336274
12,-2.278289663,-0.379045246,-0.076714615,0.1327129,0.596241021
13,-2.623657327,-0.468686567,-0.131216806,0.152305134,1.102544219
14,-2.357590107,-0.410613255,-0.070213481,0.235620238,0.924718488
15,-2.743324926,-0.343609681,-0.043004724,0.25659668,0.996342759
16,-2.352129357,-0.28127704,-0.102463154,0.079581748,0.918199716
17,-2.604944395,-0.593604514,-0.233994193,0.092731356,0.718899622
18,-2.337039787,-0.361165835,-0.069691738,0.252888293,0.708653216
19,-2.840174144,-0.36095127,-0.127697003,0.313370692,1.016327758
20,-2.347818052,-0.318322596,-0.120925704,0.175077541,0.68372798
21,-2.681200843,-0.347129702,0.062513376,0.33578134,0.981038116
22,-2.292633389,-0.18049762,0.00071853,0.309093874,0.654694806
23,-2.520576349,-0.386838847,-0.083848837,0.21967903,0.608902075
24,-2.274185193,-0.317873153,-0.044089417,0.239456307,0.852986718
25,-2.558189354,-0.227662005,0.081018824,0.248660535,0.641053283
26,-2.267895107,-0.214812553,0.094894701,0.397004699,1.274848519
27,-2.479134317,-0.351198696,-0.002021301,0.256445365,0.731295257
28,-2.283239261,-0.308171584,-0.024261731,0.330160054,0.713472271
29,-2.498973248,-0.410546388,-0.038319353,0.177122704,0.813547912
30,-2.233760423,-0.393846737,-0.062558301,0.19707751,1.227113607
31,-2.538244971,-0.335771318,-0.105799389,0.229870014,0.811436219
32,-2.242628186,-0.271124872,-0.039560025,0.23117468,0.786297739
33,-2.5543758,-0.436915688,-0.0460034,0.129021189,0.578362861
34,-2.165055911,-0.258723713,-0.044350829,0.221116678,1.392363849
35,-2.481139305,-0.209884827,0.020640579,0.225166174,0.626700731
36,-2.233295149,-0.41877103,0.059383955,0.239854423,1.495018818
37,-2.47502556,-0.391052259,-0.043208476,0.105002343,0.709300609
38,-2.26010714,-0.380049182,-0.140164094,0.120335497,0.526827696
39,-2.383305403,-0.241207777,0.019565706,0.306365186,0.668453961
40,-2.252167893,-0.363380824,-0.091578599,0.214986071,1.299613597
41,-2.36226628,-0.27883144,0.080734051,0.258785875,0.829029889
42,-2.171718178,-0.399406341,-0.096058975,0.207507276,0.856369427
43,-2.42618143,-0.386122862,-0.094301056,0.18311989,0.674481245
44,-2.215662046,-0.338400885,-0.144501673,0.082947913,1.047969931
45,-2.447800002,-0.446056063,-0.137288027,0.153178978,0.784559178
46,-2.235254333,-0.509060717,-0.110006759,0.221391939,0.894841989
47,-2.358488298,-0.407988094,-0.175214149,0.119039853,1.0403348
48,-2.236457745,-0.2680903,-0.042618385,0.178319053,0.396374908
49,-2.427991767,-0.421665016,-0.056302825,0.215400938,0.635965907
50,-2.255090869,-0.297241422,-0.085441269,0.163534115,1.095437771
51,-2.374204628,-0.323379033,-0.082144417,0.145730766,0.891770151
52,-2.218281592,-0.335727839,-0.075605085,0.316901643,0.738355292
53,-2.280488645,-0.34483749,-0.007382762,0.333649779,1.140840821
54,-2.199581664,-0.388593035,-0.162095001,0.105515618,0.456233742
55,-2.432046612,-0.304546111,-0.05102017,0.216405601,0.667242883
56,-2.300977572,-0.420945518,-0.19647051,0.307987247,1.137524534
57,-2.314426464,-0.342979492,0.003932764,0.288660322,0.74213484
58,-2.273088658,-0.184415497,0.066183189,0.222863589,1.058435624
59,-2.303588623,-0.317517778,-0.00289798,0.359002161,0.957582803
60,-2.292878073,-0.211052876,0.03078285,0.190219897,0.883894024
61,-2.428598437,-0.332626234,-0.019198281,0.357861912,0.68894134
62,-2.3136799,-0.420048025,-0.089924601,0.253261226,1.071460923
63,-2.348889877,-0.363917128,-0.12662268,0.211792884,1.00677616
64,-2.377009391,-0.194981247,-0.016404788,0.238802593,0.528335142
65,-2.40110272,-0.263580619,-0.024160993,0.207913308,0.533489129
66,-2.366724578,-0.127247694,0.00826953,0.25049802,1.405526274
67,-2.298167427,-0.236978863,-0.011577875,0.20708171,0.555431467
68,-2.364348662,-0.222657203,0.007881313,0.369939567,1.034783945
69,-2.419003083,-0.433078292,-0.134474212,0.040077223,0.445994608
70,-2.293223779,-0.231462789,-0.009269288,0.29079126,0.812337296
71,-2.32819005,-0.552998657,0.009036989,0.195930138,0.738469733
72,-2.361691338,-0.513902338,-0.041958279,0.215351074,0.648900217
73,-2.288665462,-0.537173248,-0.13739992,0.11054686,0.80214643
74,-2.275691017,-0.244737862,-0.06064801,0.185718631,0.697596823
75,-2.341585598,-0.305194947,-0.143430823,0.005263661,0.38318552
76,-2.345768123,-0.43330146,0.001677902,0.238159586,1.198073675
77,-2.259509899,-0.471126825,-0.143712739,0.102182906,0.553191181
78,-2.370179109,-0.367071903,0.046108931,0.233760466,1.077488029
79,-2.256539517,-0.228161835,-0.038354219,0.335752288,1.050079401
80,-2.338847283,-0.228502887,-0.089981087,0.103914418,1.167471893
81,-2.193576928,-0.22368362,-0.017082888,0.250418149,0.976889583
82,-2.304987186,-0.299221415,0.063700103,0.269732655,0.78212729
83,-2.235790679,-0.391891183,-0.052748808,0.118509928,0.456034057
84,-2.349402668,-0.334175905,-0.098503946,0.081166727,0.885870373
85,-2.234018128,-0.338868144,0.071320105,0.271672777,1.098831526
86,-2.476737247,-0.26210949,-0.03763687,0.154829271,2.061086609
87,-2.15018149,-0.592010643,-0.126650273,0.204481226,0.546709895
88,-2.440194958,-0.509099121,-0.099480454,0.093215242,0.854411345
89,-2.205755341,-0.369092751,-0.06103594,0.295619485,1.17681648
90,-2.421182041,-0.263373301,-0.066501062,0.163036892,0.673101755
91,-2.151746826,-0.391365921,-0.136305903,0.089480812,0.614779554
92,-2.42578147,-0.357636687,-0.009573072,0.382088543,1.430453491
93,-2.185375787,-0.270314396,-0.066192936,0.247398964,0.56916164
94,-2.35153497,-0.3031569,-0.005028154,0.193946586,0.711040291
95,-2.177806824,-0.255682634,0.026572251,0.421864446,1.356595101
96,-2.455345982,-0.202338192,0.030989956,0.164147388,1.322479507
97,-2.10979388,-0.474386193,-0.101527779,0.292298415,0.509481374
98,-2.39712089,-0.345691451,-0.018715521,0.345855701,1.252333318
