id,min,quantile_25,median,quantile_75,max,mean,sd,mad,skness,kurtos,min_bc,quantile_25_bc,median_bc,quantile_75_bc,max_bc,mean_bc,sd_bc,mad_bc,skness_bc,kurtos_bc,min_op,quantile_25_op,median_op,quantile_75_op,max_op,mean_op,sd_op,mad_op,skness_op,kurtos_op,op_sum,Missing_Vals,m,m_rob,m_bc,m_bc_rob,Grade
1000,-1.648581032,-0.186111102,0.142568145,0.424599462,1.651407142,0.106053782,0.490608733,0.449905898,-0.359310718,3.578139395,2.810645038,3.49759827,3.683716437,3.842674341,4.56196787,3.679700091,-0.579515555,-0.682081642,0.430270409,0.622573966,0,0,1,0,0,1,0,0,0,0,1,0,3.454977426,0,4.981129808,0,Good
1161,-1.700396768,-0.485790989,-0.1904183,0.091098311,1.894139257,-0.193227342,0.444483503,0.429587418,0.036695494,3.632386533,2.712995326,2.695134074,2.775942674,2.915427421,5.109035093,2.859184327,-0.642048297,-0.715302798,1.048839849,0.625414846,0,0,1,0,0,1,0,0,0,0,1,0,2.645503679,0,3.327715185,0,Good
1162,-1.983305265,-0.457144279,-0.22024082,0.058031121,3.795599213,-0.210041189,0.412138098,0.384750678,0.285475186,7.67964516,2.198735459,2.767960353,2.700051701,2.829550051,10.06383,2.815744496,-0.687459898,-0.792099019,1.517643408,0.714891581,0,0,1,0,0,1,0,0,0,0,1,0,23.07340721,0,22.55982986,0,Good
1163,-1.856951639,-0.18250491,0.132981162,0.452958111,1.67613877,0.129372258,0.467381835,0.471785907,-0.269076218,3.350499642,2.424428601,3.507801561,3.656030591,3.926651982,4.616763666,3.747391808,-0.610696017,-0.647296945,0.557422882,0.609490578,0,0,1,0,0,1,0,0,0,0,1,0,1.662816134,0,2.406060054,0,Good
1164,-1.532327437,-0.210626879,0.073006035,0.416592028,1.606770345,0.084233191,0.430980582,0.468675906,-0.124204591,2.776398769,3.033548552,3.428578515,3.484916935,3.819107761,4.463617541,3.616849098,-0.660839477,-0.652181456,0.778596475,0.565277697,0,0,0,0,0,0,0,0,0,0,0,0,6.478840627,0,9.067152588,0,Good
1491,-2.689841868,-0.385958062,-0.017039384,0.364358294,2.368994193,-0.012158993,0.718929857,0.558836908,-0.076211546,4.124247687,1.061880195,2.952484836,3.234764755,3.666952602,6.237568238,3.34490303,-0.29937659,-0.517721734,0.856494903,0.647301355,0,0,0,0,0,0,0,0,0,0,0,0,2.985166676,0,2.031660525,0,Good
1492,-2.329978679,-0.411174538,-0.014155691,0.386541359,2.477681917,-0.009993496,0.691180486,0.591583433,0.071094256,4.03646754,1.613659986,2.886540658,3.242650174,3.731237838,6.50644534,3.350910405,-0.331290469,-0.472131398,1.109974087,0.643843125,0,0,0,0,0,0,0,0,0,0,0,0,2.5056833,0,3.840850225,0,Good
1493,-2.450570375,-0.323490877,-0.029193859,0.247286093,2.47749919,-0.029952614,0.508410417,0.420490691,0.186032918,5.495057353,1.422270277,3.118582862,3.201619907,3.335835623,6.505990056,3.295718736,-0.556016174,-0.730481109,1.32282793,0.685266841,0,0,0,0,0,0,0,0,0,0,0,0,3.962904464,0,5.120735085,0,Good
1494,-2.389267249,-0.301352286,-0.034166849,0.259609652,2.549052931,-0.016245423,0.541103808,0.414379836,0.25255387,6.728710708,1.518762425,3.178385116,3.188101315,3.370045084,6.685106479,3.333579504,-0.513699065,-0.740788023,1.452052897,0.704703211,0,0,0,0,0,0,0,0,0,0,0,0,6.615629345,0,8.679307238,0,Good
1611,-1.216581173,-0.192579964,0.008903306,0.184368292,0.936294983,-0.008212921,0.305946998,0.276461191,-0.291948296,3.522643504,3.665043209,3.479327983,3.30600378,3.163546593,3.07353033,3.35585347,-0.847756115,-1.003003079,0.524422707,0.619563324,0,0,0,0,0,0,0,0,0,0,0,0,2.293465418,0,2.32069115,0,Good
