x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,-7.5553685,-4.60513125,-3.4969125,-2.7182375,-0.3618207
2,-8.6263995,-4.69644375,-3.6515875,-2.86589375,-0.35291325
3,-8.4001485,-4.71324375,-3.4122625,-2.900275,-0.3548959
4,-8.19188,-4.57406875,-3.8173875,-2.92430625,-0.4367581
5,-11.144565,-4.87275,-3.6755875,-2.66374375,-0.3118131
6,-9.8335905,-4.9955875,-3.5768875,-2.77613125,-0.42292825
7,-9.438604,-4.6371875,-3.7138375,-2.87961875,-0.28197745
8,-8.95865,-4.6598625,-3.822775,-2.84935,-0.37190935
9,-11.36649,-5.05740625,-3.3771125,-2.958875,-0.3077597
10,-9.311258,-4.71959375,-3.6597875,-3.101475,-0.3841422
11,-10.22815,-4.760675,-3.670975,-2.8321875,-0.2854619
12,-11.899585,-4.838325,-3.816575,-2.96713125,-0.34443135
13,-9.963101,-4.7441,-3.3513125,-2.79678125,-0.3386369
14,-9.350427,-4.758275,-3.9501625,-2.88754375,-0.3811185
15,-12.94464,-5.22161875,-3.558275,-2.8581,-0.2815144
16,-10.581302,-4.80933125,-3.592375,-2.79613125,-0.3731939
17,-9.748336,-4.47320625,-3.5888,-2.86086875,-0.2833313
18,-10.101635,-4.46105625,-3.8583,-3.00968125,-0.38063025
19,-11.408725,-4.84210625,-3.4483375,-2.82604375,-0.31961245
20,-9.215134,-4.62665625,-3.563575,-2.9999125,-0.3595313
21,-10.3939075,-4.65,-3.7924125,-2.7715,-0.3011154
22,-11.559875,-4.89964375,-3.6298625,-2.911625,-0.36824285
23,-9.800475,-4.77385625,-3.367225,-2.80465625,-0.3173049
24,-8.402521,-4.58585625,-3.8584875,-2.79419375,-0.45190055
25,-12.31599,-5.06679375,-3.781225,-2.65885625,-0.2847234
26,-10.2290275,-4.68680625,-3.495875,-2.9417375,-0.36330085
27,-9.9197585,-4.3481375,-3.558225,-2.714225,-0.2906903
28,-11.29566,-4.6800125,-3.8184125,-2.98165,-0.39312245
29,-10.097888,-4.70993125,-3.5051375,-2.8985625,-0.2924004
30,-8.3831655,-4.6750125,-3.768325,-2.9499,-0.36642955
31,-10.1540585,-4.91796875,-3.7958875,-2.63523125,-0.3407386
32,-11.099075,-4.81065,-3.7051,-2.82218125,-0.34412585
33,-9.5976755,-4.8832,-3.492825,-2.7257,-0.30210275
34,-8.450607,-4.73475625,-3.7091375,-2.99285625,-0.489694
35,-12.272835,-4.952575,-3.3993625,-2.73953125,-0.3214167
36,-9.0989795,-4.5392375,-3.4137,-2.88606875,-0.3812365
37,-9.4883955,-4.68540625,-3.515125,-2.60931875,-0.3724578
38,-11.575635,-4.91723125,-3.5304125,-2.918025,-0.39955475
39,-9.1772735,-4.43681875,-3.3999375,-2.63985625,-0.34138815
40,-7.876244,-4.67486875,-3.796375,-3.13071875,-0.45787555
41,-10.210045,-4.73974375,-3.549625,-2.81890625,-0.29226275
42,-10.0253785,-4.42418125,-3.6077875,-2.77245,-0.47019295
43,-10.058075,-4.73691875,-3.518775,-2.7085875,-0.29994765
44,-8.1534215,-4.8169125,-3.8386,-2.798575,-0.50520955
45,-9.365402,-5.10276875,-3.44915,-2.829525,-0.29638925
46,-7.8518075,-4.643225,-3.394775,-3.11195625,-0.35537795
47,-8.8556005,-4.94308125,-3.59085,-2.77555625,-0.29144275
48,-9.446306,-4.93920625,-3.679875,-2.99760625,-0.3852159
49,-8.089971,-4.89073125,-3.6032,-2.65150625,-0.30587805
50,-7.744832,-4.8540875,-3.7403875,-2.9025625,-0.37891985
51,-8.7052565,-4.73520625,-3.6291125,-2.771675,-0.3105232
52,-9.523635,-5.09988125,-3.6744375,-2.8167,-0.36849555
53,-8.460461,-4.7693125,-3.2906125,-2.76678125,-0.3026624
54,-7.57991,-4.8164875,-3.8527,-2.9357125,-0.392137
55,-8.2801095,-5.01565625,-3.5268625,-2.86180625,-0.3164362
56,-7.218562,-4.81209375,-3.629225,-3.1184875,-0.3978863
57,-7.665297,-5.0688125,-3.6118,-2.8479,-0.30438
58,-9.109578,-4.755825,-3.6286875,-3.01615,-0.36483145
59,-8.1666945,-4.72731875,-3.4334,-2.88686875,-0.38336825
60,-7.321552,-4.6604125,-3.8115375,-3.0336875,-0.3640261
61,-8.304296,-4.6405625,-3.7240125,-2.8254,-0.3343059
