id,min,quantile_25,median,quantile_75,max,mean,sd,mad,skness,kurtos,min_bc,quantile_25_bc,median_bc,quantile_75_bc,max_bc,mean_bc,sd_bc,mad_bc,skness_bc,kurtos_bc,min_op,quantile_25_op,median_op,quantile_75_op,max_op,mean_op,sd_op,mad_op,skness_op,kurtos_op,op_sum,Missing_Vals,m,m_rob,m_bc,m_bc_rob,Grade
1000,-5.24725,-3.3673875,-2.96775,-2.6696,-2.015725,-3.120424518,0.645083889,0.487664205,-1.103124686,3.64081216,134.147332,9.962432535,6.859717014,5.608976013,6.25022122,7.231299638,-0.385462132,-0.563186496,19.74334304,0.545938913,0,0,0,0,0,0,0,0,0,0,0,0,3.774514415,0,3.947726968,0,Good
1161,-4.72335,-2.7398375,-2.4194625,-2.107925,-1.0482,-2.445067743,0.511780976,0.467890028,-0.540009412,3.892720323,142.8818714,11.34577244,7.803547903,6.53887582,8.778164015,8.409622485,-0.55160411,-0.58785089,23.48494702,0.55396459,0,0,0,0,0,0,0,0,0,0,0,0,2.673634836,0,6.228685467,0,Good
1162,-4.032275,-2.6511,-2.3275375,-1.99445625,-1.261525,-2.335976992,0.445338859,0.4848102,-0.236965416,2.752307851,154.8233969,11.54522292,7.964240983,6.730217922,8.195523166,8.603405023,-0.640865699,-0.566727552,25.62975672,0.501301395,0,0,0,0,0,0,0,0,0,0,0,0,2.098704638,0,2.749037063,0,Good
1163,-3.697525,-2.744725,-2.2223625,-1.90189375,-0.99595,-2.287657634,0.555215801,0.591668595,-0.064932813,2.239072572,160.779453,11.33481427,8.148936372,6.887145935,8.922993258,8.689534254,-0.495750399,-0.438035346,26.88819077,0.452903933,0,0,0,0,0,0,0,0,0,0,0,0,8.610640102,0,10.18248585,0,Good
1164,-3.521675,-2.613925,-2.324875,-1.9787625,-1.11375,-2.292303356,0.414963908,0.46842747,0.23159761,2.459561563,163.9531674,11.62905637,7.968905514,6.756771828,8.597645762,8.681245363,-0.683437066,-0.587176461,29.12680925,0.476916149,0,0,0,0,0,0,0,0,0,0,0,0,3.218788272,0,3.233907206,0,Good
1491,-6.80445,-4.33849375,-3.6102625,-3.2683,-2.275075,-3.949929174,0.956593233,0.637499468,-1.069937574,3.125514283,109.8058045,7.920293754,5.787211528,4.65124002,5.623986187,5.837488918,-0.043791435,-0.385018845,19.95506051,0.524073401,0,0,0,0,0,0,0,0,0,0,0,0,9.749333888,0,9.42781429,0,Good
1492,-6.165125,-4.619775,-4.1103625,-3.4351625,-2.04495,-3.995949759,0.874880589,0.810148238,0.294845465,2.287883927,119.506067,7.352474842,4.979322837,4.390866029,6.178535982,5.761997193,-0.12844821,-0.194693715,29.61566843,0.458740819,0,0,0,0,0,0,0,0,0,0,0,0,9.129190455,0,10.94434514,0,Good
1493,-8.927375,-5.797425,-5.2755625,-4.94753125,-3.39,-5.520396655,0.899229372,0.57702792,-1.333976876,4.463685518,80.52740475,5.10099573,3.199314978,2.179433513,3.198138915,3.383504079,-0.102903282,-0.455227932,18.30109657,0.567934941,0,0,0,0,0,0,0,0,0,0,0,0,12.12406709,0,10.64993659,0,Good
1494,-9.320875,-6.06755,-5.469825,-4.9698625,-3.513125,-5.659133054,1.062917986,0.809166015,-0.834181966,3.202385838,75.59554137,4.615237584,2.918005123,2.149020182,2.958218307,3.17995099,0.062148656,-0.19573978,21.49076778,0.527921699,0,0,0,0,0,0,0,0,0,0,0,0,8.494479665,0,3.334541428,0,Good
1611,-8.394,-6.72159375,-6.1695875,-5.55578125,-4.165625,-6.158323878,0.764343248,0.862780538,-0.06403971,2.341768136,87.45955295,3.491192506,1.94662349,1.378474552,1.787413886,2.467844903,-0.248191262,-0.139181273,26.89480113,0.464819447,0,0,0,0,0,0,0,0,0,0,0,0,4.650918254,0,4.01794425,0,Good
1612,-8.738675,-7.0351875,-6.4503,-5.90315,-4.5231,-6.493155946,0.793809175,0.83277642,-0.231532532,2.480499015,82.94737375,2.980144489,1.577203974,0.949052961,1.222145475,2.009315182,-0.215629896,-0.170698745,25.6690462,0.478910998,0,0,0,0,0,0,0,0,0,0,0,0,6.768826428,0,4.845382049,0,Good
1613,-11.0705,-8.03955,-7.5314875,-6.90978125,-5.23945,-7.593842775,1.075613985,0.816375158,-0.584009006,3.27494872,55.54175515,1.480828853,0.287841827,-0.147453893,0.270647518,0.630601434,0.074509099,-0.188070871,23.18117249,0.53134029,0,0,0,0,0,0,0,0,0,0,0,0,14.67476194,0,12.10099311,0,Good
1614,-12.27675,-9.326725,-7.998625,-7.04434375,-5.892375,-8.335263853,1.523894966,1.514661225,-0.646195067,2.283127831,43.49876625,-0.056662497,-0.184452367,-0.272400905,-0.349552782,-0.152657176,0.479294063,0.482704799,22.75513967,0.458186324,0,1,0,0,0,1,0,1,0,0,2,0,21.89968358,0,17.24364536,0,Good
