id,date,sensor_id,id,T2,T2_rob_mcd,CM_Sum,CM_Sum_Square,CM_Avg_Sum,CM_Avg_Sum_Square,CM_Avg_SS_adj2,CM_T2,CM_T2_Flag,PC_dist_5,PC_dist_10,PC_dist_20,grade_auto,grade_auto_code,grade,CM_step1,CM_step2,CM_step3,CM_step4,CM_step5,CM_step6,CM_step7,CM_step8,CM_step9,CM_step10,CCoefficientLocal,EigenvectorCentrality,KCoresOut,VertexStrength,Betweenness,closenessOut,EdgeBetweenness,KCoresOut_adj,EigenvectorCentrality_adj,EigenvectorCentrality_10,KCoresOut_10,KCoresOut_9,KCoresOut_8,KCoresOut_7,KCoresOut_6,KCoresOut_5,KM_cluster,Outlier_group
11675,3/8/2017,11675,11675,64.24961306,202.8736504,928.4565675,821.0654386,0.799704192,0.707205373,0.039940763,0.876,0,0.569447139,0.638831931,0.70021086,Good,5,Good,0.976977823,0.959365146,0.947989542,0.935035494,0.921914866,0.893355375,0.863505866,0.822775356,0.745216961,0.555216162,0.890498551,0.597062377,0,503.6782798,2,1.67E-05,0,0,0.402937623,0.197703483,0,0,0,0,0,0,1,3
12260,3/8/2017,12260,12260,356.0422135,4040.737165,-264.8750339,131.7875185,-0.228143871,0.113512074,1,23.8577,1,5.529039702,5.523835394,5.492868549,Outlier,6,Outlier,0.707946874,0.106776482,-0.045191966,-0.137292669,-0.217984514,-0.276554391,-0.318561704,-0.36320851,-0.417696937,-0.492588948,0,1.21E-06,0.998567335,2.959878222,2214,1.57E-05,0,0.998567335,0.99999879,0.743564717,0,1,1,0.998567335,0.993734336,0.989631336,3,1
12263,3/8/2017,12263,12263,93.26905692,390.6844763,720.5537628,497.5513927,0.620632009,0.428554171,0.41822078,1.4709,0,2.575655785,2.637862064,2.610297574,Good,5,Good,0.948707918,0.795879356,0.757153406,0.728767596,0.70014744,0.670715066,0.644265314,0.599374875,0.547196732,0.393547046,0.896169629,0.583734357,0.386819484,536.2366057,48,1.66E-05,0,0.386819484,0.416265643,0.286615296,0,0.979532164,0.807971014,0.386819484,0.068922306,0,2,3
12265,3/8/2017,12265,12265,79.3948039,225.7922431,855.2665708,715.2267684,0.736663713,0.616043728,0.163696298,0.1082,0,1.121925793,1.270155422,1.277732994,Good,5,Good,0.971185107,0.923033684,0.901629412,0.883311305,0.862851607,0.835007689,0.796088946,0.741570348,0.645080044,0.464001425,0.921986608,0.689455436,0,614.4754322,6,1.67E-05,0,0,0.310544564,0.234317394,0,0.435672515,0.003623188,0,0,0,1,4
12484,3/8/2017,12484,12484,33.4928475,104.0523969,909.2855784,802.7997263,0.783191713,0.691472632,0.06129858,0.6999,0,1.235946881,1.230353184,1.225981774,Good,5,Good,0.984887631,0.961219398,0.948298606,0.935303012,0.914621523,0.891880994,0.854036713,0.794436992,0.707197933,0.505997779,0.894937186,0.595532072,0,508.5764861,209,1.67E-05,0,0,0.404467928,0.209865701,0,0.011695906,0,0,0,0,1,3
12487,3/8/2017,12487,12487,153.3485175,802.1928972,794.0099926,624.9975012,0.683901802,0.538326874,0.269199998,0.1522,0,1.685689362,1.751198632,1.761350514,Good,5,Good,0.920982321,0.866878509,0.848669942,0.830837038,0.809485768,0.782240671,0.743410927,0.688531345,0.597359535,0.408402347,0.947605387,0.810288486,0,731.5568494,0,1.66E-05,0,0,0.189711514,0.266148208,0,0.985380117,0.144927536,0,0,0,1,4
13028,3/8/2017,13028,13028,19.48289338,69.69346101,940.9017891,843.3008598,0.810423591,0.72635733,0.013941225,1.1618,0,0.625613393,0.645758136,0.646464425,Good,5,Good,0.991275331,0.969109002,0.957783964,0.944675174,0.931491912,0.910086522,0.879761268,0.837250511,0.748734052,0.569591368,0.884967915,0.534115005,0,452.7983489,3532,1.67E-05,0,0,0.465884995,0.191965946,0,0,0,0,0,0,1,3
13837,3/8/2017,13837,13837,65.60232579,171.6790271,935.6079333,830.3331785,0.805863853,0.715187923,0.029104136,0.9822,0,0.5776121,0.645574766,0.670338784,Good,5,Good,0.982712339,0.960927821,0.948561443,0.935573006,0.919773784,0.902503827,0.870169116,0.836590241,0.74905294,0.568097168,0.880960162,0.5772416,0,493.8582469,7,1.67E-05,0,0,0.4227584,0.19305941,0,0,0,0,0,0,1,3
15862,3/8/2017,15862,15862,114.48755,591.9322197,827.3609987,683.8644249,0.712627906,0.589030512,0.200367806,0.035,0,1.428607066,1.477740495,1.508282052,Good,5,Good,0.958795362,0.915083016,0.894391083,0.8752521,0.853230278,0.816881054,0.773455925,0.711589951,0.608458508,0.415515909,0.925860398,0.694561811,0,623.4858383,0,1.66E-05,0,0,0.305438189,0.251190626,0,0.497076023,0.043478261,0,0,0,1,4
15877,3/8/2017,15877,15877,36.44259828,137.5962695,845.2276115,714.3605025,0.728016892,0.61529759,0.164709209,0.0985,0,1.780071493,1.751428904,1.718105962,Good,5,Good,0.984616147,0.939568432,0.91783733,0.894175981,0.869903014,0.835713825,0.784044225,0.714701678,0.609789072,0.418368681,0.922415686,0.614220119,0,552.8266755,2247,1.67E-05,0,0,0.385779881,0.242119424,0,0.315789474,0.02173913,0,0,0,1,4
