x,quantile_02,quantile_25,median,quantile_75,quantile_98
1,0,0,0,0,0
2,-0.52405944,0.007737327,0.084481566,0.240770434,0.914393731
3,-0.540997201,0.086407136,0.262414175,0.402270983,1.069744159
4,-0.661579802,0.206141382,0.385463006,0.570137206,1.190626816
5,-0.636367294,0.315142026,0.503854406,0.687500593,1.406190125
6,-0.766341575,0.404999103,0.603070282,0.814675328,1.598451158
7,-0.830783592,0.464362875,0.691202361,0.948881826,1.695718024
8,-0.688572887,0.547706355,0.79708001,1.078484013,1.883061648
9,-0.754713646,0.608612221,0.906915352,1.28190093,2.37299063
10,-1.620822901,0.206448908,0.675822485,1.192546539,2.508254044
11,-2.04184393,-0.393588482,0.130215141,0.816091281,2.492607051
12,-2.252075827,-0.986717198,-0.443288913,0.307992876,2.208279187
13,-2.490197517,-1.515572109,-1.029178243,-0.268628013,2.027488027
14,-2.552911731,-1.880063636,-1.470467211,-0.81073062,1.754336788
15,-2.613720147,-2.142875261,-1.837907203,-1.309307341,1.541074517
16,-2.610962179,-2.239850682,-1.975980425,-1.539334845,1.239880186
17,-2.532388459,-2.177503271,-1.975138508,-1.597339982,1.107170988
18,-2.320613742,-1.975415173,-1.771284949,-1.45352699,1.140997932
19,-2.012572139,-1.568184631,-1.39505983,-1.113398458,0.938877837
20,-1.689842217,-1.193443792,-1.023823068,-0.777730105,0.601583695
21,-1.44794687,-0.86565531,-0.693456244,-0.496563533,0.465852964
22,-1.064231858,-0.554716568,-0.402805781,-0.229549933,0.417354832
23,-0.807759654,-0.262346431,-0.070750331,-0.010888685,0.248587115
24,0,0,0,0,0
25,0,0,0,0,0
26,-0.30545571,0,0.144016995,0.264411825,0.811457116
27,-0.465992467,0.14160102,0.2982256,0.429465691,0.977495103
28,-0.442942927,0.26858497,0.425818975,0.578891775,1.279360795
29,-0.462763756,0.368036263,0.53502861,0.712903506,1.449602898
30,-0.426795342,0.439530931,0.635417624,0.842284064,1.450942786
31,-0.474013132,0.512614595,0.723475465,0.961373652,1.790906981
32,-0.594108617,0.620970863,0.838148195,1.14138437,2.235798058
33,-0.498313937,0.737065238,1.046925962,1.460377151,2.653854938
34,-1.409947214,0.479233838,0.930134943,1.447254454,2.835185269
35,-1.997006297,-0.144959941,0.423561168,1.086127601,2.831973194
36,-2.245936547,-0.882526427,-0.309172155,0.417169834,2.502671359
37,-2.350891186,-1.439904589,-0.956112223,-0.25895489,2.187661749
38,-2.437997646,-1.813874055,-1.415306041,-0.828638768,2.001419257
39,-2.55308909,-2.07613818,-1.754169472,-1.200122468,1.8095354
40,-2.518576013,-2.153251674,-1.917996151,-1.443428004,1.640367418
41,-2.428976177,-2.098606345,-1.894444551,-1.492214744,1.524908643
42,-2.236870579,-1.856047303,-1.659872257,-1.328569939,1.307064551
43,-1.909742304,-1.470051233,-1.290762508,-1.022390592,1.087536605
44,-1.450071498,-1.081586358,-0.915731819,-0.674842676,0.871376368
45,-1.177668075,-0.757433284,-0.607060189,-0.403154204,0.677450592
46,-0.946602414,-0.478389705,-0.33998973,-0.140499778,0.548409447
47,-0.631431955,-0.221734638,-0.028676748,0,0.258006576
48,0,0,0,0,0
49,0,0,0,0,0
50,-0.392981952,0.013744819,0.109567253,0.220749073,0.791365792
51,-0.484905409,0.066404511,0.235315402,0.367366065,1.063155241
52,-0.611821227,0.140523732,0.314272674,0.479905364,1.051975193
53,-0.805563993,0.164957299,0.373731757,0.572782022,1.141213491
54,-0.635196133,0.20158035,0.426856953,0.651502958,1.247056685
55,-0.820985664,0.214939202,0.466375654,0.731915018,1.416214923
56,-0.879278943,0.210324652,0.51847836,0.803820311,1.573306738
57,-1.421568304,0,0.441694891,0.859616453,2.114157208
58,-1.760214339,-0.52378779,0.035827164,0.643723387,2.204353029
59,-2.15197123,-1.035846136,-0.482258399,0.156713356,2.07560097
60,-2.35909675,-1.475114017,-0.995727118,-0.390621892,1.976894165
61,-2.51908039,-1.872114569,-1.456883741,-0.937857513,1.589012483
62,-2.641102881,-2.180395077,-1.847723942,-1.379465361,1.285721808
63,-2.731069763,-2.358362899,-2.101077935,-1.680395413,0.911151626
64,-2.833766506,-2.433950311,-2.228582758,-1.877165446,0.600773126
65,-2.76006878,-2.369475179,-2.177932878,-1.902372854,0.801360335
66,-2.482593148,-2.090450368,-1.920429649,-1.631195442,0.804549601
67,-2.13391764,-1.66763452,-1.464691677,-1.203815786,0.848191853
68,-1.730202646,-1.238830716,-1.042597972,-0.78163824,0.626757564
69,-1.439881251,-0.862557527,-0.678675688,-0.477123977,0.435654483
70,-1.137934467,-0.559594255,-0.395117189,-0.237017124,0.399616646
71,-0.699734788,-0.261372657,-0.083214217,-0.014045354,0.244528755
72,0,0,0,0,0
73,0,0,0,0,0
74,-0.527991573,-0.035041152,0.180776317,0.317612497,0.82811799
75,-0.638005651,0.131046934,0.331437632,0.491983879,1.036270696
76,-0.859827008,0.229199611,0.475870307,0.695720769,1.305957887
77,-0.835444858,0.350068542,0.620250635,0.859350643,1.56068397
78,-0.839002948,0.436838475,0.735493488,1.006301756,1.776949344
79,-1.054244427,0.553678231,0.868607566,1.20106443,2.000359327
80,-0.953890223,0.637510085,1.046611749,1.405023646,2.26718841
81,-1.219841793,0.680457573,1.245132303,1.732780238,2.810704449
82,-1.540492921,0.366527276,1.205841158,1.837715619,3.001146079
83,-1.997722376,-0.123189291,0.904256825,1.652137106,2.856647636
84,-2.269688756,-0.793740071,0.171880914,1.115471297,2.68743197
85,-2.426195048,-1.325683624,-0.518945636,0.379567238,2.466946983
86,-2.64045308,-1.797106352,-1.17245105,-0.229742863,2.119432411
87,-2.703504886,-2.054621393,-1.532618062,-0.735177163,1.842379462
88,-2.780355687,-2.068134619,-1.649938278,-0.976885666,1.617098328
89,-2.607737303,-2.014009619,-1.670824745,-1.111638262,1.443661817
90,-2.41448194,-1.72194475,-1.455569817,-1.025908362,1.212889197
91,-2.015801524,-1.304998389,-1.082469877,-0.752141571,1.14373142
92,-1.672412311,-0.93957859,-0.749671466,-0.503251485,1.012877478
93,-1.395293752,-0.657337739,-0.479335114,-0.26096035,0.71156344
94,-0.988698144,-0.403557524,-0.241623736,0,0.65739468
95,-0.597865798,-0.17687646,0.019298797,0.07449842,0.377945341
96,0,0,0,0,0
97,0,0,0,0,0
98,-0.302961944,0,0.099910904,0.224208815,0.754226508
99,-0.587649574,0.057075852,0.225961424,0.350291542,0.858154511
100,-0.656460543,0.154507861,0.316792625,0.467180998,0.974926022
101,-0.622772408,0.252659576,0.415242467,0.590008742,1.233001208
102,-0.516256323,0.315911547,0.504517336,0.693691822,1.411239166
103,-0.51305593,0.383320694,0.592794765,0.821542904,1.608732487
104,-0.440917513,0.488918955,0.705014269,0.979018053,1.86740291
105,-0.283764404,0.669782649,0.947525078,1.339307088,2.490619633
106,-1.137961288,0.448262959,0.821190907,1.359726525,2.671235706
107,-1.867997976,-0.283942805,0.253278299,0.950957529,2.708453897
108,-2.239063071,-0.994892079,-0.483084952,0.26554361,2.550196681
109,-2.436809534,-1.52840472,-1.099648711,-0.341362599,2.195774499
110,-2.525174608,-1.93583226,-1.580918716,-0.916004973,1.794296891
111,-2.626361206,-2.212571594,-1.923079393,-1.37977405,1.606673085
112,-2.574012959,-2.2627417,-2.043247742,-1.581191499,1.572514943
113,-2.471567774,-2.162791086,-1.976915273,-1.588248742,1.337394165
114,-2.262826927,-1.924492381,-1.747136897,-1.40517776,1.251615932
115,-1.859514324,-1.522524282,-1.345913071,-1.065634254,0.94945729
116,-1.505991414,-1.118502888,-0.956942667,-0.708695467,0.716726547
117,-1.266343633,-0.772557792,-0.633335777,-0.426468747,0.673331119
118,-0.940323757,-0.495610604,-0.352089008,-0.179322895,0.546536998
119,-0.611931033,-0.232991408,-0.039284114,0,0.359457341
120,0,0,0,0,0
