id,herd_name,date,sensor_id,min,quantile_25,median,quantile_75,max,mean,sd,mad,skness,kurtos,min_bc,quantile_25_bc,median_bc,quantile_75_bc,max_bc,mean_bc,sd_bc,mad_bc,skness_bc,kurtos_bc,min_op,quantile_25_op,median_op,quantile_75_op,max_op,mean_op,sd_op,mad_op,skness_op,kurtos_op,op_sum,missing_vals,m,m_rob,m_bc,m_bc_rob,grade
59303,Avocado-Israel,3/8/2017,59303,-2.532782994,-1.195516716,0,0.446131927,1.535127099,-0.352228701,1.021285273,0.980409895,-0.475039255,2.146300108,2.114794458,0.143518452,0.162029786,-0.554280608,0.475265268,-0.185018707,0.020624465,-0.018486169,-0.073328675,0.427660521,0,0,0,0,0,0,0,0,0,0,0,0,1.306446158,0,1.580914562,0,Good
21986,Avocado-Israel,3/8/2017,21986,-2.310884542,-0.983515817,0,0.594490241,1.927269373,-0.178538899,1.025647417,0.994171776,-0.28087469,2.180672624,2.363212498,0.32025892,0.162029786,-0.346273252,0.756986915,0.003334497,0.024693424,-0.004821226,0.11776874,0.431939505,0,0,0,0,0,0,0,0,0,0,0,0,1.0154187,0,1.140053755,0,Good
32111,Avocado-Israel,3/8/2017,32111,-3.058270717,-1.03594198,0,0.674991305,1.751076121,-0.153562498,1.053768666,1.31421764,-0.304196951,2.387751256,1.53410149,0.278717724,0.162029786,-0.246258525,0.635099004,0.02796144,0.049723332,0.34389389,0.096103187,0.454276991,0,0,0,0,0,0,0,0,0,0,0,0,11.70711803,0,12.41218806,0,Good
32297,Avocado-Israel,3/8/2017,32297,-2.271084847,-0.54943621,0,0.691373469,2.974197065,0.081699022,1.05148406,0.973122142,0.125268665,2.678424223,2.407954586,0.622528999,0.162029786,-0.22680693,1.371426408,0.236704949,0.047764535,-0.025676259,0.452727608,0.478041748,0,0,0,0,0,0,0,0,0,0,0,0,8.653253036,0,4.674717343,0,Good
32349,Avocado-Israel,3/8/2017,32349,-2.111393804,-0.794451092,0,0.807313382,2.607213495,0.013693726,1.082189999,1.227097345,-0.099877912,2.316713123,2.588022736,0.460190801,0.162029786,-0.096629957,1.173462993,0.180229723,0.073063808,0.243265381,0.276038905,0.447219344,0,0,0,0,0,0,0,0,0,0,0,0,5.629651054,0,4.741845697,0,Good
32351,Avocado-Israel,3/8/2017,32351,-2.210387909,-0.934355488,0,0.70372625,1.81878762,-0.05743719,1.030170635,1.125896262,-0.20820167,2.157150272,2.476294539,0.358067564,0.162029786,-0.212325449,0.682770455,0.117976713,0.028858162,0.131648749,0.18332136,0.429031139,0,0,0,0,0,0,0,0,0,0,0,0,0.992921451,0,1.275651971,0,Good
32465,Avocado-Israel,3/8/2017,32465,-2.597061932,-1.064615533,0,0.486478052,2.255336307,-0.167849014,1.062397893,0.770080804,-0.351719338,2.678806751,2.043172195,0.255432564,0.162029786,-0.494140876,0.967313279,0.013941598,0.057008286,-0.212674833,0.050940456,0.478068497,0,0,0,0,0,0,0,0,0,0,0,0,6.695896589,0,7.091422561,0,Good
33094,Avocado-Israel,3/8/2017,33094,-2.941028806,-0.307670485,0,0.860821375,2.634031712,0.209679522,1.128350412,0.959990983,0.001070263,3.223176769,1.662670237,0.76619571,0.162029786,-0.040465929,1.188473542,0.335943554,0.107280903,-0.038550099,0.357705959,0.507796034,0,0,0,0,0,0,1,0,0,0,0,0,16.10162755,0,15.90037407,0,Good
59302,Avocado-Israel,3/8/2017,59302,-2.189215835,-1.190264267,0,0.549726152,1.709448112,-0.343400692,1.033365563,1.04897166,-0.276779843,2.005919276,2.500162285,0.148200223,0.162029786,-0.405448856,0.605243337,-0.174624606,0.031766982,0.050715904,0.121540115,0.408091954,0,0,0,0,0,0,0,0,0,0,0,0,1.375221896,0,1.351941085,0,Good
10623,Avocado-Israel,3/8/2017,10623,-0.649961203,0,0.387765652,1.841886845,2.617418149,0.834727141,1.013675269,1.09540357,0.301885509,1.428855444,4.271516739,0.930504584,0.538273622,0.733887823,1.179185516,0.726600242,0.013399779,0.099156983,0.578957968,0.267555956,1,0,1,0,0,0,0,0,0,1,3,0,32.60465243,0,81.46155771,0,Outlier
