name,code,xREF,region,incomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,ABW,Latin America & Caribbean,High income,27525,28139,28532,28762,28922,29082,29251,29413,29574,29737,29901,30081,30279,30468,30603,30660,30617,30495,30355,30281,30332,30560,30943,31367,31674,31763,31560,31143,30752,30720,31272,32508,34116,35950,37719,39173,40230,40968,41488,41945,42446,43046,43671,44245,44671,44889,44880,44685,44371,44036,43747,43525,43378,43287,43217,43143
Andorra,AND,,Europe & Central Asia,Lower middle income,7840,8767,9758,10810,11915,13068,14262,15492,16764,18085,19461,20903,22401,23916,25391,26792,28089,29302,30499,31775,33201,34802,36560,38447,40419,42438,44340,46121,47923,49759,51628,53574,55561,57411,58876,59806,60064,59772,59369,59455,60425,62386,65107,68207,71092,73340,74901,75850,76084,75518,74134,71838,68773,65401,62329,59983
Afghanistan,AFG,AFG,South Asia,Low income,739462,779754,822719,868325,917022,968697,1023511,1081445,1143293,1209937,1282151,1360066,1443053,1529985,1619372,1709143,1800112,1891495,1977829,2050274,2071682,2070410,2049774,2018315,1988913,1972300,1970130,1983118,2020678,2093914,2210296,2378440,2595450,2841832,3088613,3313747,3505975,3671028,3824657,3992357,4192967,4433909,4708893,5004963,5302036,5586368,5851917,6103736,6352572,6614909,6903589,7223611,7570822,7937870,8312341,8685568
Angola,AGO,AGO,Sub-Saharan Africa,Upper middle income,550013,579560,612400,646970,683170,720859,760212,801464,845128,891813,942436,993586,1045789,1101905,1162151,1226370,1294714,1367341,1445420,1530294,1623174,1724999,1835750,1953350,2074576,2196668,2318281,2440285,2565997,2700054,2846732,3008118,3184055,3371540,3566872,3766722,3969717,4177549,4394643,4627660,4881860,5159376,5460381,5782734,6123472,6478932,6849589,7236553,7641052,8064195,8508565,8974399,9459682,9963141,10484219,11022180
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,493982,513592,530766,547928,565248,582374,599300,616687,635924,656733,677801,698647,720649,742333,764166,786668,809052,832109,854618,876974,902120,927513,954645,982645,1011235,1040127,1068501,1098349,1127722,1167160,1197222,1198912,1209490,1219882,1230218,1240399,1250518,1260414,1270214,1279853,1289391,1298584,1327220,1354848,1381828,1407298,1430886,1452398,1473392,1495260,1519519,1546708,1575704,1604253,1632281,1658584
United Arab Emirates,ARE,ARE,Middle East & North Africa,High income,68070,75116,84458,95281,106317,116832,126458,136174,147879,164045,187876,219578,258607,305493,360655,423949,497037,579045,664472,746572,820650,881952,932180,977587,1024555,1077700,1139060,1207324,1280455,1355928,1431976,1509622,1590175,1672798,1756312,1840647,1936992,2048615,2170012,2301870,2447301,2595369,2751463,2954010,3255146,3686963,4273939,4989525,5753131,6451211,7001322,7369922,7581371,7682264,7747387,7832958
Argentina,ARG,ARG,Latin America & Caribbean,Upper middle income,15177907,15550747,15916161,16283195,16650736,17017601,17383413,17749065,18120764,18505681,18909951,19327705,19762668,20210548,20661008,21106169,21543400,21974572,22405665,22844167,23296128,23780335,24285075,24799123,25319371,25842012,26365970,26891584,27418226,27944436,28469637,28987586,29462391,29933007,30397317,30852831,31298957,31735993,32167662,32599177,33033755,33472948,33918250,34367430,34816784,35263824,35708101,36150779,36594849,37043126,37498800,37962013,38430835,38902130,39371423,39835307
Armenia,ARM,ARM,Europe & Central Asia,Lower middle income,957507,1008648,1061531,1115732,1170799,1226270,1281868,1337550,1393558,1450290,1507620,1565493,1624276,1683550,1742892,1797424,1851325,1904558,1957306,2004510,2045105,2084432,2122210,2159745,2198837,2240234,2285716,2333546,2376778,2398067,2389869,2358249,2306955,2244404,2182285,2129131,2087511,2055288,2030458,2009343,1989190,1970204,1958863,1950900,1943195,1935094,1925886,1915891,1903929,1892051,1884191,1880841,1881149,1884333,1888225,1891291
American Samoa,ASM,ASM,East Asia & Pacific,Upper middle income,13250,13647,14163,14769,15418,16071,16720,17371,18010,18625,19209,19760,20280,20767,21224,21657,22058,22441,22861,23395,24125,25130,26313,27641,29058,30519,32018,33551,35089,36593,38081,39616,41061,42433,43769,45091,46400,47674,48893,50030,50957,51481,51913,52199,52268,52082,51610,50898,50073,49309,48734,48402,48276,48297,48374,48430
Antigua and Barbuda,ATG,ATG,Latin America & Caribbean,High income,21684,21629,21639,21695,21768,21839,21902,21960,22004,22022,22107,22487,22835,23149,23437,23696,23933,24141,24295,24368,24337,24202,23980,23690,23362,23024,22678,22336,22053,21902,21931,22134,22256,22515,22849,23212,23595,23996,24380,24706,24946,25066,24889,24647,24382,24125,23877,23634,23391,23145,22889,22626,22387,22175,21989,21828
Australia,AUS,AUS,East Asia & Pacific,High income,8378309,8589875,8844641,9058607,9280894,9507272,9769946,9936764,10156372,10413985,10664094,11074072,11290185,11474822,11779960,11937005,12068380,12196605,12330794,12456060,12599859,12792439,12998439,13152790,13293229,13466787,13679714,13889371,14118499,14359498,14573595,14760536,14969772,15149099,15342444,15561076,15799280,16017946,16227489,16455589,16694712,16962691,17203032,17447271,17681720,17947424,18245199,18390354,18793855,19216677,19549433,19854696,20231555,20609814,20950848,21265835
Austria,AUT,AUT,Europe & Central Asia,High income,4561167,4592914,4624644,4658034,4692726,4726878,4763809,4803163,4831802,4852163,4872871,4897890,4927193,4955326,4964528,4952131,4944146,4946802,4943554,4935890,4936650,4950315,4956972,4951992,4954705,4960058,4966239,4972413,4982491,5007960,5049338,5102718,5159187,5201907,5221966,5229967,5237033,5242971,5248727,5258949,5271610,5291909,5318413,5344871,5378625,5415886,5443164,5461334,5478956,5493828,5507469,5526568,5552329,5586551,5630521,5680563
Azerbaijan,AZE,AZE,Europe & Central Asia,Upper middle income,2052745,2110337,2169797,2229639,2287911,2343188,2394924,2443302,2488510,2531166,2589494,2668063,2746043,2823381,2893103,2954909,3015863,3076140,3136421,3195385,3253169,3312379,3373158,3435317,3501135,3570514,3640640,3711440,3783410,3840241,3847891,3885695,3922204,3959159,3989565,4012031,4028686,4043596,4057628,4085971,4135854,4184325,4232008,4280744,4335079,4396406,4461940,4530068,4643726,4759039,4835104,4918882,5006337,5094489,5182792,5271567
Burundi,BDI,BDI,Sub-Saharan Africa,Low income,57881,60074,62348,64713,67257,70633,75535,80910,86615,92492,98355,104176,110003,115944,122378,129614,137730,146822,156911,167911,179051,190912,203745,217601,232757,249264,267406,287102,308067,329832,352000,371771,391260,410738,430242,449896,469433,489106,509883,532281,558013,587762,621624,659300,700195,743832,790332,839878,892589,948137,1006757,1068301,1132838,1200655,1272171,1347843
Belgium,BEL,BEL,Europe & Central Asia,High income,8463316,8500111,8545539,8624158,8720520,8814176,8887919,8951328,9000174,9039007,9061057,9090451,9138742,9179915,9221059,9259701,9288043,9319769,9348049,9375266,9403844,9418778,9426273,9435379,9444896,9457075,9469618,9486775,9525797,9569207,9606261,9650427,9697796,9743821,9781788,9810102,9836805,9868070,9896510,9926274,9956834,9996900,10047497,10095147,10144456,10205859,10278774,10359739,10447150,10536729,10638559,10792210,10875857,10934111,10986148,11043981
Benin,BEN,BEN,Sub-Saharan Africa,Low income,225533,243049,262088,282768,305217,329545,355953,384569,415578,449088,485336,524458,566769,612342,661590,714719,772108,833799,900266,965273,1016471,1070600,1127984,1188686,1252771,1320306,1391302,1465947,1545471,1631264,1724688,1826685,1926857,2017263,2109113,2200208,2289623,2378172,2467962,2562398,2663900,2773103,2889452,3012383,3140200,3271472,3406027,3544269,3686145,3831404,3980231,4132379,4287945,4447437,4611823,4781685
Burkina Faso,BFA,BFA,Sub-Saharan Africa,Low income,226977,234744,242709,251039,259789,268990,278745,289111,299959,311347,323189,335447,348345,361760,375812,390629,418353,457588,500783,548277,600751,658561,722340,792524,869407,953161,1017666,1064071,1112726,1163682,1217244,1273348,1332277,1393992,1458745,1526699,1598139,1693193,1810997,1936843,2071322,2214369,2366998,2529813,2704230,2890681,3090421,3303971,3529133,3765379,4011970,4269121,4536924,4815452,5105089,5406142
Bangladesh,BGD,BGD,South Asia,Lower middle income,2475106,2617551,2805663,3008542,3228277,3467913,3729876,4014571,4316529,4627311,4939148,5247643,5555627,5872359,6309161,7007870,7804261,8704877,9717811,10843238,12083394,13209570,13920957,14665417,15449458,16273936,17142769,18054557,19006016,19987330,20996319,21980806,22874515,23784324,24722076,25690536,26694599,27727558,28789375,29871710,30969126,32234680,33724717,35244638,36779946,38318098,39855413,41393377,42945776,44535525,46185503,47900902,49666838,51473761,53316419,55184476
Bulgaria,BGR,BGR,Europe & Central Asia,Upper middle income,2918796,3080500,3244762,3411401,3582451,3753817,3900528,4030377,4165384,4304295,4440047,4555020,4667082,4782137,4905140,5019834,5126058,5232150,5317153,5402887,5503013,5566106,5627272,5685942,5743706,5787617,5822722,5862424,5900092,5861908,5786939,5759256,5726692,5704408,5704237,5697800,5687307,5671407,5652100,5638810,5629167,5547308,5470474,5467023,5464943,5463131,5461069,5378166,5366322,5357245,5347166,5337678,5331180,5325329,5318697,5307981
