,S62343,S62284,S62566,S62500,S62583,S62421,S62554,S62434,S62338,S62393,S62549,S62355,S62398,S62542,S62524,S62543,S62272,S62254,S62561,S62535,S62488,S62571,S62501,S62511,S62487,S62591,S62260,S62553,S62379,S62333,S62319,S62439,S62321,S62368,S62507,S62555,S62482,S62536,S62477,S62279,S62278,S62326,S62475,S62320,S62573,S62572,S62375,S62392,S62356,S62416,S62512,S62548,S62596,S62506,S62441,S62590,S62523,S62537,S62271,S62345,S62565,S62374,S62415,S62517,S62595,S62440,S62349,S62283,S62380,S62481,S62585,S62547,S62285,S62337,S62259,S62381,S62560,S62584,S62525,S62435,S62351,S62476,S62429,S62277,S62541,S62505,S62422,S62325,S62397,S62399,S62332,S62513,S62261,S62518,S62350,S62273,S62567,S62253,S62373,S62339
S62343,1,0.705082244,0.622774257,0.679086682,0.812259606,0.84673826,0.874267019,0.842177003,0.215452009,0.626802076,0.622376705,0.708046855,0.851544879,0.862308204,0.807643311,0.922810775,0.807731956,0.884573498,0.745703599,0.842578921,0.636480736,0.922868141,0.806361943,0.69026605,0.791781734,0.209374549,0.876832987,0.678972203,0.584881515,0.782646687,0.413683724,0.894036857,0.688724989,0.882874448,0.833081275,0.897855623,0.643246724,0.781536153,0.842917795,0.561239257,0.601855926,0.792817017,0.857214324,0.831105639,0.861935945,0.843553704,0.638637726,0.611956088,0.312956277,0.635535989,0.721063354,0.541438281,0.652283942,0.707291277,0.652476749,0.559192232,0.891721712,0.328689474,0.899091451,0.740536956,0.209213352,0.619699215,0.391082791,0.808627346,0.697507556,0.89289658,0.826404691,0.237009526,0.73284974,0.863572511,0.852996254,0.763530308,0.718765646,0.370362962,0.863950272,0.740548531,0.467494117,0.777559538,0.79639061,0.758263527,0.073879202,0.891353137,0.874982106,0.819322824,0.895932602,0.818773861,0.36489402,0.836798572,0.914959084,0.905268256,0.851020508,0.728971546,0.778971543,0.516600065,0.806912078,0.87510895,0.870847194,0.899289677,0.88489385,0.40136434
S62284,0.705082244,1,0.247236016,0.492458527,0.619147259,0.671706059,0.669036346,0.643424342,0.46422383,0.550878213,0.139222516,0.51838639,0.58138617,0.7670061,0.70118386,0.664025003,0.560807277,0.750330958,0.563666798,0.781371098,0.571393166,0.682641895,0.791132823,0.577595379,0.747273358,0.305626387,0.702560616,0.549137234,0.702124843,0.477322888,0.335906803,0.688916963,0.666179551,0.545333435,0.741132039,0.640802317,0.310401324,0.593854829,0.693288187,0.405236091,0.536901942,0.769408788,0.728454018,0.804001082,0.732143427,0.634880885,0.677690504,0.729935278,0.293602138,0.455513758,0.601548042,0.318679303,0.489743926,0.725817504,0.73688137,0.737867508,0.705137093,0.220537271,0.692597667,0.58771672,-0.197663171,0.444692519,0.214551681,0.673659801,0.545962076,0.601843616,0.690255092,0.48966669,0.562509055,0.752745685,0.516424749,0.359539233,0.871654572,0.644242736,0.65525562,0.593397577,0.33158965,0.514223,0.682208504,0.532250623,0.251051244,0.679971444,0.632702647,0.656268839,0.662695323,0.701523504,0.224693069,0.771831578,0.72215557,0.630165214,0.703470338,0.596333632,0.597322389,0.705608178,0.578511934,0.683431061,0.712816674,0.69109322,0.640933924,0.596962982
S62566,0.622774257,0.247236016,1,0.246938678,0.367768152,0.423602407,0.58073531,0.420315767,-0.21634086,0.093533109,0.722251749,0.29634202,0.761872805,0.426726083,0.361880183,0.597721892,0.610872622,0.542441254,0.318457503,0.603510843,0.111367478,0.459880959,0.374368722,0.184610669,0.361538522,0.12778438,0.631902438,0.543700985,0.311675605,0.516547577,0.083615733,0.598795086,0.22059922,0.575518152,0.436678841,0.576003519,0.76178002,0.463238641,0.568171339,0.226334431,0.191198905,0.379594174,0.45488807,0.44207616,0.435625818,0.559028272,0.162787776,0.34179491,-0.024045105,0.527499771,0.203916274,0.298566334,0.30212336,0.416723244,0.374879841,0.055363112,0.570619007,0.281575705,0.59561783,0.549122778,0.496310541,0.241103621,0.170653267,0.441714867,0.316588549,0.586005357,0.376798101,0.018960161,0.610129147,0.650118816,0.778867595,0.464832815,0.30351301,-0.022583402,0.630307745,0.300187456,-0.01279428,0.400133272,0.549034856,0.3622949,-0.217426641,0.576022788,0.484704422,0.397393256,0.660123002,0.316450144,-0.024856603,0.43680625,0.623074045,0.738863316,0.484631432,0.245096001,0.389354608,0.106135846,0.389552553,0.618366474,0.416939129,0.582813514,0.589127774,-0.067460047
S62500,0.679086682,0.492458527,0.246938678,1,0.826282619,0.669924621,0.689273183,0.792716683,0.231458749,0.729058633,0.417116243,0.662240779,0.57256735,0.736110355,0.69791567,0.686214971,0.696016922,0.620350171,0.790429745,0.501406029,0.736368122,0.735889459,0.721984755,0.815244329,0.645435489,0.052612997,0.662842599,0.37215757,0.445587818,0.808633393,0.63803999,0.638178828,0.770213974,0.787879115,0.737769457,0.738524572,0.289338203,0.700126475,0.61509337,0.783166405,0.760142379,0.657838736,0.793036714,0.660457386,0.709327299,0.670031294,0.610696223,0.399704789,0.413199536,0.415977725,0.833616982,0.6237835,0.795997906,0.580490519,0.58310244,0.60001621,0.712399029,0.355347857,0.764662686,0.599544008,0.13678086,0.647546717,0.301674477,0.626678782,0.764379308,0.650080064,0.779310804,0.107058103,0.597045634,0.565886152,0.632308387,0.730628602,0.592767963,0.290457118,0.667948195,0.772283438,0.749446521,0.785389278,0.617575644,0.72857894,0.174905062,0.754659953,0.814937377,0.848287136,0.692845172,0.800058877,0.604653875,0.61997666,0.662879607,0.594737182,0.762997272,0.857571576,0.749730503,0.412733732,0.76454259,0.715187234,0.707355952,0.682364915,0.739086013,0.461566531
S62583,0.812259606,0.619147259,0.367768152,0.826282619,1,0.831969951,0.784959167,0.957043072,0.129866309,0.801303661,0.502042563,0.722652618,0.694007331,0.91803812,0.879697072,0.808491574,0.724469115,0.826391928,0.885828249,0.697528001,0.911718742,0.856203554,0.826763892,0.944662236,0.808382439,0.068650105,0.8478368,0.412473375,0.700048213,0.876231201,0.559855211,0.793538767,0.904549929,0.860937816,0.862489626,0.847270395,0.470713261,0.818624439,0.762299358,0.817738054,0.881579301,0.763076815,0.928962137,0.836847203,0.911960441,0.797965719,0.606946955,0.478685912,0.341142424,0.354640785,0.949305954,0.721958333,0.89807597,0.667187645,0.730812452,0.700033897,0.881741784,0.579893517,0.914738747,0.641284275,0.052742925,0.764469108,0.255787854,0.666955701,0.855916667,0.771596713,0.944512305,0.15706207,0.764209293,0.698750218,0.777673308,0.819015286,0.727560278,0.399234636,0.840864427,0.836623635,0.741201065,0.881028695,0.742419882,0.861622071,0.091632508,0.863979748,0.917804645,0.930113392,0.7668989,0.960296043,0.584692328,0.652376548,0.870418444,0.759430298,0.905593172,0.931699243,0.932801123,0.49859127,0.885724318,0.815367144,0.824146161,0.867531201,0.787130491,0.47024398
S62421,0.84673826,0.671706059,0.423602407,0.669924621,0.831969951,1,0.807732514,0.881834269,0.150972428,0.732390298,0.529948704,0.723418443,0.719123086,0.858976467,0.820417208,0.835625812,0.701876284,0.874516618,0.834172591,0.750718654,0.719836377,0.859980514,0.733702457,0.758245431,0.705716567,0.151454669,0.813835025,0.458447013,0.624551729,0.752609062,0.473371311,0.859303499,0.790270742,0.799102321,0.778386488,0.842901734,0.503036455,0.767934787,0.714418692,0.63696528,0.688020388,0.748089004,0.831722539,0.807460706,0.855892087,0.808152563,0.584427084,0.569644206,0.421425418,0.47289626,0.781646403,0.577290041,0.70680787,0.621167111,0.664486506,0.66959357,0.861427467,0.340123062,0.857785507,0.625086874,0.079664403,0.683434595,0.324573493,0.754914237,0.717538747,0.845177577,0.851832257,0.171953992,0.681539338,0.699064503,0.725806074,0.786227021,0.69301503,0.316102522,0.81451557,0.760889803,0.635177055,0.785071446,0.683894209,0.824951204,0.085691494,0.792368125,0.867607806,0.791393666,0.767738012,0.844690314,0.524135247,0.737261714,0.843119994,0.78706532,0.853372379,0.753719925,0.840973671,0.428730141,0.834647743,0.777603391,0.827445567,0.867558916,0.758807635,0.36936446
S62554,0.874267019,0.669036346,0.58073531,0.689273183,0.784959167,0.807732514,1,0.859269392,0.115988862,0.655923918,0.601263973,0.712277171,0.74772497,0.851272966,0.797019027,0.956801801,0.865293312,0.817078408,0.701756443,0.774085405,0.661210361,0.870974458,0.7497482,0.72269614,0.666108993,0.104135687,0.867934681,0.52133366,0.601114939,0.822033792,0.281790878,0.912113783,0.778391135,0.898501008,0.772176121,0.963696681,0.477733196,0.868309154,0.71898797,0.676840907,0.710234514,0.681709998,0.817568443,0.766228534,0.844917895,0.771245363,0.606560601,0.57485381,0.23396721,0.508456485,0.750187873,0.626199431,0.759747474,0.648707162,0.678716119,0.608926757,0.932854522,0.322882664,0.912588574,0.700778545,0.064736221,0.741917921,0.389317575,0.768597421,0.78468826,0.84801457,0.79647152,0.032194998,0.742608052,0.809739695,0.808935755,0.744052059,0.661661626,0.26509788,0.919271725,0.748002464,0.522987387,0.879927105,0.707830635,0.864273735,-0.052492687,0.857894317,0.865031577,0.838966781,0.797276057,0.793400206,0.380234503,0.758824973,0.904417393,0.831029842,0.912046281,0.739061315,0.713186801,0.378420401,0.889112127,0.784703496,0.831120786,0.911606832,0.832488303,0.284635744
S62434,0.842177003,0.643424342,0.420315767,0.792716683,0.957043072,0.881834269,0.859269392,1,0.042668437,0.783451282,0.567224598,0.76698578,0.70909935,0.92101905,0.906278019,0.865312082,0.744481929,0.873760712,0.904917827,0.744160863,0.872027239,0.864096776,0.796515791,0.919168927,0.742270231,0.026039351,0.890963821,0.371838347,0.72051976,0.89297081,0.484919339,0.871620779,0.919914496,0.868577245,0.833999561,0.91162125,0.461036697,0.89169558,0.704386766,0.813361978,0.886453166,0.747028472,0.92231894,0.842315869,0.893165562,0.784714458,0.567312074,0.486713603,0.302839575,0.348329833,0.934798489,0.768935073,0.908846781,0.617957442,0.754778028,0.699718895,0.940536196,0.561803336,0.931991841,0.609873955,0.003468795,0.778519949,0.286503899,0.705652375,0.890273879,0.834038929,0.952037447,0.094021797,0.776793644,0.695763003,0.782591229,0.824569359,0.71959106,0.329355328,0.90923027,0.781250456,0.757403623,0.907944117,0.751512752,0.934755936,0.009686999,0.860810308,0.925455833,0.921898088,0.763535281,0.927797059,0.537360815,0.675032198,0.898858065,0.789730871,0.946160622,0.916868218,0.932755521,0.434860663,0.941510923,0.800061893,0.851447026,0.935712953,0.774069079,0.354575336
S62338,0.215452009,0.46422383,-0.21634086,0.231458749,0.129866309,0.150972428,0.115988862,0.042668437,1,0.180456965,-0.254164628,0.071157583,0.144873478,0.182398102,0.164277711,0.160825783,0.145666169,0.158170314,0.087790102,0.241887363,0.074028891,0.276341101,0.321711996,0.056001034,0.419274565,0.406514515,0.072946358,0.483662461,0.03843812,0.009344691,0.31413307,0.130336442,0.065536178,0.100752827,0.262455473,0.060505861,-0.012642893,0.022882568,0.350459199,-0.031321267,-0.044454009,0.41367286,0.150632215,0.223875388,0.262918434,0.267683258,0.441753497,0.303577287,0.441892036,0.389791383,0.074522411,-0.229830123,-0.070427814,0.425860717,0.170990103,0.274346689,0.089054113,-0.280762472,0.119617171,0.378187922,-0.068232188,0.019849887,0.126802576,0.341505551,-0.019728531,0.111381119,0.120697433,0.608296531,0.007430001,0.281100452,0.02849618,-0.002588256,0.348494858,0.578816631,0.001262346,0.264096477,0.016643317,-0.000500926,0.221338514,-0.045578184,0.573211836,0.177280073,0.174967505,0.136481823,0.294421796,0.217410063,0.072828394,0.447755859,0.117870378,0.134783856,0.096268553,0.08724796,0.041445256,0.578614701,0.010412768,0.257069715,0.23849489,0.043355327,0.311399109,0.674780941
S62393,0.626802076,0.550878213,0.093533109,0.729058633,0.801303661,0.732390298,0.655923918,0.783451282,0.180456965,1,0.309476378,0.717573095,0.381168727,0.754844033,0.740797762,0.628166318,0.574108182,0.654756609,0.726267204,0.469930266,0.836545242,0.745138533,0.664324626,0.845232821,0.610717931,0.078276247,0.578913636,0.183992984,0.495204407,0.666352288,0.609169243,0.583518787,0.801551615,0.662414131,0.650743701,0.708103254,0.151521441,0.662482695,0.519071494,0.67945817,0.764741937,0.559879878,0.727159977,0.636252129,0.721280057,0.619461655,0.642398912,0.41433421,0.458172132,0.21388818,0.832687235,0.649394421,0.739873356,0.461470744,0.486839189,0.660009603,0.67329346,0.462065163,0.703398175,0.390893512,-0.055443495,0.762391344,0.424293235,0.524155286,0.681534436,0.562711405,0.744321565,0.090811192,0.522191239,0.481004497,0.459791765,0.685260557,0.536233433,0.347971614,0.614748993,0.764493018,0.769253451,0.734739097,0.522446117,0.739182726,0.300213484,0.651308341,0.728912637,0.72846502,0.480890607,0.81083705,0.706031693,0.523501361,0.62011296,0.449047292,0.698649128,0.833087453,0.770439958,0.3411535,0.775256147,0.58637017,0.727384086,0.656673693,0.554571315,0.459935912
