TradDate,S62343,S62284,S62566,S62500,S62583,S62421,S62554,S62434,S62338,S62393,S62549,S62355,S62398,S62542,S62524,S62543,S62272,S62254,S62561,S62535,S62488,S62571,S62501,S62511,S62487,S62591,S62260,S62553,S62379,S62333,S62319,S62439,S62321,S62368,S62507,S62555,S62482,S62536,S62477,S62279,S62278,S62326,S62475,S62320,S62573,S62572,S62375,S62392,S62356,S62416,S62512,S62548,S62596,S62506,S62441,S62590,S62523,S62537,S62271,S62345,S62565,S62374,S62415,S62517,S62595,S62440,S62349,S62283,S62380,S62481,S62585,S62547,S62285,S62337,S62259,S62381,S62560,S62584,S62525,S62435,S62351,S62476,S62429,S62277,S62541,S62505,S62422,S62325,S62397,S62399,S62332,S62513,S62261,S62518,S62350,S62273,S62567,S62253,S62373,S62339
20080102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080103,0.207912434,0.783255087,-0.299903484,-0.154065227,0.125576957,0.433552735,-0.151876139,0.197738491,-0.110152023,-0.067973192,-0.836955855,-0.363670864,-0.20782775,0.288805737,-0.293328456,0.191687803,0.386211187,-0.819418652,0.182627927,0.312363484,0.179456801,0.224115662,-0.186371582,0.190541174,0.226560859,-0.18991677,0.323842523,0.384570613,-0.651952499,0.397085126,-0.130666772,0.145380731,-0.42596672,0.139766571,0.263748526,0.192842331,-0.358690703,-0.109659028,-0.290950209,-0.160898358,0.235787229,0.219526834,0.502876603,0.401506352,0.261192719,-0.263103352,-0.281998762,0.557965693,-0.200655991,-0.403808335,0.117001658,0.43772801,-0.059430014,-0.192822795,0.68148831,-0.178159433,0.131024573,-0.235928102,-0.03660464,-0.252115306,-1.250296935,0.413130853,-0.313039225,0.565442514,0.229231385,-0.109882969,0.213680638,-0.210580434,0.396089974,0.456589597,-0.248108906,-0.131530217,-0.194538414,0.740813971,0.100758273,-0.147891965,-0.131377117,-0.065506674,-0.401460957,-0.076544348,0,0.237879128,-0.120698394,0.194701489,0.196348276,0.166471306,-0.076244668,0.779722741,-0.112682775,-0.104749591,0.294699782,0.416168538,-0.152854726,-0.28855807,-0.011083694,-0.158583697,-0.165416881,0.209637278,0.509253813,0.497710474
20080104,0.415824867,0.27973396,-0.599806968,-0.308130454,0.403168124,0.342278475,0.195269321,0.07062089,0.28639526,-0.135946384,-0.390579399,-0.727341728,-0.415655501,0.577611473,-0.586656912,0.383375606,0.180231887,-0.382395371,-0.234807335,-0.02839668,0.601708097,0.770397588,-0.372743164,0.381082349,0.453121717,1.076195032,0.115658044,0.032047551,-1.303904999,0.223360383,-0.261333544,0.05192169,-0.152130972,0.279533142,0.527497052,0.385684662,0.107607211,-0.219318056,0.533408716,-0.321796716,0.11003404,0.439053668,0.665571975,-0.283416248,0.522385439,-0.526206703,0.733196782,1.115931386,-0.401311982,-0.80761667,0.426220327,0.246222006,-0.118860027,0.168719946,0.243388682,-0.356318866,0.010918714,0.613413066,0.137267399,-0.504230612,0.474250562,0.826261707,-0.62607845,-0.494762199,0.05289955,0.032964891,0.138263942,-0.421160869,0.091405379,0.163067713,0.771894375,-0.263060434,-0.389076828,1.481627943,-0.12954635,0.27113527,0.168913436,0.120095569,-0.802921913,-0.153088697,0,0.475758256,0.452618976,0.090860695,0.392696551,0.332942613,-0.152489336,0.563133091,0.033804832,0.091655892,0.137526565,0.542280216,-0.305709452,-0.57711614,-0.022167387,0.138760734,0.43008389,-0.32251889,1.018507625,0.279962141
20080105,0.623737301,-0.223787168,0.479845575,0.246504363,0.37673087,-0.27382278,0.043393183,0.268359381,0.176243237,-0.203919576,0.055797057,-0.330609877,-0.623483251,0.451258964,0.806653254,0.299512192,0.566443075,-1.201814022,0.247852187,0.937090451,0.538370403,0.672346986,-0.023296448,0.571623523,0.332289259,-0.569750311,0.439500567,0.416618164,-0.45636675,0.620445509,-0.392000316,-0.041537352,-0.228196457,0.419299714,0.791245579,0.237344407,-0.251083492,-0.328977084,0.242458507,-0.482695074,-0.015719149,0.658580502,0.828267347,0.118090104,0.430199773,0.219252793,0.45119802,0.871821395,-0.601967973,-1.211425005,0.543221985,0.054716001,0.095088022,0.530262686,-0.194710946,-0.534478299,0.141943288,1.462754233,0.521616117,-0.756345918,0.215568437,0.334439262,-0.939117675,-0.742143299,0.282130936,-0.329648906,0.351944581,-0.631741303,0.487495353,0.61965731,0.523785468,-0.394590651,-0.583615243,1.275846284,-0.028788078,0.123243304,-0.39413135,0.305697811,-0.494105793,0.063786957,0,0.713637384,-0.362095181,-0.012980099,0.589044827,0.307971917,-0.228734003,0.844699636,-0.078877942,-0.013093699,-0.019646652,0.958448754,0.043672779,-0.86567421,0.221673871,-0.019822962,0.264667009,0.258015112,0.795709082,0.062213809
20080106,0.831649735,-0.727308295,0.17994209,0.801139181,0.502307827,-0.36509704,0.390538643,0.466097872,-0.440608092,0.50979894,-0.139492642,0.826524691,-0.233806219,0.7400647,0.513324798,0.491199995,0.952654262,-0.764790742,0.430480114,0.596330287,0.475032708,0.574296384,0.861968566,0.640430059,0.558850118,0.696361491,0.763343089,0.064095102,-1.108319249,0.446720766,0.479111498,-0.373836165,0.045639291,0.559066285,1.054994105,0.430186738,0.215214422,0.065795417,0.509162865,-0.114927398,0.22006808,0.878107336,0.990962719,0.519596456,0.691392493,-0.043850559,1.466393564,1.429787088,0.351147985,-0.067301389,0.660223644,0.492444012,0.035658008,0.891805427,-0.632810573,1.336195748,0.272967861,1.226826131,0.695488156,0.441201786,-0.043113687,0.295093467,-0.352169128,-0.176700785,0.105799101,0.065929781,0.565625219,-0.304171739,1.584359898,1.076246907,0.909732656,-0.021921703,-0.778153657,1.070064625,0.071970195,0.54227054,-0.093840798,0.491300053,-0.185289672,-0.012757391,0,0.951516512,-0.482793575,0.480263674,0.785393103,0.665885225,-0.304978671,1.126266182,-0.191560717,-0.11784329,0.27505313,1.374617292,0.393055009,0.504976622,0.210590177,0.277521469,0.860167781,0.096755667,1.304962895,0.559924283
20080107,1.039562169,0.055946792,1.259594633,0.647073954,0.779898994,-0.4563713,0.737684103,0.338980271,0.462638496,0.441825748,0.306883813,0.462853827,0.155870813,0.613712191,1.063315653,0.407336582,1.338865449,-0.327767461,0.913139636,0.908693771,0.654489509,0.476245781,1.211415282,0.952705872,0.785410976,1.962473293,0.55515861,0.448665716,-0.260781,0.843805892,1.350223312,-0.228455434,0.31947504,1.234604712,1.318742631,0.623029069,-0.143476281,0.460567917,1.333521789,0.252840277,0.455855309,1.09763417,1.15365809,-0.165326145,0.952585212,-0.30695391,1.184394802,1.98775278,0.150491993,1.076822227,0.969442312,0.300938007,-0.023772005,1.807713703,0.048677736,1.158036315,0.655122867,0.990898029,1.079836874,1.63874949,0.689818999,0.255747671,0.234779419,-0.424081885,0.335030486,0.20877764,0.779305857,0.023397826,1.279675302,1.532836503,1.295679843,0.350747245,-0.333494424,0.864282967,0.503791363,0.961297775,-0.225217914,0.42579338,0.123526448,-0.382721742,0,1.18939564,0.090523795,0.674965163,0.981741378,1.023798534,0.495590341,1.407832727,0.214097272,0.078562193,0.117879913,1.50072897,0.74243724,0.216418552,0.199506484,1.030794028,0.6947509,0.306392945,1.814216707,1.057634756
20080108,0.848975771,0.839201879,0.959691149,1.201708771,0.905475951,-0.022818565,1.084829563,0.536718762,0.352486473,1.155544264,0.111594114,1.619988395,0.545547845,1.317676174,0.769987197,0.874575602,2.317267123,0.10925582,1.095767563,1.221057255,0.83394631,1.022527707,1.560861998,1.021512408,1.011971835,1.772556523,0.879001133,1.570330005,0.586757249,0.099271281,2.221335127,0.155765069,0.943212023,1.642257212,1.582491157,0.8158714,0.322821632,0.855340418,1.600226147,0.620607952,0.691642539,1.317161004,1.656534694,0.236180207,0.860399547,0.438505586,2.199590347,1.74364279,1.103607951,0.673013892,1.08644397,1.367900032,0.463554107,2.169256443,0.730166046,0.979876882,0.78614744,1.840239197,1.464185593,1.386634184,1.422751685,0.216401876,0.821727966,0.141360628,0.969825092,0.604356328,0.703889161,-0.187182608,2.376539847,1.23931462,1.68162703,0.723416193,0.111164808,0.658501308,0.604549635,1.94724421,0.075072638,0.862504538,1.142619646,-0.165846088,0,1.974396763,-0.030174598,1.168208936,1.178089654,1.190269841,0.419345673,1.689399273,0.619755262,0.274967677,0.864452695,1.336783789,0.589582514,0.757464934,0.443347742,1.328138459,0.529334019,0.516030224,2.32347052,1.55534523
20080109,1.455387036,0.335680752,2.039343692,1.756343589,1.031052907,0.935561165,0.932953424,0.734457253,0.24233445,1.86926278,1.199636725,2.016720247,1.532729659,1.191323664,1.319978051,0.790712188,2.703478311,0.546279101,1.27839549,1.533420738,1.013403111,0.924477105,1.910308714,1.090318943,1.933319326,3.038668325,1.202843656,1.954900618,-0.06519525,1.637976143,3.092446941,0.3011458,1.217047772,1.514137855,2.452861294,1.008713731,0.789119546,1.250112918,1.866930505,0.988375627,0.56588935,1.536687837,1.819230065,1.180901035,1.474970651,1.183965082,1.917591584,2.301608483,2.056723909,1.817137508,1.203445629,1.176394028,0.677502156,2.530799184,1.411654356,0.801717449,0.917172014,1.604311095,1.638057632,1.134518877,2.155684372,0.629532729,1.408676513,0.706803142,0.793493257,0.747204187,1.206667134,0.140386956,2.071855251,2.446015697,2.067574218,1.600284307,-0.083373606,1.399315279,1.036370803,2.366271446,0.807030859,1.04810678,1.451435766,0.344449567,0.875189949,1.665153896,1.237158535,1.362910425,1.37443793,1.356741147,1.219914684,1.970965818,0.76624287,0.47137316,1.159152478,1.752952327,0.938964745,0.468906864,0.432264048,2.537339145,1.12483479,0.725667502,2.100671977,2.053055704
20080110,0.866301807,1.118935839,1.739440208,0.893578317,0.852601443,0.844286905,1.280098885,0.932195744,0.638881733,1.01959788,1.004347026,2.413452099,1.324901909,1.064971154,1.026649596,0.982399991,2.497499011,0.983302382,1.160991823,1.192660574,0.950065417,1.148592767,2.25975543,0.9156562,1.812486868,2.848751554,0.994659177,1.602377556,-0.717147749,0.893441533,1.960001582,0.685366303,1.140982286,1.386018498,1.503366599,1.201556062,1.255417459,1.14045389,1.575980297,0.298811236,0.440136161,1.756214671,1.301562974,1.582407387,1.382784986,0.92086173,1.635592822,2.859574175,0.702295969,-0.134602778,0.936013267,0.984888023,0.34469408,1.783610853,0.973554728,0.623558016,0.797066155,1.368382993,1.601452992,2.332066581,1.897002247,0.590186933,1.095637288,0.459422042,0.617161422,0.890052046,1.131250438,0.467956521,2.467945226,2.152493813,1.819465311,1.46875409,0.361285626,2.140129251,0.80606618,1.65146028,1.107321411,0.480382274,1.04997481,0.561325221,0.875189949,1.35591103,1.116460142,0.960527347,1.305138538,1.331770451,1.143670017,1.754376168,0.653560095,0.667778643,1.00197926,1.298950285,0.786110019,0.180348794,0.676105306,2.378755448,0.959417909,0.935304781,1.877873434,1.835307372
20080111,1.074214241,0.615414711,0.059980697,0.73951309,0.978178399,1.27783964,1.128222746,0.805078143,1.035429015,1.733316396,0.809057326,1.289378518,1.117074159,0.938618644,0.73332114,0.898536577,1.699329224,0.792104697,0.743556561,1.505024058,1.129522218,1.372708429,2.073383848,0.984462735,2.386441043,2.658834784,0.786474698,1.986948169,-1.369100249,0.71971679,1.82933481,0.591907262,0.715015566,1.257899141,1.767115126,1.053215808,0.896726756,0.526363334,1.842684654,0.137912878,0.314382972,1.660171682,1.464258345,1.983913739,1.643977705,0.657758379,1.353594059,2.615464185,2.809183876,1.009520838,0.668580905,0.793382019,0.011886003,3.253884665,0.535455101,0.445398583,0.928090728,1.13245489,1.564848352,2.079951275,1.638320122,0.550841138,0.782598063,1.024864556,-0.370296853,0.780169078,1.055833742,0.795526085,2.8640352,1.85897193,1.571356405,1.337223873,0.166747212,1.934347592,0.575761557,1.503568314,0.975944295,0.665984517,0.648513853,0.484780873,0.875189949,2.140912153,0.995761748,0.856686553,1.501486814,1.498241757,1.944239028,1.537786517,1.059218084,0.563029052,0.844806043,1.135005104,1.135492249,0.721395175,0.665021613,2.220171752,1.55491868,0.774045336,1.655074891,2.333017845
